symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
EGCO,2026-01-05,29.08,28.25,57.32,0.83,33.78,0.83
EGCO,2026-01-06,28.26,36.53,64.78,-8.27,38.98,-7.44
EGCO,2026-01-07,102.11,40.58,142.68,61.53,21.63,54.09
EGCO,2026-01-08,22.20,94.09,116.29,-71.90,37.13,-17.81
EGCO,2026-01-09,12.11,60.46,72.57,-48.35,33.26,-66.16
EGCO,2026-01-12,18.57,62.48,81.05,-43.91,37.68,-110.07
EGCO,2026-01-13,46.20,64.63,110.82,-18.43,37.73,-128.50
EGCO,2026-01-14,8.84,20.03,28.88,-11.19,33.46,-139.69
EGCO,2026-01-15,44.48,20.63,65.10,23.85,29.68,-115.84
EGCO,2026-01-16,62.32,19.19,81.51,43.12,38.94,-72.72
EGCO,2026-01-19,32.14,21.64,53.78,10.50,27.47,-62.22
EGCO,2026-01-20,51.65,35.83,87.48,15.82,34.37,-46.40
EGCO,2026-01-21,142.96,56.20,199.16,86.76,29.67,40.36
EGCO,2026-01-22,43.44,56.88,100.33,-13.44,25.42,26.92
EGCO,2026-01-23,40.24,51.00,91.24,-10.76,38.16,16.16
EGCO,2026-01-26,30.43,28.72,59.15,1.71,28.34,17.87
EGCO,2026-01-27,39.59,49.19,88.78,-9.60,35.70,8.27
EGCO,2026-01-28,36.59,35.07,71.67,1.52,27.09,9.79
EGCO,2026-01-29,23.08,24.83,47.91,-1.75,26.91,8.04
EGCO,2026-01-30,14.24,19.94,34.18,-5.71,24.76,2.33
EGCO,2026-02-02,44.91,48.91,93.83,-4.00,29.25,-1.67
EGCO,2026-02-03,102.73,41.12,143.85,61.61,37.89,59.94
EGCO,2026-02-04,14.80,24.44,39.24,-9.64,36.29,50.30
EGCO,2026-02-05,17.42,23.43,40.85,-6.02,31.88,44.28
EGCO,2026-02-06,28.21,25.84,54.05,2.37,29.81,46.65
EGCO,2026-02-09,103.44,35.95,139.39,67.49,31.76,114.14
EGCO,2026-02-10,59.52,43.11,102.63,16.41,32.90,130.55
EGCO,2026-02-11,94.17,52.62,146.79,41.56,31.17,172.11
EGCO,2026-02-12,92.55,53.94,146.49,38.62,32.36,210.73
EGCO,2026-02-13,46.83,87.85,134.67,-41.02,29.23,169.71
EGCO,2026-02-16,16.52,43.00,59.51,-26.48,35.59,143.23
EGCO,2026-02-17,36.20,37.54,73.74,-1.33,22.74,141.90
EGCO,2026-02-18,45.92,27.30,73.22,18.62,32.39,160.52
EGCO,2026-02-19,99.01,70.31,169.32,28.70,33.53,189.22
EGCO,2026-02-20,35.10,54.95,90.04,-19.85,25.95,169.37
EGCO,2026-02-23,37.36,79.64,117.00,-42.27,32.28,127.10
EGCO,2026-02-24,49.41,17.64,67.05,31.77,28.28,158.87
EGCO,2026-02-25,48.91,77.21,126.12,-28.30,39.02,130.57
EGCO,2026-02-26,27.31,34.55,61.87,-7.24,30.23,123.33
EGCO,2026-02-27,68.56,49.07,117.63,19.50,40.12,142.83
EGCO,2026-03-02,58.96,64.55,123.51,-5.59,28.09,137.24
EGCO,2026-03-04,83.38,145.17,228.55,-61.79,27.79,75.45
EGCO,2026-03-05,62.20,112.49,174.69,-50.29,47.36,25.16
EGCO,2026-03-06,30.28,42.06,72.34,-11.77,45.57,13.39
EGCO,2026-03-09,44.63,89.89,134.52,-45.26,34.74,-31.87
EGCO,2026-03-10,44.02,59.65,103.66,-15.63,35.91,-47.50
EGCO,2026-03-11,20.64,55.68,76.32,-35.03,40.72,-82.53
EGCO,2026-03-12,86.07,67.04,153.11,19.03,42.61,-63.50
EGCO,2026-03-13,16.26,94.62,110.88,-78.36,25.75,-141.86
EGCO,2026-03-16,22.09,45.91,68.00,-23.82,33.47,-165.68
EGCO,2026-03-17,40.84,37.49,78.33,3.35,37.90,-162.33
EGCO,2026-03-18,38.32,29.62,67.95,8.70,43.80,-153.63
EGCO,2026-03-19,10.89,40.51,51.40,-29.62,26.86,-183.25
EGCO,2026-03-20,128.30,102.96,231.26,25.34,56.65,-157.91
EGCO,2026-03-23,16.54,34.79,51.33,-18.26,29.99,-176.17
EGCO,2026-03-24,32.18,26.29,58.48,5.89,43.21,-170.28
EGCO,2026-03-25,46.84,39.24,86.07,7.60,37.58,-162.68
EGCO,2026-03-26,33.47,39.42,72.89,-5.96,22.59,-168.64
EGCO,2026-03-27,52.26,76.92,129.18,-24.66,51.81,-193.30
EGCO,2026-03-30,34.37,37.23,71.59,-2.86,42.01,-196.16
EGCO,2026-03-31,104.86,39.33,144.19,65.52,37.73,-130.64
EGCO,2026-04-01,45.69,47.05,92.75,-1.36,37.52,-132.00
EGCO,2026-04-02,21.81,31.96,53.78,-10.15,36.28,-142.15
EGCO,2026-04-03,38.05,51.11,89.16,-13.06,39.37,-155.21
EGCO,2026-04-07,37.06,15.95,53.01,21.11,38.16,-134.10
EGCO,2026-04-08,48.35,29.85,78.20,18.49,37.07,-115.61
EGCO,2026-04-09,26.84,22.27,49.11,4.57,46.07,-111.04
EGCO,2026-04-10,23.49,20.11,43.60,3.38,41.51,-107.66
EGCO,2026-04-16,36.12,52.21,88.33,-16.09,40.89,-123.75
EGCO,2026-04-17,11.18,22.50,33.68,-11.32,27.64,-135.07
EGCO,2026-04-20,43.97,26.00,69.97,17.97,37.16,-117.10
EGCO,2026-04-21,17.33,13.36,30.69,3.97,31.73,-113.13
