symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
ERW,2026-01-05,2.33,13.03,15.36,-10.70,17.65,-10.70
ERW,2026-01-06,3.95,2.95,6.89,1.00,9.65,-9.70
ERW,2026-01-07,7.47,4.72,12.20,2.75,21.64,-6.95
ERW,2026-01-08,6.89,6.00,12.90,0.89,10.97,-6.06
ERW,2026-01-09,7.34,2.50,9.84,4.84,21.89,-1.22
ERW,2026-01-12,2.56,5.93,8.49,-3.36,15.30,-4.58
ERW,2026-01-13,2.97,6.28,9.25,-3.31,16.86,-7.89
ERW,2026-01-14,5.09,3.99,9.09,1.10,12.15,-6.79
ERW,2026-01-15,3.67,2.14,5.80,1.53,9.25,-5.26
ERW,2026-01-16,1.11,3.16,4.28,-2.05,10.49,-7.31
ERW,2026-01-19,1.86,2.37,4.23,-0.51,13.15,-7.82
ERW,2026-01-20,2.81,2.91,5.72,-0.09,7.90,-7.91
ERW,2026-01-21,6.26,3.32,9.58,2.94,10.83,-4.97
ERW,2026-01-22,4.44,4.31,8.75,0.12,14.99,-4.85
ERW,2026-01-23,4.28,5.48,9.76,-1.20,20.94,-6.05
ERW,2026-01-26,12.54,4.79,17.34,7.75,25.01,1.70
ERW,2026-01-27,91.05,3.11,94.16,87.95,23.67,89.65
ERW,2026-01-28,8.45,20.66,29.11,-12.21,16.62,77.44
ERW,2026-01-29,14.07,16.62,30.68,-2.55,24.75,74.89
ERW,2026-01-30,9.72,8.68,18.40,1.04,29.83,75.93
ERW,2026-02-02,9.99,9.82,19.81,0.16,22.45,76.09
ERW,2026-02-03,31.04,26.86,57.90,4.18,20.79,80.27
ERW,2026-02-04,11.35,13.09,24.44,-1.74,25.99,78.53
ERW,2026-02-05,14.76,10.82,25.57,3.94,21.95,82.47
ERW,2026-02-06,20.38,26.28,46.66,-5.90,19.34,76.57
ERW,2026-02-09,31.16,44.89,76.05,-13.73,23.56,62.84
ERW,2026-02-10,59.10,23.88,82.98,35.23,26.16,98.07
ERW,2026-02-11,57.86,50.87,108.73,7.00,27.08,105.07
ERW,2026-02-12,76.14,46.69,122.83,29.45,30.39,134.52
ERW,2026-02-13,28.00,17.13,45.14,10.87,25.06,145.39
ERW,2026-02-16,24.24,42.10,66.34,-17.86,26.13,127.53
ERW,2026-02-17,29.24,12.78,42.02,16.46,21.45,143.99
ERW,2026-02-18,47.27,10.05,57.31,37.22,27.24,181.21
ERW,2026-02-19,37.65,29.31,66.96,8.34,35.49,189.55
ERW,2026-02-20,60.50,19.39,79.89,41.10,23.65,230.65
ERW,2026-02-23,32.90,21.59,54.49,11.31,28.06,241.96
ERW,2026-02-24,43.55,25.41,68.96,18.14,26.98,260.10
ERW,2026-02-25,28.88,36.29,65.17,-7.41,21.07,252.69
ERW,2026-02-26,13.92,26.64,40.57,-12.72,33.07,239.97
ERW,2026-02-27,18.02,13.35,31.37,4.67,30.67,244.64
ERW,2026-03-02,40.46,35.72,76.18,4.73,18.63,249.37
ERW,2026-03-04,52.74,41.04,93.77,11.70,28.95,261.07
ERW,2026-03-05,43.15,36.79,79.95,6.36,34.44,267.43
ERW,2026-03-06,26.43,13.42,39.85,13.01,35.39,280.44
ERW,2026-03-09,44.16,21.05,65.21,23.11,40.50,303.55
ERW,2026-03-10,7.88,34.13,42.02,-26.25,34.51,277.30
ERW,2026-03-11,13.54,34.54,48.08,-20.99,29.91,256.31
ERW,2026-03-12,21.13,25.55,46.68,-4.42,35.58,251.89
ERW,2026-03-13,13.35,19.93,33.28,-6.59,22.15,245.30
ERW,2026-03-16,19.25,22.24,41.49,-2.98,29.70,242.32
ERW,2026-03-17,20.07,61.69,81.76,-41.62,19.72,200.70
ERW,2026-03-18,10.66,24.77,35.43,-14.11,35.12,186.59
ERW,2026-03-19,4.57,24.89,29.46,-20.31,27.36,166.28
ERW,2026-03-20,11.87,11.76,23.63,0.12,31.12,166.40
ERW,2026-03-23,25.61,14.20,39.81,11.40,24.77,177.80
ERW,2026-03-24,4.86,21.96,26.82,-17.09,23.32,160.71
ERW,2026-03-25,12.77,19.81,32.59,-7.04,17.07,153.67
ERW,2026-03-26,9.20,26.07,35.26,-16.87,20.34,136.80
ERW,2026-03-27,7.67,12.95,20.62,-5.27,32.10,131.53
ERW,2026-03-30,15.16,8.63,23.80,6.53,26.25,138.06
ERW,2026-03-31,10.83,24.40,35.22,-13.57,19.86,124.49
ERW,2026-04-01,29.73,31.34,61.07,-1.61,20.45,122.88
ERW,2026-04-02,17.98,24.07,42.05,-6.09,14.39,116.79
ERW,2026-04-03,2.29,16.37,18.66,-14.08,27.39,102.71
ERW,2026-04-07,3.90,10.33,14.22,-6.43,18.40,96.28
ERW,2026-04-08,57.37,44.31,101.68,13.06,19.98,109.34
ERW,2026-04-09,10.98,29.65,40.62,-18.67,17.51,90.67
ERW,2026-04-10,6.38,16.50,22.88,-10.13,20.23,80.54
ERW,2026-04-16,21.09,16.71,37.81,4.38,24.56,84.92
ERW,2026-04-17,7.22,8.67,15.89,-1.45,19.88,83.47
ERW,2026-04-20,7.77,15.27,23.04,-7.50,25.20,75.97
ERW,2026-04-21,2.22,8.32,10.54,-6.10,12.03,69.87
