symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
GFPT,2026-01-05,12.21,2.41,14.62,9.80,19.02,9.80
GFPT,2026-01-06,14.07,1.55,15.61,12.52,13.63,22.32
GFPT,2026-01-07,17.24,1.74,18.98,15.50,25.62,37.82
GFPT,2026-01-08,8.77,2.33,11.10,6.44,30.83,44.26
GFPT,2026-01-09,21.89,10.06,31.95,11.82,38.57,56.08
GFPT,2026-01-12,4.73,5.95,10.68,-1.22,35.22,54.86
GFPT,2026-01-13,3.77,8.26,12.03,-4.49,27.95,50.37
GFPT,2026-01-14,5.75,5.29,11.04,0.46,34.45,50.83
GFPT,2026-01-15,1.96,4.85,6.81,-2.89,27.47,47.94
GFPT,2026-01-16,4.40,7.46,11.86,-3.06,41.31,44.88
GFPT,2026-01-19,7.14,6.41,13.55,0.73,28.41,45.61
GFPT,2026-01-20,0.97,1.70,2.68,-0.73,20.02,44.88
GFPT,2026-01-21,4.24,3.87,8.11,0.37,14.28,45.25
GFPT,2026-01-22,0.69,12.75,13.44,-12.06,26.24,33.19
GFPT,2026-01-23,0.43,21.07,21.50,-20.64,21.19,12.55
GFPT,2026-01-26,0.78,9.19,9.97,-8.41,19.08,4.14
GFPT,2026-01-27,21.60,31.57,53.17,-9.96,36.80,-5.82
GFPT,2026-01-28,1.39,15.24,16.63,-13.85,15.15,-19.67
GFPT,2026-01-29,0.99,13.65,14.64,-12.65,17.37,-32.32
GFPT,2026-01-30,0.95,5.15,6.10,-4.19,21.26,-36.51
GFPT,2026-02-02,8.76,12.44,21.20,-3.68,26.09,-40.19
GFPT,2026-02-03,1.55,13.14,14.69,-11.58,18.26,-51.77
GFPT,2026-02-04,3.09,2.37,5.46,0.71,22.05,-51.06
GFPT,2026-02-05,4.45,5.73,10.18,-1.28,38.39,-52.34
GFPT,2026-02-06,4.72,4.54,9.27,0.18,21.79,-52.16
GFPT,2026-02-09,7.48,8.93,16.42,-1.45,18.03,-53.61
GFPT,2026-02-10,7.88,15.15,23.03,-7.27,33.69,-60.88
GFPT,2026-02-11,13.42,8.06,21.49,5.36,22.38,-55.52
GFPT,2026-02-12,3.68,4.37,8.05,-0.69,16.23,-56.21
GFPT,2026-02-13,4.37,4.44,8.81,-0.07,10.90,-56.28
GFPT,2026-02-16,5.28,3.99,9.27,1.29,8.86,-54.99
GFPT,2026-02-17,5.21,3.41,8.62,1.81,20.03,-53.18
GFPT,2026-02-18,14.90,14.20,29.10,0.69,27.50,-52.49
GFPT,2026-02-19,6.30,18.78,25.08,-12.49,14.35,-64.98
GFPT,2026-02-20,1.61,10.23,11.84,-8.62,10.57,-73.60
GFPT,2026-02-23,1.79,19.67,21.47,-17.88,18.91,-91.48
GFPT,2026-02-24,2.43,4.46,6.90,-2.03,20.60,-93.51
GFPT,2026-02-25,1.67,12.70,14.36,-11.03,18.00,-104.54
GFPT,2026-02-26,6.32,10.00,16.32,-3.67,34.71,-108.21
GFPT,2026-02-27,1.51,8.61,10.12,-7.10,22.49,-115.31
GFPT,2026-03-02,2.76,9.07,11.82,-6.31,14.08,-121.62
GFPT,2026-03-04,9.16,17.42,26.57,-8.26,25.37,-129.88
GFPT,2026-03-05,1.96,10.87,12.82,-8.91,24.64,-138.79
GFPT,2026-03-06,1.91,40.35,42.25,-38.44,40.87,-177.23
GFPT,2026-03-09,6.88,9.44,16.32,-2.56,33.35,-179.79
GFPT,2026-03-10,1.52,3.43,4.95,-1.91,18.95,-181.70
GFPT,2026-03-11,3.77,5.62,9.38,-1.85,30.24,-183.55
GFPT,2026-03-12,3.42,3.76,7.18,-0.33,26.94,-183.88
GFPT,2026-03-13,0.00,1.73,1.73,-1.73,7.85,-185.61
GFPT,2026-03-16,3.91,18.86,22.77,-14.95,32.55,-200.56
GFPT,2026-03-17,5.86,3.21,9.07,2.65,16.28,-197.91
GFPT,2026-03-18,4.53,4.27,8.80,0.26,9.22,-197.65
GFPT,2026-03-19,2.34,6.30,8.65,-3.96,13.13,-201.61
GFPT,2026-03-20,1.40,2.47,3.87,-1.07,11.02,-202.68
GFPT,2026-03-23,0.63,5.75,6.38,-5.13,20.42,-207.81
GFPT,2026-03-24,2.34,0.83,3.17,1.51,12.24,-206.30
GFPT,2026-03-25,4.47,2.93,7.40,1.54,16.44,-204.76
GFPT,2026-03-26,4.86,4.17,9.03,0.69,21.47,-204.07
GFPT,2026-03-27,9.54,8.47,18.00,1.07,13.31,-203.00
GFPT,2026-03-30,3.58,8.48,12.06,-4.90,13.46,-207.90
GFPT,2026-03-31,6.96,4.51,11.47,2.44,17.72,-205.46
GFPT,2026-04-01,3.03,1.34,4.37,1.68,13.67,-203.78
GFPT,2026-04-02,11.77,7.99,19.76,3.78,11.17,-200.00
GFPT,2026-04-03,1.72,4.74,6.46,-3.02,6.02,-203.02
GFPT,2026-04-07,0.90,1.09,2.00,-0.19,9.13,-203.21
GFPT,2026-04-08,0.00,1.07,1.07,-1.07,8.42,-204.28
GFPT,2026-04-09,0.50,5.14,5.64,-4.63,24.75,-208.91
GFPT,2026-04-10,1.33,0.83,2.15,0.50,11.80,-208.41
GFPT,2026-04-16,2.01,2.02,4.03,-0.01,12.72,-208.42
GFPT,2026-04-17,0.91,0.38,1.29,0.53,8.44,-207.89
GFPT,2026-04-20,0.46,0.40,0.86,0.06,6.13,-207.83
GFPT,2026-04-21,1.00,0.97,1.98,0.03,8.57,-207.80
