symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
GLOBAL,2026-01-05,10.31,17.28,27.59,-6.97,21.40,-6.97
GLOBAL,2026-01-06,15.16,15.04,30.20,0.13,20.67,-6.84
GLOBAL,2026-01-07,29.24,18.83,48.07,10.41,23.03,3.57
GLOBAL,2026-01-08,5.72,26.88,32.60,-21.16,16.89,-17.59
GLOBAL,2026-01-09,11.58,25.85,37.42,-14.27,11.26,-31.86
GLOBAL,2026-01-12,13.50,8.13,21.63,5.37,13.87,-26.49
GLOBAL,2026-01-13,4.43,14.27,18.70,-9.85,16.05,-36.34
GLOBAL,2026-01-14,3.34,4.41,7.76,-1.07,10.75,-37.41
GLOBAL,2026-01-15,12.63,15.53,28.16,-2.90,18.89,-40.31
GLOBAL,2026-01-16,7.57,9.77,17.35,-2.20,16.75,-42.51
GLOBAL,2026-01-19,7.53,7.68,15.21,-0.15,26.39,-42.66
GLOBAL,2026-01-20,27.09,9.12,36.21,17.97,19.42,-24.69
GLOBAL,2026-01-21,28.87,7.68,36.55,21.19,15.25,-3.50
GLOBAL,2026-01-22,11.63,21.58,33.22,-9.95,15.88,-13.45
GLOBAL,2026-01-23,5.99,7.34,13.33,-1.35,19.23,-14.80
GLOBAL,2026-01-26,15.83,14.68,30.52,1.15,20.12,-13.65
GLOBAL,2026-01-27,10.87,13.35,24.22,-2.48,16.38,-16.13
GLOBAL,2026-01-28,4.23,7.15,11.39,-2.92,15.06,-19.05
GLOBAL,2026-01-29,6.93,9.38,16.31,-2.45,18.23,-21.50
GLOBAL,2026-01-30,1.93,6.12,8.05,-4.19,21.61,-25.69
GLOBAL,2026-02-02,10.90,14.64,25.54,-3.74,16.31,-29.43
GLOBAL,2026-02-03,20.79,13.36,34.15,7.43,23.50,-22.00
GLOBAL,2026-02-04,8.45,15.49,23.94,-7.03,16.12,-29.03
GLOBAL,2026-02-05,4.76,7.84,12.60,-3.07,8.87,-32.10
GLOBAL,2026-02-06,9.70,9.66,19.36,0.04,11.24,-32.06
GLOBAL,2026-02-09,14.28,14.58,28.85,-0.30,11.70,-32.36
GLOBAL,2026-02-10,4.60,35.38,39.98,-30.78,11.55,-63.14
GLOBAL,2026-02-11,7.40,22.67,30.06,-15.27,11.74,-78.41
GLOBAL,2026-02-12,25.07,17.65,42.72,7.42,15.59,-70.99
GLOBAL,2026-02-13,34.91,25.13,60.04,9.78,16.72,-61.21
GLOBAL,2026-02-16,17.20,11.29,28.49,5.92,14.40,-55.29
GLOBAL,2026-02-17,10.84,17.68,28.53,-6.84,21.36,-62.13
GLOBAL,2026-02-18,55.94,38.93,94.87,17.01,22.50,-45.12
GLOBAL,2026-02-19,45.24,54.23,99.47,-8.99,17.59,-54.11
GLOBAL,2026-02-20,27.49,40.46,67.96,-12.97,16.64,-67.08
GLOBAL,2026-02-23,28.94,37.82,66.76,-8.89,18.08,-75.97
GLOBAL,2026-02-24,25.04,27.05,52.09,-2.01,19.90,-77.98
GLOBAL,2026-02-25,20.06,23.59,43.65,-3.54,20.32,-81.52
GLOBAL,2026-02-26,13.62,26.89,40.51,-13.26,11.38,-94.78
GLOBAL,2026-02-27,3.06,7.10,10.16,-4.03,11.46,-98.81
GLOBAL,2026-03-02,12.78,6.54,19.33,6.24,12.19,-92.57
GLOBAL,2026-03-04,29.60,38.42,68.02,-8.82,24.40,-101.39
GLOBAL,2026-03-05,16.04,22.01,38.05,-5.97,20.18,-107.36
GLOBAL,2026-03-06,4.40,10.75,15.15,-6.35,11.49,-113.71
GLOBAL,2026-03-09,8.99,4.35,13.34,4.64,24.06,-109.07
GLOBAL,2026-03-10,5.81,9.55,15.36,-3.73,15.56,-112.80
GLOBAL,2026-03-11,9.39,9.00,18.39,0.40,21.83,-112.40
GLOBAL,2026-03-12,6.09,7.11,13.20,-1.02,17.58,-113.42
GLOBAL,2026-03-13,2.87,11.77,14.64,-8.90,16.90,-122.32
GLOBAL,2026-03-16,5.76,7.50,13.26,-1.74,12.94,-124.06
GLOBAL,2026-03-17,11.50,7.32,18.83,4.18,18.93,-119.88
GLOBAL,2026-03-18,6.76,5.87,12.64,0.89,32.06,-118.99
GLOBAL,2026-03-19,5.60,9.90,15.50,-4.30,7.44,-123.29
GLOBAL,2026-03-20,12.22,11.04,23.26,1.19,19.85,-122.10
GLOBAL,2026-03-23,30.39,10.73,41.12,19.66,13.75,-102.44
GLOBAL,2026-03-24,27.48,20.02,47.50,7.46,19.47,-94.98
