symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
GPSC,2026-01-05,63.96,45.33,109.29,18.63,31.81,18.63
GPSC,2026-01-06,149.83,95.17,245.00,54.66,32.19,73.29
GPSC,2026-01-07,49.31,45.30,94.61,4.00,30.02,77.29
GPSC,2026-01-08,55.13,49.42,104.55,5.72,36.94,83.01
GPSC,2026-01-09,14.78,41.09,55.87,-26.31,38.12,56.70
GPSC,2026-01-12,35.57,36.68,72.25,-1.11,27.06,55.59
GPSC,2026-01-13,39.16,61.13,100.29,-21.98,24.15,33.61
GPSC,2026-01-14,32.83,40.99,73.82,-8.16,31.97,25.45
GPSC,2026-01-15,76.85,43.11,119.97,33.74,33.74,59.19
GPSC,2026-01-16,111.12,78.63,189.75,32.49,29.60,91.68
GPSC,2026-01-19,49.59,80.22,129.81,-30.63,30.60,61.05
GPSC,2026-01-20,60.19,60.39,120.58,-0.20,25.38,60.85
GPSC,2026-01-21,77.92,72.75,150.67,5.17,32.92,66.02
GPSC,2026-01-22,79.15,100.35,179.49,-21.20,38.64,44.82
GPSC,2026-01-23,61.14,60.00,121.14,1.13,17.86,45.95
GPSC,2026-01-26,58.86,43.11,101.97,15.75,23.38,61.70
GPSC,2026-01-27,154.85,156.98,311.83,-2.14,31.77,59.56
GPSC,2026-01-28,34.45,64.71,99.16,-30.26,19.75,29.30
GPSC,2026-01-29,81.22,113.84,195.06,-32.62,39.47,-3.32
GPSC,2026-01-30,29.49,39.44,68.92,-9.95,28.11,-13.27
GPSC,2026-02-02,69.59,107.47,177.07,-37.88,24.04,-51.15
GPSC,2026-02-03,182.79,231.15,413.94,-48.36,32.89,-99.51
GPSC,2026-02-04,73.49,138.25,211.75,-64.76,27.32,-164.27
GPSC,2026-02-05,56.61,70.26,126.88,-13.65,27.98,-177.92
GPSC,2026-02-06,81.40,35.33,116.73,46.08,19.67,-131.84
GPSC,2026-02-09,216.29,69.82,286.11,146.48,26.93,14.64
GPSC,2026-02-10,175.07,137.63,312.70,37.44,36.10,52.08
GPSC,2026-02-11,143.11,93.24,236.35,49.87,35.84,101.95
GPSC,2026-02-12,272.22,167.09,439.31,105.13,25.83,207.08
GPSC,2026-02-13,291.14,155.67,446.80,135.47,28.79,342.55
GPSC,2026-02-16,124.29,51.74,176.03,72.55,25.97,415.10
GPSC,2026-02-17,181.98,105.50,287.48,76.49,32.14,491.59
GPSC,2026-02-18,92.74,69.24,161.98,23.50,30.20,515.09
GPSC,2026-02-19,158.02,139.27,297.29,18.75,30.00,533.84
GPSC,2026-02-20,133.03,108.77,241.79,24.26,22.80,558.10
GPSC,2026-02-23,153.90,145.06,298.96,8.83,34.26,566.93
GPSC,2026-02-24,159.89,88.88,248.77,71.01,31.04,637.94
GPSC,2026-02-25,92.09,152.59,244.69,-60.50,31.52,577.44
GPSC,2026-02-26,88.09,73.54,161.62,14.55,33.88,591.99
GPSC,2026-02-27,86.81,78.07,164.88,8.73,34.21,600.72
GPSC,2026-03-02,301.60,316.11,617.71,-14.51,26.99,586.21
GPSC,2026-03-04,335.03,307.97,643.01,27.06,29.85,613.27
GPSC,2026-03-05,314.52,410.92,725.44,-96.39,36.61,516.88
GPSC,2026-03-06,88.52,232.82,321.34,-144.29,32.84,372.59
GPSC,2026-03-09,228.99,241.10,470.09,-12.11,37.82,360.48
GPSC,2026-03-10,101.29,248.12,349.41,-146.83,29.28,213.65
GPSC,2026-03-11,70.23,145.47,215.71,-75.24,44.50,138.41
GPSC,2026-03-12,135.15,154.64,289.79,-19.49,32.05,118.92
GPSC,2026-03-13,114.13,165.70,279.84,-51.57,31.03,67.35
GPSC,2026-03-16,82.52,105.20,187.72,-22.67,35.13,44.68
GPSC,2026-03-17,134.25,78.22,212.47,56.03,27.08,100.71
GPSC,2026-03-18,131.83,155.84,287.67,-24.01,34.13,76.70
GPSC,2026-03-19,121.63,190.35,311.98,-68.72,30.38,7.98
GPSC,2026-03-20,158.99,93.20,252.19,65.79,31.86,73.77
GPSC,2026-03-23,190.45,90.27,280.72,100.18,28.99,173.95
GPSC,2026-03-24,197.40,193.28,390.67,4.12,32.35,178.07
GPSC,2026-03-25,100.00,124.19,224.19,-24.19,22.78,153.88
GPSC,2026-03-26,129.45,141.23,270.68,-11.77,38.27,142.11
GPSC,2026-03-27,139.41,139.54,278.95,-0.12,25.24,141.99
GPSC,2026-03-30,100.19,102.58,202.77,-2.39,39.93,139.60
GPSC,2026-03-31,67.78,129.33,197.11,-61.54,26.96,78.06
GPSC,2026-04-01,69.54,143.60,213.14,-74.07,18.10,3.99
GPSC,2026-04-02,72.14,128.98,201.12,-56.84,21.97,-52.85
GPSC,2026-04-03,67.10,73.51,140.61,-6.41,32.17,-59.26
GPSC,2026-04-07,33.96,21.20,55.16,12.75,25.69,-46.51
GPSC,2026-04-08,103.43,103.11,206.55,0.32,18.94,-46.19
GPSC,2026-04-09,43.18,131.46,174.64,-88.29,24.87,-134.48
GPSC,2026-04-10,18.46,39.89,58.34,-21.43,21.77,-155.91
GPSC,2026-04-16,70.41,88.18,158.59,-17.77,23.09,-173.68
GPSC,2026-04-17,38.89,79.85,118.74,-40.97,32.97,-214.65
GPSC,2026-04-20,95.52,84.38,179.90,11.14,29.72,-203.51
GPSC,2026-04-21,27.57,69.13,96.70,-41.56,23.19,-245.07
