symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
GULF,2026-01-05,247.64,173.34,420.97,74.30,22.70,74.30
GULF,2026-01-06,446.03,234.41,680.44,211.63,31.38,285.93
GULF,2026-01-07,282.44,323.59,606.03,-41.15,24.69,244.78
GULF,2026-01-08,162.82,196.45,359.27,-33.63,17.31,211.15
GULF,2026-01-09,378.04,245.62,623.66,132.42,26.25,343.57
GULF,2026-01-12,101.21,171.28,272.49,-70.08,21.80,273.49
GULF,2026-01-13,161.95,171.84,333.79,-9.89,20.50,263.60
GULF,2026-01-14,102.33,86.23,188.56,16.10,18.44,279.70
GULF,2026-01-15,360.54,458.69,819.24,-98.15,20.49,181.55
GULF,2026-01-16,566.32,313.46,879.78,252.86,17.49,434.41
GULF,2026-01-19,297.84,380.05,677.90,-82.21,24.66,352.20
GULF,2026-01-20,608.65,771.62,1380.28,-162.97,25.90,189.23
GULF,2026-01-21,464.22,505.94,970.16,-41.72,26.51,147.51
GULF,2026-01-22,768.36,430.75,1199.12,337.61,30.91,485.12
GULF,2026-01-23,677.20,397.08,1074.28,280.12,25.74,765.24
GULF,2026-01-26,686.71,314.12,1000.83,372.59,29.68,1137.83
GULF,2026-01-27,616.65,509.67,1126.33,106.98,32.60,1244.81
GULF,2026-01-28,402.19,296.16,698.35,106.02,25.39,1350.83
GULF,2026-01-29,377.32,206.18,583.50,171.15,29.15,1521.98
GULF,2026-01-30,301.27,306.50,607.77,-5.24,31.33,1516.74
GULF,2026-02-02,590.81,191.67,782.48,399.14,31.51,1915.88
GULF,2026-02-03,588.12,599.96,1188.07,-11.84,25.02,1904.04
GULF,2026-02-04,609.86,399.48,1009.34,210.39,18.14,2114.43
GULF,2026-02-05,571.93,388.11,960.04,183.83,17.91,2298.26
GULF,2026-02-06,452.32,253.05,705.37,199.27,21.54,2497.53
GULF,2026-02-09,1982.29,1260.30,3242.59,721.99,28.26,3219.52
GULF,2026-02-10,1183.30,856.13,2039.43,327.17,26.24,3546.69
GULF,2026-02-11,751.89,800.58,1552.47,-48.70,20.69,3497.99
GULF,2026-02-12,910.24,770.06,1680.31,140.18,26.12,3638.17
GULF,2026-02-13,794.56,644.02,1438.59,150.54,20.83,3788.71
GULF,2026-02-16,515.19,852.68,1367.87,-337.49,19.51,3451.22
GULF,2026-02-17,791.46,793.19,1584.65,-1.73,22.38,3449.49
GULF,2026-02-18,755.71,951.07,1706.79,-195.36,13.97,3254.13
GULF,2026-02-19,879.09,716.99,1596.08,162.10,23.31,3416.23
GULF,2026-02-20,1058.95,679.74,1738.69,379.21,28.00,3795.44
GULF,2026-02-23,982.24,872.91,1855.15,109.34,24.23,3904.78
GULF,2026-02-24,1236.69,528.34,1765.03,708.35,23.83,4613.13
GULF,2026-02-25,1332.45,1569.40,2901.85,-236.95,24.18,4376.18
GULF,2026-02-26,742.72,950.47,1693.19,-207.75,27.59,4168.43
GULF,2026-02-27,1273.73,1631.95,2905.68,-358.23,28.51,3810.20
GULF,2026-03-02,1569.44,1652.91,3222.35,-83.48,21.01,3726.72
GULF,2026-03-04,3073.87,2226.51,5300.38,847.36,23.11,4574.08
GULF,2026-03-05,1913.90,2170.60,4084.50,-256.70,32.67,4317.38
GULF,2026-03-06,871.06,1026.29,1897.35,-155.22,31.94,4162.16
GULF,2026-03-09,1567.36,1907.07,3474.44,-339.71,34.44,3822.45
GULF,2026-03-10,630.41,988.69,1619.10,-358.28,27.73,3464.17
GULF,2026-03-11,613.12,1001.22,1614.34,-388.10,27.03,3076.07
GULF,2026-03-12,644.31,586.03,1230.34,58.28,28.78,3134.35
GULF,2026-03-13,562.42,901.04,1463.46,-338.63,31.39,2795.72
GULF,2026-03-16,582.14,803.99,1386.14,-221.85,31.39,2573.87
GULF,2026-03-17,1038.55,1466.53,2505.08,-427.98,25.89,2145.89
GULF,2026-03-18,501.77,879.65,1381.42,-377.88,22.67,1768.01
GULF,2026-03-19,530.99,1064.63,1595.62,-533.63,27.99,1234.38
GULF,2026-03-20,910.88,823.68,1734.56,87.20,37.30,1321.58
GULF,2026-03-23,207.67,773.27,980.94,-565.60,24.43,755.98
GULF,2026-03-24,571.60,864.82,1436.43,-293.22,32.55,462.76
GULF,2026-03-25,990.14,708.00,1698.14,282.14,25.53,744.90
GULF,2026-03-26,775.64,796.30,1571.94,-20.66,30.64,724.24
GULF,2026-03-27,1038.49,681.94,1720.43,356.55,22.38,1080.79
GULF,2026-03-30,469.59,910.65,1380.25,-441.06,28.14,639.73
GULF,2026-03-31,397.83,734.16,1131.99,-336.33,22.60,303.40
GULF,2026-04-01,574.51,569.86,1144.37,4.65,21.97,308.05
GULF,2026-04-02,249.63,426.23,675.86,-176.60,23.79,131.45
GULF,2026-04-03,510.23,615.53,1125.76,-105.29,20.23,26.16
GULF,2026-04-07,418.56,274.01,692.57,144.55,22.33,170.71
GULF,2026-04-08,743.31,564.94,1308.25,178.37,26.01,349.08
GULF,2026-04-09,573.42,721.47,1294.89,-148.05,22.60,201.03
GULF,2026-04-10,237.15,184.54,421.69,52.61,25.71,253.64
GULF,2026-04-16,422.24,377.53,799.78,44.71,16.05,298.35
GULF,2026-04-17,475.47,419.12,894.59,56.36,18.26,354.71
GULF,2026-04-20,367.78,223.75,591.53,144.04,34.23,498.75
GULF,2026-04-21,272.57,194.15,466.72,78.42,27.84,577.17
