symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
GUNKUL,2026-01-05,2.50,0.36,2.87,2.14,8.82,2.14
GUNKUL,2026-01-06,3.12,2.27,5.39,0.85,9.09,2.99
GUNKUL,2026-01-07,9.95,1.44,11.39,8.51,19.07,11.50
GUNKUL,2026-01-08,0.59,4.73,5.31,-4.14,24.27,7.36
GUNKUL,2026-01-09,3.96,3.18,7.14,0.78,37.51,8.14
GUNKUL,2026-01-12,2.34,5.41,7.75,-3.08,12.86,5.06
GUNKUL,2026-01-13,3.34,2.36,5.70,0.98,16.51,6.04
GUNKUL,2026-01-14,0.60,0.86,1.46,-0.25,8.52,5.79
GUNKUL,2026-01-15,4.62,2.26,6.88,2.36,19.19,8.15
GUNKUL,2026-01-16,2.98,0.97,3.95,2.00,11.65,10.15
GUNKUL,2026-01-19,7.57,3.45,11.01,4.12,24.01,14.27
GUNKUL,2026-01-20,6.17,3.47,9.65,2.70,16.91,16.97
GUNKUL,2026-01-21,8.71,1.94,10.66,6.77,15.88,23.74
GUNKUL,2026-01-22,5.73,8.21,13.94,-2.48,21.91,21.26
GUNKUL,2026-01-23,1.95,5.84,7.80,-3.89,23.98,17.37
GUNKUL,2026-01-26,1.61,3.93,5.54,-2.32,13.77,15.05
GUNKUL,2026-01-27,2.12,1.33,3.45,0.80,15.27,15.85
GUNKUL,2026-01-28,2.56,1.33,3.89,1.22,19.44,17.07
GUNKUL,2026-01-29,2.35,1.42,3.77,0.93,19.11,18.00
GUNKUL,2026-01-30,0.23,0.93,1.16,-0.70,11.41,17.30
GUNKUL,2026-02-02,18.58,5.40,23.98,13.18,32.06,30.48
GUNKUL,2026-02-03,14.09,2.03,16.13,12.06,21.30,42.54
GUNKUL,2026-02-04,2.77,6.33,9.10,-3.55,27.35,38.99
GUNKUL,2026-02-05,2.64,1.24,3.88,1.40,20.92,40.39
GUNKUL,2026-02-06,4.53,4.31,8.83,0.22,18.87,40.61
GUNKUL,2026-02-09,33.50,5.55,39.05,27.95,24.75,68.56
GUNKUL,2026-02-10,23.27,14.80,38.07,8.46,19.87,77.02
GUNKUL,2026-02-11,25.33,2.86,28.19,22.47,22.87,99.49
GUNKUL,2026-02-12,48.37,16.91,65.28,31.47,16.96,130.96
GUNKUL,2026-02-13,26.84,15.45,42.29,11.39,16.92,142.35
GUNKUL,2026-02-16,7.04,10.01,17.05,-2.96,17.62,139.39
GUNKUL,2026-02-17,24.04,30.04,54.09,-6.00,19.19,133.39
GUNKUL,2026-02-18,20.52,2.64,23.16,17.88,15.85,151.27
GUNKUL,2026-02-19,16.58,12.50,29.09,4.08,14.25,155.35
GUNKUL,2026-02-20,30.53,8.80,39.33,21.73,19.86,177.08
GUNKUL,2026-02-23,31.59,28.70,60.29,2.89,20.31,179.97
GUNKUL,2026-02-24,21.11,14.92,36.03,6.19,17.52,186.16
GUNKUL,2026-02-25,4.60,34.49,39.09,-29.89,16.99,156.27
GUNKUL,2026-02-26,14.12,7.71,21.83,6.41,10.78,162.68
GUNKUL,2026-02-27,15.01,13.23,28.24,1.78,18.78,164.46
GUNKUL,2026-03-02,58.60,15.67,74.27,42.94,18.31,207.40
GUNKUL,2026-03-04,55.62,29.88,85.50,25.73,23.72,233.13
GUNKUL,2026-03-05,24.25,44.68,68.93,-20.43,27.48,212.70
GUNKUL,2026-03-06,16.66,16.10,32.76,0.57,23.78,213.27
GUNKUL,2026-03-09,18.88,42.70,61.58,-23.82,24.68,189.45
GUNKUL,2026-03-10,11.80,19.41,31.20,-7.61,18.18,181.84
GUNKUL,2026-03-11,24.39,8.30,32.69,16.08,17.63,197.92
GUNKUL,2026-03-12,20.12,6.30,26.42,13.82,19.47,211.74
GUNKUL,2026-03-13,6.11,17.84,23.95,-11.73,22.41,200.01
GUNKUL,2026-03-16,8.86,8.29,17.15,0.57,16.32,200.58
GUNKUL,2026-03-17,18.34,20.98,39.32,-2.63,26.65,197.95
GUNKUL,2026-03-18,25.89,20.97,46.85,4.92,23.63,202.87
GUNKUL,2026-03-19,22.68,22.51,45.19,0.17,24.45,203.04
GUNKUL,2026-03-20,75.32,18.23,93.55,57.09,21.65,260.13
GUNKUL,2026-03-23,22.38,47.57,69.95,-25.18,22.03,234.95
GUNKUL,2026-03-24,13.59,27.31,40.90,-13.71,20.88,221.24
GUNKUL,2026-03-25,32.73,27.13,59.85,5.60,21.80,226.84
GUNKUL,2026-03-26,28.29,44.07,72.35,-15.78,18.33,211.06
GUNKUL,2026-03-27,26.44,37.11,63.56,-10.67,15.21,200.39
GUNKUL,2026-03-30,46.31,33.07,79.38,13.24,23.37,213.63
GUNKUL,2026-03-31,27.97,77.08,105.05,-49.12,18.85,164.51
GUNKUL,2026-04-01,21.99,20.45,42.43,1.54,17.93,166.05
GUNKUL,2026-04-02,24.34,35.80,60.14,-11.46,22.14,154.59
GUNKUL,2026-04-03,11.98,29.30,41.28,-17.31,28.89,137.28
GUNKUL,2026-04-07,4.24,10.86,15.10,-6.62,12.70,130.66
GUNKUL,2026-04-08,21.08,33.17,54.25,-12.09,20.96,118.57
GUNKUL,2026-04-09,2.82,27.05,29.87,-24.23,18.85,94.34
GUNKUL,2026-04-10,11.17,7.14,18.32,4.03,15.56,98.37
GUNKUL,2026-04-16,10.36,17.44,27.80,-7.09,17.34,91.28
GUNKUL,2026-04-17,16.12,32.22,48.34,-16.10,23.62,75.18
GUNKUL,2026-04-20,12.88,13.17,26.05,-0.28,17.99,74.90
GUNKUL,2026-04-21,11.38,16.02,27.39,-4.64,26.90,70.26
