symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
HANA,2026-01-05,27.38,16.49,43.87,10.88,21.57,10.88
HANA,2026-01-06,14.76,34.33,49.08,-19.57,33.09,-8.69
HANA,2026-01-07,33.01,39.33,72.34,-6.31,30.14,-15.00
HANA,2026-01-08,11.27,39.29,50.56,-28.02,29.58,-43.02
HANA,2026-01-09,12.40,33.62,46.03,-21.22,23.04,-64.24
HANA,2026-01-12,5.97,17.56,23.53,-11.59,21.70,-75.83
HANA,2026-01-13,23.60,30.60,54.20,-7.00,25.11,-82.83
HANA,2026-01-14,39.71,33.66,73.38,6.05,39.07,-76.78
HANA,2026-01-15,84.62,67.36,151.98,17.26,41.28,-59.52
HANA,2026-01-16,56.31,33.40,89.71,22.92,38.11,-36.60
HANA,2026-01-19,91.45,39.90,131.35,51.55,32.99,14.95
HANA,2026-01-20,61.16,47.54,108.70,13.62,31.23,28.57
HANA,2026-01-21,47.78,45.37,93.15,2.41,26.49,30.98
HANA,2026-01-22,72.18,112.59,184.77,-40.40,21.51,-9.42
HANA,2026-01-23,53.55,38.27,91.82,15.28,29.45,5.86
HANA,2026-01-26,38.18,60.46,98.64,-22.28,34.25,-16.42
HANA,2026-01-27,42.58,45.45,88.03,-2.86,19.22,-19.28
HANA,2026-01-28,31.21,69.64,100.85,-38.43,24.45,-57.71
HANA,2026-01-29,14.93,60.85,75.78,-45.92,19.69,-103.63
HANA,2026-01-30,18.92,37.34,56.27,-18.42,27.02,-122.05
HANA,2026-02-02,18.72,57.61,76.33,-38.90,23.87,-160.95
HANA,2026-02-03,67.32,79.27,146.60,-11.95,35.02,-172.90
HANA,2026-02-04,39.79,54.82,94.60,-15.03,30.90,-187.93
HANA,2026-02-05,24.74,76.94,101.69,-52.20,35.53,-240.13
HANA,2026-02-06,35.90,35.94,71.84,-0.04,20.67,-240.17
HANA,2026-02-09,89.19,49.30,138.48,39.89,24.83,-200.28
HANA,2026-02-10,78.50,65.60,144.10,12.91,24.37,-187.37
HANA,2026-02-11,33.85,79.93,113.78,-46.08,15.53,-233.45
HANA,2026-02-12,64.21,36.08,100.29,28.13,21.14,-205.32
HANA,2026-02-13,19.60,47.45,67.05,-27.85,18.41,-233.17
HANA,2026-02-16,83.89,48.26,132.15,35.63,31.86,-197.54
HANA,2026-02-17,79.51,21.74,101.26,57.77,29.95,-139.77
HANA,2026-02-18,21.81,67.48,89.29,-45.68,26.51,-185.45
HANA,2026-02-19,209.49,126.83,336.33,82.66,18.72,-102.79
HANA,2026-02-20,39.52,270.29,309.81,-230.77,15.92,-333.56
HANA,2026-02-23,89.01,133.69,222.70,-44.67,12.86,-378.23
HANA,2026-02-24,33.63,27.10,60.73,6.53,17.35,-371.70
HANA,2026-02-25,66.68,109.08,175.76,-42.40,18.21,-414.10
HANA,2026-02-26,7.45,57.56,65.01,-50.11,15.43,-464.21
HANA,2026-02-27,210.22,58.18,268.40,152.05,25.02,-312.16
HANA,2026-03-02,471.40,149.96,621.36,321.44,23.63,9.28
HANA,2026-03-04,190.88,322.11,512.99,-131.24,26.26,-121.96
HANA,2026-03-05,379.50,165.10,544.60,214.40,22.01,92.44
HANA,2026-03-06,196.58,350.00,546.58,-153.42,16.83,-60.98
HANA,2026-03-09,297.68,450.86,748.54,-153.17,15.57,-214.15
HANA,2026-03-10,294.60,227.59,522.19,67.01,16.67,-147.14
HANA,2026-03-11,313.10,155.24,468.34,157.86,17.91,10.72
HANA,2026-03-12,306.31,214.85,521.16,91.46,19.21,102.18
HANA,2026-03-13,132.21,99.62,231.83,32.59,12.66,134.77
HANA,2026-03-16,157.69,144.93,302.63,12.76,21.43,147.53
HANA,2026-03-17,147.49,101.17,248.67,46.32,18.08,193.85
HANA,2026-03-18,83.65,87.75,171.41,-4.10,11.07,189.75
HANA,2026-03-19,447.73,79.16,526.89,368.57,22.19,558.32
HANA,2026-03-20,199.63,206.64,406.27,-7.01,21.74,551.31
HANA,2026-03-23,122.24,156.53,278.77,-34.29,17.84,517.02
HANA,2026-03-24,255.84,267.23,523.07,-11.39,22.60,505.63
HANA,2026-03-25,542.25,236.33,778.58,305.92,16.23,811.55
HANA,2026-03-26,169.10,264.46,433.57,-95.36,17.30,716.19
HANA,2026-03-27,48.40,160.31,208.71,-111.91,18.70,604.28
HANA,2026-03-30,86.14,259.94,346.07,-173.80,27.29,430.48
HANA,2026-03-31,99.26,279.07,378.33,-179.81,18.36,250.67
HANA,2026-04-01,373.22,163.68,536.90,209.54,14.93,460.21
HANA,2026-04-02,389.25,173.02,562.27,216.23,21.09,676.44
HANA,2026-04-03,160.64,271.23,431.87,-110.59,26.43,565.85
HANA,2026-04-07,68.37,74.70,143.06,-6.33,20.11,559.52
HANA,2026-04-08,93.48,145.22,238.70,-51.74,19.90,507.78
HANA,2026-04-09,47.32,138.76,186.08,-91.44,14.42,416.34
HANA,2026-04-10,53.24,168.40,221.64,-115.16,12.56,301.18
HANA,2026-04-16,97.63,75.10,172.73,22.53,10.09,323.71
HANA,2026-04-17,141.29,216.43,357.72,-75.14,15.96,248.57
HANA,2026-04-20,72.95,123.46,196.42,-50.51,19.81,198.06
HANA,2026-04-21,55.57,133.18,188.75,-77.61,12.13,120.45
