symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
HMPRO,2026-01-05,26.91,53.02,79.93,-26.11,23.48,-26.11
HMPRO,2026-01-06,6.01,24.45,30.46,-18.44,18.22,-44.55
HMPRO,2026-01-07,35.01,15.74,50.75,19.27,23.02,-25.28
HMPRO,2026-01-08,25.00,37.62,62.63,-12.62,21.54,-37.90
HMPRO,2026-01-09,47.56,33.94,81.50,13.61,36.30,-24.29
HMPRO,2026-01-12,50.90,31.35,82.26,19.55,19.29,-4.74
HMPRO,2026-01-13,77.28,66.17,143.45,11.11,24.18,6.37
HMPRO,2026-01-14,20.80,30.01,50.82,-9.21,29.29,-2.84
HMPRO,2026-01-15,71.52,35.03,106.55,36.48,29.77,33.64
HMPRO,2026-01-16,73.49,95.57,169.06,-22.09,17.44,11.55
HMPRO,2026-01-19,79.85,35.28,115.13,44.57,25.47,56.12
HMPRO,2026-01-20,106.48,64.59,171.06,41.89,24.98,98.01
HMPRO,2026-01-21,37.20,25.46,62.66,11.74,21.38,109.75
HMPRO,2026-01-22,62.48,57.27,119.75,5.21,32.60,114.96
HMPRO,2026-01-23,91.35,58.01,149.37,33.34,33.93,148.30
HMPRO,2026-01-26,100.36,64.12,164.48,36.25,39.28,184.55
HMPRO,2026-01-27,96.44,67.44,163.88,29.00,36.52,213.55
HMPRO,2026-01-28,108.74,124.56,233.29,-15.82,33.27,197.73
HMPRO,2026-01-29,44.52,43.48,88.00,1.05,32.20,198.78
HMPRO,2026-01-30,299.26,132.09,431.36,167.17,47.28,365.95
HMPRO,2026-02-02,50.73,116.50,167.24,-65.77,17.31,300.18
HMPRO,2026-02-03,72.45,92.55,165.00,-20.09,30.46,280.09
HMPRO,2026-02-04,52.70,36.38,89.08,16.33,20.33,296.42
HMPRO,2026-02-05,76.39,24.00,100.39,52.39,25.76,348.81
HMPRO,2026-02-06,49.16,55.19,104.35,-6.04,22.23,342.77
HMPRO,2026-02-09,285.30,106.65,391.94,178.65,21.83,521.42
HMPRO,2026-02-10,141.90,67.26,209.16,74.64,16.38,596.06
HMPRO,2026-02-11,94.05,138.35,232.40,-44.30,22.16,551.76
HMPRO,2026-02-12,287.91,57.93,345.85,229.98,25.85,781.74
HMPRO,2026-02-13,93.17,140.93,234.09,-47.76,18.36,733.98
HMPRO,2026-02-16,48.07,102.42,150.49,-54.34,19.09,679.64
HMPRO,2026-02-17,88.44,69.74,158.18,18.70,17.37,698.34
HMPRO,2026-02-18,175.99,123.21,299.21,52.78,24.61,751.12
HMPRO,2026-02-19,88.27,130.55,218.82,-42.28,19.38,708.84
HMPRO,2026-02-20,91.78,133.77,225.55,-41.99,17.88,666.85
HMPRO,2026-02-23,78.41,146.67,225.08,-68.25,21.03,598.60
HMPRO,2026-02-24,54.45,87.26,141.71,-32.81,30.51,565.79
HMPRO,2026-02-25,144.08,122.85,266.93,21.23,31.38,587.02
HMPRO,2026-02-26,109.88,71.66,181.54,38.21,20.71,625.23
HMPRO,2026-02-27,128.07,135.28,263.35,-7.22,24.02,618.01
HMPRO,2026-03-02,66.61,163.38,229.99,-96.77,21.38,521.24
HMPRO,2026-03-04,181.06,229.70,410.76,-48.65,21.79,472.59
HMPRO,2026-03-05,114.60,223.37,337.98,-108.77,27.22,363.82
HMPRO,2026-03-06,42.62,129.54,172.16,-86.92,30.37,276.90
HMPRO,2026-03-09,97.14,110.15,207.30,-13.01,29.92,263.89
HMPRO,2026-03-10,69.24,168.36,237.59,-99.12,31.39,164.77
HMPRO,2026-03-11,84.61,82.06,166.67,2.54,35.79,167.31
HMPRO,2026-03-12,38.34,70.82,109.16,-32.47,27.01,134.84
HMPRO,2026-03-13,62.64,90.02,152.66,-27.38,21.84,107.46
HMPRO,2026-03-16,48.26,56.37,104.62,-8.11,29.66,99.35
HMPRO,2026-03-17,41.78,42.35,84.13,-0.57,26.09,98.78
HMPRO,2026-03-18,65.05,47.77,112.82,17.28,26.36,116.06
HMPRO,2026-03-19,24.59,87.47,112.06,-62.87,18.63,53.19
HMPRO,2026-03-20,36.67,37.55,74.23,-0.88,25.12,52.31
HMPRO,2026-03-23,44.04,57.56,101.61,-13.52,19.86,38.79
HMPRO,2026-03-24,90.58,73.50,164.08,17.08,35.45,55.87
HMPRO,2026-03-25,51.26,52.22,103.48,-0.96,23.92,54.91
HMPRO,2026-03-26,31.31,50.59,81.91,-19.28,26.77,35.63
HMPRO,2026-03-27,131.54,78.90,210.44,52.64,36.65,88.27
HMPRO,2026-03-30,132.97,77.44,210.40,55.53,35.40,143.80
HMPRO,2026-03-31,82.72,38.30,121.01,44.42,25.01,188.22
HMPRO,2026-04-01,59.45,47.53,106.98,11.92,19.94,200.14
HMPRO,2026-04-02,55.46,51.27,106.72,4.19,23.68,204.33
HMPRO,2026-04-03,42.28,45.26,87.54,-2.99,39.13,201.34
HMPRO,2026-04-07,55.48,29.78,85.26,25.70,26.58,227.04
HMPRO,2026-04-08,87.90,18.83,106.73,69.07,33.41,296.11
HMPRO,2026-04-09,22.49,54.18,76.67,-31.68,35.65,264.43
HMPRO,2026-04-10,32.15,38.74,70.89,-6.60,31.87,257.83
HMPRO,2026-04-16,66.06,29.41,95.47,36.64,37.45,294.47
HMPRO,2026-04-17,22.02,42.55,64.57,-20.53,36.01,273.94
HMPRO,2026-04-20,65.27,42.34,107.61,22.93,30.70,296.87
HMPRO,2026-04-21,56.50,35.37,91.87,21.12,22.06,317.99
