symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
ICHI,2026-01-05,8.02,21.99,30.01,-13.98,17.49,-13.98
ICHI,2026-01-06,19.45,9.82,29.27,9.64,22.27,-4.34
ICHI,2026-01-07,21.16,25.97,47.13,-4.81,27.52,-9.15
ICHI,2026-01-08,2.30,13.77,16.06,-11.47,22.30,-20.62
ICHI,2026-01-09,5.77,9.86,15.63,-4.09,22.85,-24.71
ICHI,2026-01-12,11.28,13.78,25.06,-2.50,20.12,-27.21
ICHI,2026-01-13,19.47,12.47,31.94,7.00,19.12,-20.21
ICHI,2026-01-14,16.09,5.48,21.57,10.61,33.26,-9.60
ICHI,2026-01-15,13.22,7.41,20.63,5.81,29.54,-3.79
ICHI,2026-01-16,2.95,4.46,7.41,-1.51,14.15,-5.30
ICHI,2026-01-19,4.88,4.39,9.28,0.49,21.47,-4.81
ICHI,2026-01-20,53.57,42.94,96.52,10.63,28.26,5.82
ICHI,2026-01-21,22.19,34.06,56.25,-11.87,24.97,-6.05
ICHI,2026-01-22,17.69,39.68,57.37,-21.99,22.77,-28.04
ICHI,2026-01-23,1.01,8.34,9.35,-7.33,14.53,-35.37
ICHI,2026-01-26,5.85,8.84,14.69,-2.99,17.95,-38.36
ICHI,2026-01-27,8.33,13.96,22.29,-5.63,27.71,-43.99
ICHI,2026-01-28,0.26,4.04,4.29,-3.78,11.17,-47.77
ICHI,2026-01-29,4.18,14.22,18.39,-10.04,25.15,-57.81
ICHI,2026-01-30,1.17,5.64,6.81,-4.47,10.34,-62.28
ICHI,2026-02-02,5.42,7.52,12.93,-2.10,22.12,-64.38
ICHI,2026-02-03,23.86,7.40,31.26,16.46,23.75,-47.92
ICHI,2026-02-04,5.25,18.89,24.14,-13.63,19.51,-61.55
ICHI,2026-02-05,8.86,14.06,22.92,-5.20,23.54,-66.75
ICHI,2026-02-06,7.26,10.19,17.45,-2.93,20.79,-69.68
ICHI,2026-02-09,25.61,11.43,37.04,14.17,10.75,-55.51
ICHI,2026-02-10,34.99,5.63,40.62,29.36,20.10,-26.15
ICHI,2026-02-11,8.10,14.18,22.28,-6.08,19.18,-32.23
ICHI,2026-02-12,29.87,7.13,37.00,22.74,26.56,-9.49
ICHI,2026-02-13,14.66,24.91,39.57,-10.25,25.38,-19.74
ICHI,2026-02-16,7.13,5.46,12.59,1.67,14.39,-18.07
ICHI,2026-02-17,22.83,9.88,32.71,12.95,28.39,-5.12
ICHI,2026-02-18,12.56,15.97,28.54,-3.41,19.91,-8.53
ICHI,2026-02-19,16.24,15.19,31.42,1.05,13.90,-7.48
ICHI,2026-02-20,9.31,28.74,38.05,-19.44,16.09,-26.92
ICHI,2026-02-23,4.73,28.53,33.26,-23.80,13.19,-50.72
ICHI,2026-02-24,15.81,27.02,42.83,-11.21,18.32,-61.93
ICHI,2026-02-25,11.49,44.77,56.26,-33.28,20.21,-95.21
ICHI,2026-02-26,17.04,34.00,51.04,-16.97,21.16,-112.18
ICHI,2026-02-27,13.90,13.18,27.09,0.72,16.73,-111.46
ICHI,2026-03-02,15.79,17.29,33.08,-1.50,11.15,-112.96
ICHI,2026-03-04,63.87,59.39,123.26,4.48,18.11,-108.48
ICHI,2026-03-05,11.07,35.19,46.26,-24.12,14.63,-132.60
ICHI,2026-03-06,34.10,24.08,58.18,10.02,22.09,-122.58
ICHI,2026-03-09,24.48,14.14,38.62,10.34,19.21,-112.24
ICHI,2026-03-10,9.45,23.97,33.42,-14.52,20.29,-126.76
ICHI,2026-03-11,8.77,9.58,18.35,-0.81,11.98,-127.57
ICHI,2026-03-12,19.96,20.65,40.61,-0.69,14.84,-128.26
ICHI,2026-03-13,16.54,26.89,43.43,-10.35,12.32,-138.61
ICHI,2026-03-16,9.90,24.29,34.18,-14.39,19.61,-153.00
ICHI,2026-03-17,0.11,5.52,5.63,-5.41,5.84,-158.41
ICHI,2026-03-18,3.62,9.04,12.66,-5.42,17.85,-163.83
ICHI,2026-03-19,55.37,56.74,112.10,-1.37,17.44,-165.20
ICHI,2026-03-20,32.83,10.53,43.35,22.30,12.86,-142.90
ICHI,2026-03-23,12.85,21.04,33.89,-8.19,10.56,-151.09
ICHI,2026-03-24,10.09,15.52,25.61,-5.43,13.69,-156.52
ICHI,2026-03-25,19.23,9.29,28.52,9.95,13.47,-146.57
ICHI,2026-03-26,17.18,9.20,26.38,7.99,12.24,-138.58
ICHI,2026-03-27,37.88,28.94,66.82,8.95,20.85,-129.63
ICHI,2026-03-30,14.87,18.12,32.99,-3.25,20.16,-132.88
ICHI,2026-03-31,16.29,19.71,36.01,-3.42,14.42,-136.30
ICHI,2026-04-01,3.41,33.55,36.96,-30.14,9.63,-166.44
ICHI,2026-04-02,16.18,13.90,30.07,2.28,13.60,-164.16
ICHI,2026-04-03,31.28,18.13,49.40,13.15,21.04,-151.01
ICHI,2026-04-07,10.62,17.91,28.53,-7.29,12.44,-158.30
ICHI,2026-04-08,17.04,22.91,39.95,-5.87,23.69,-164.17
ICHI,2026-04-09,7.99,17.55,25.54,-9.56,14.71,-173.73
ICHI,2026-04-10,7.00,2.89,9.89,4.12,14.32,-169.61
ICHI,2026-04-16,15.75,8.21,23.96,7.54,24.74,-162.07
ICHI,2026-04-17,7.59,5.55,13.14,2.03,16.82,-160.04
ICHI,2026-04-20,17.54,8.72,26.26,8.82,20.54,-151.22
ICHI,2026-04-21,8.85,5.40,14.25,3.45,23.41,-147.77
