symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
IRPC,2026-01-05,18.50,1.95,20.45,16.54,26.71,16.54
IRPC,2026-01-06,34.52,4.08,38.60,30.44,21.87,46.98
IRPC,2026-01-07,21.42,7.22,28.64,14.20,20.14,61.18
IRPC,2026-01-08,19.23,2.88,22.11,16.35,26.32,77.53
IRPC,2026-01-09,36.44,4.28,40.72,32.17,24.39,109.70
IRPC,2026-01-12,13.02,7.49,20.51,5.53,24.55,115.23
IRPC,2026-01-13,8.77,4.86,13.63,3.91,23.20,119.14
IRPC,2026-01-14,26.67,6.81,33.48,19.86,21.15,139.00
IRPC,2026-01-15,42.16,13.05,55.21,29.11,27.57,168.11
IRPC,2026-01-16,30.13,16.49,46.62,13.64,30.95,181.75
IRPC,2026-01-19,20.07,12.47,32.53,7.60,22.81,189.35
IRPC,2026-01-20,24.86,12.37,37.24,12.49,27.62,201.84
IRPC,2026-01-21,51.32,15.18,66.50,36.14,29.30,237.98
IRPC,2026-01-22,33.34,13.72,47.06,19.62,30.00,257.60
IRPC,2026-01-23,37.97,24.54,62.51,13.43,36.73,271.03
IRPC,2026-01-26,41.43,45.04,86.47,-3.61,41.21,267.42
IRPC,2026-01-27,21.91,16.13,38.04,5.78,30.72,273.20
IRPC,2026-01-28,17.31,26.73,44.04,-9.41,23.52,263.79
IRPC,2026-01-29,16.73,25.52,42.25,-8.78,32.61,255.01
IRPC,2026-01-30,25.85,23.75,49.60,2.10,30.27,257.11
IRPC,2026-02-02,15.08,23.21,38.29,-8.14,24.34,248.97
IRPC,2026-02-03,23.97,17.96,41.93,6.00,24.09,254.97
IRPC,2026-02-04,49.51,17.75,67.25,31.76,30.71,286.73
IRPC,2026-02-05,6.42,14.14,20.57,-7.72,25.47,279.01
IRPC,2026-02-06,15.50,9.79,25.30,5.71,26.71,284.72
IRPC,2026-02-09,22.35,17.73,40.08,4.62,25.79,289.34
IRPC,2026-02-10,55.86,4.16,60.02,51.70,28.45,341.04
IRPC,2026-02-11,42.37,25.09,67.46,17.28,22.26,358.32
IRPC,2026-02-12,24.90,15.08,39.99,9.82,24.26,368.14
IRPC,2026-02-13,41.15,11.37,52.52,29.78,21.95,397.92
IRPC,2026-02-16,9.99,17.63,27.62,-7.63,26.04,390.29
IRPC,2026-02-17,33.92,22.20,56.12,11.73,27.45,402.02
IRPC,2026-02-18,35.93,45.35,81.28,-9.42,33.71,392.60
IRPC,2026-02-19,86.77,15.62,102.38,71.15,26.89,463.75
IRPC,2026-02-20,48.42,31.91,80.33,16.50,33.11,480.25
IRPC,2026-02-23,33.26,30.27,63.53,2.99,37.19,483.24
IRPC,2026-02-24,47.85,33.80,81.65,14.05,30.30,497.29
IRPC,2026-02-25,51.35,40.47,91.82,10.87,32.63,508.16
IRPC,2026-02-26,14.20,50.96,65.17,-36.76,37.49,471.40
IRPC,2026-02-27,55.02,27.19,82.21,27.83,33.80,499.23
IRPC,2026-03-02,36.54,41.75,78.30,-5.21,26.52,494.02
IRPC,2026-03-04,50.02,45.22,95.23,4.80,28.49,498.82
IRPC,2026-03-05,34.54,31.22,65.77,3.32,33.84,502.14
IRPC,2026-03-06,21.44,16.17,37.60,5.27,29.38,507.41
IRPC,2026-03-09,22.40,27.52,49.91,-5.12,29.54,502.29
IRPC,2026-03-10,18.65,20.11,38.76,-1.46,32.00,500.83
IRPC,2026-03-11,28.47,20.21,48.68,8.26,30.78,509.09
IRPC,2026-03-12,45.45,17.55,63.00,27.91,24.24,537.00
IRPC,2026-03-13,40.49,51.11,91.60,-10.63,17.71,526.37
IRPC,2026-03-16,23.05,54.10,77.15,-31.05,24.71,495.32
IRPC,2026-03-17,83.13,38.40,121.53,44.73,18.41,540.05
IRPC,2026-03-18,85.92,59.23,145.15,26.69,20.59,566.74
IRPC,2026-03-19,68.08,66.88,134.97,1.20,21.35,567.94
IRPC,2026-03-20,410.49,105.12,515.61,305.37,25.56,873.31
IRPC,2026-03-23,128.79,210.09,338.88,-81.29,27.80,792.02
IRPC,2026-03-24,126.88,83.92,210.80,42.96,25.49,834.98
IRPC,2026-03-25,183.78,178.86,362.63,4.92,23.47,839.90
IRPC,2026-03-26,204.68,205.90,410.58,-1.22,17.84,838.68
IRPC,2026-03-27,71.41,71.07,142.48,0.33,15.16,839.01
IRPC,2026-03-30,147.93,214.04,361.97,-66.11,23.38,772.90
IRPC,2026-03-31,202.98,40.03,243.01,162.94,23.65,935.84
IRPC,2026-04-01,277.98,132.64,410.62,145.34,19.65,1081.18
IRPC,2026-04-02,101.80,86.96,188.76,14.84,21.32,1096.02
IRPC,2026-04-03,102.30,93.61,195.91,8.69,22.93,1104.71
IRPC,2026-04-07,84.73,93.76,178.49,-9.03,21.23,1095.68
IRPC,2026-04-08,69.43,46.91,116.33,22.52,24.34,1118.20
IRPC,2026-04-09,70.89,138.66,209.55,-67.77,31.49,1050.43
IRPC,2026-04-10,15.65,62.27,77.92,-46.62,20.94,1003.81
IRPC,2026-04-16,53.04,39.33,92.37,13.71,27.61,1017.52
IRPC,2026-04-17,30.36,66.71,97.08,-36.35,26.16,981.17
IRPC,2026-04-20,49.79,40.00,89.79,9.78,22.99,990.95
IRPC,2026-04-21,50.02,56.90,106.91,-6.88,35.11,984.07
