symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
IVL,2026-01-05,70.06,31.61,101.67,38.45,15.51,38.45
IVL,2026-01-06,57.92,41.50,99.42,16.42,28.41,54.87
IVL,2026-01-07,401.34,191.75,593.09,209.59,24.05,264.46
IVL,2026-01-08,75.21,100.73,175.94,-25.52,26.00,238.94
IVL,2026-01-09,64.86,94.33,159.19,-29.47,25.33,209.47
IVL,2026-01-12,89.13,92.42,181.55,-3.28,24.45,206.19
IVL,2026-01-13,123.63,82.70,206.33,40.93,25.78,247.12
IVL,2026-01-14,107.61,77.74,185.35,29.86,19.93,276.98
IVL,2026-01-15,170.02,92.50,262.52,77.52,16.41,354.50
IVL,2026-01-16,82.02,162.81,244.83,-80.79,17.59,273.71
IVL,2026-01-19,141.66,51.55,193.21,90.11,16.60,363.82
IVL,2026-01-20,195.99,78.97,274.96,117.03,26.84,480.85
IVL,2026-01-21,171.97,64.41,236.38,107.56,26.86,588.41
IVL,2026-01-22,176.48,107.36,283.84,69.12,32.26,657.53
IVL,2026-01-23,125.46,82.60,208.06,42.86,34.28,700.39
IVL,2026-01-26,164.65,115.62,280.27,49.03,42.84,749.42
IVL,2026-01-27,111.50,72.68,184.18,38.82,21.74,788.24
IVL,2026-01-28,361.39,243.00,604.39,118.40,18.06,906.64
IVL,2026-01-29,123.77,130.23,254.01,-6.46,26.47,900.18
IVL,2026-01-30,136.06,90.67,226.73,45.40,21.94,945.58
IVL,2026-02-02,144.77,102.97,247.74,41.80,26.58,987.38
IVL,2026-02-03,263.66,311.01,574.66,-47.35,20.84,940.03
IVL,2026-02-04,246.75,161.03,407.79,85.72,23.04,1025.75
IVL,2026-02-05,93.52,135.84,229.36,-42.32,25.75,983.43
IVL,2026-02-06,100.58,68.11,168.69,32.47,27.53,1015.90
IVL,2026-02-09,286.82,226.34,513.16,60.48,25.19,1076.38
IVL,2026-02-10,183.96,117.40,301.37,66.56,26.08,1142.94
IVL,2026-02-11,133.88,219.87,353.75,-85.98,22.99,1056.96
IVL,2026-02-12,152.89,94.69,247.58,58.20,23.13,1115.16
IVL,2026-02-13,123.15,123.64,246.79,-0.49,31.28,1114.67
IVL,2026-02-16,95.97,80.05,176.02,15.93,27.04,1130.60
IVL,2026-02-17,53.14,71.73,124.87,-18.58,15.14,1112.02
IVL,2026-02-18,46.08,88.28,134.37,-42.20,24.26,1069.82
IVL,2026-02-19,60.96,69.26,130.22,-8.30,28.26,1061.52
IVL,2026-02-20,99.53,105.49,205.02,-5.96,31.31,1055.56
IVL,2026-02-23,125.36,84.13,209.49,41.23,32.64,1096.79
IVL,2026-02-24,125.63,75.73,201.37,49.90,37.34,1146.69
IVL,2026-02-25,376.13,337.41,713.53,38.72,23.67,1185.41
IVL,2026-02-26,111.31,130.90,242.21,-19.60,23.39,1165.81
IVL,2026-02-27,1006.46,855.62,1862.07,150.84,50.77,1316.65
IVL,2026-03-02,313.88,272.55,586.43,41.34,26.54,1357.99
IVL,2026-03-04,286.13,351.03,637.17,-64.90,32.20,1293.09
IVL,2026-03-05,211.27,287.74,499.01,-76.47,29.94,1216.62
IVL,2026-03-06,183.34,184.51,367.84,-1.17,23.59,1215.45
IVL,2026-03-09,238.58,227.96,466.55,10.62,32.53,1226.07
IVL,2026-03-10,146.75,240.73,387.48,-93.98,35.45,1132.09
IVL,2026-03-11,106.74,116.99,223.72,-10.25,27.85,1121.84
IVL,2026-03-12,209.42,234.03,443.45,-24.61,23.21,1097.23
IVL,2026-03-13,84.52,198.66,283.17,-114.14,27.83,983.09
IVL,2026-03-16,111.74,119.75,231.49,-8.02,24.46,975.07
IVL,2026-03-17,367.38,279.01,646.38,88.37,21.21,1063.44
IVL,2026-03-18,204.34,458.49,662.83,-254.15,21.30,809.29
IVL,2026-03-19,229.71,374.97,604.68,-145.26,19.72,664.03
IVL,2026-03-20,149.95,230.00,379.95,-80.06,18.15,583.97
IVL,2026-03-23,250.69,290.89,541.58,-40.20,18.15,543.77
IVL,2026-03-24,240.30,240.93,481.24,-0.63,15.92,543.14
IVL,2026-03-25,321.17,228.54,549.71,92.63,20.07,635.77
IVL,2026-03-26,228.47,303.78,532.26,-75.31,22.61,560.46
IVL,2026-03-27,211.92,77.89,289.81,134.04,32.18,694.50
IVL,2026-03-30,858.19,490.69,1348.88,367.49,25.42,1061.99
IVL,2026-03-31,319.19,304.30,623.49,14.89,22.69,1076.88
IVL,2026-04-01,548.39,231.15,779.54,317.24,28.49,1394.12
IVL,2026-04-02,178.88,184.83,363.72,-5.95,28.76,1388.17
IVL,2026-04-03,190.94,181.90,372.84,9.04,35.11,1397.21
IVL,2026-04-07,272.80,175.10,447.91,97.70,21.42,1494.91
IVL,2026-04-08,289.62,301.47,591.09,-11.84,20.93,1483.07
IVL,2026-04-09,240.17,304.17,544.34,-64.00,22.48,1419.07
IVL,2026-04-10,123.26,89.91,213.17,33.34,27.93,1452.41
IVL,2026-04-16,165.24,195.12,360.36,-29.87,22.48,1422.54
IVL,2026-04-17,158.91,214.56,373.47,-55.65,23.49,1366.89
IVL,2026-04-20,106.91,271.46,378.37,-164.56,21.86,1202.33
IVL,2026-04-21,162.27,248.64,410.91,-86.36,28.90,1115.97
