symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
JAS,2026-01-05,1.47,0.42,1.89,1.06,11.67,1.06
JAS,2026-01-06,1.13,4.42,5.56,-3.29,13.49,-2.23
JAS,2026-01-07,3.29,1.82,5.11,1.46,14.59,-0.77
JAS,2026-01-08,1.24,4.00,5.24,-2.76,7.56,-3.53
JAS,2026-01-09,0.68,1.11,1.79,-0.42,7.18,-3.95
JAS,2026-01-12,3.34,0.28,3.62,3.06,15.47,-0.89
JAS,2026-01-13,1.00,1.11,2.11,-0.11,9.87,-1.00
JAS,2026-01-14,0.15,1.06,1.21,-0.91,7.07,-1.91
JAS,2026-01-15,1.30,4.59,5.89,-3.29,9.69,-5.20
JAS,2026-01-16,2.51,1.59,4.10,0.92,10.25,-4.28
JAS,2026-01-19,4.05,1.70,5.75,2.35,19.05,-1.93
JAS,2026-01-20,1.14,1.17,2.32,-0.03,9.11,-1.96
JAS,2026-01-21,2.69,0.24,2.93,2.45,10.64,0.49
JAS,2026-01-22,0.90,1.94,2.84,-1.04,11.64,-0.55
JAS,2026-01-23,0.30,1.40,1.70,-1.09,7.84,-1.64
JAS,2026-01-26,1.32,0.52,1.84,0.79,11.31,-0.85
JAS,2026-01-27,0.61,1.09,1.69,-0.48,6.78,-1.33
JAS,2026-01-28,1.52,1.11,2.63,0.41,7.00,-0.92
JAS,2026-01-29,0.91,0.45,1.36,0.46,8.41,-0.46
JAS,2026-01-30,0.62,0.52,1.14,0.10,6.05,-0.36
JAS,2026-02-02,0.94,3.91,4.84,-2.97,21.41,-3.33
JAS,2026-02-03,0.11,1.36,1.46,-1.25,8.01,-4.58
JAS,2026-02-04,0.26,0.57,0.83,-0.31,4.60,-4.89
JAS,2026-02-05,0.84,0.24,1.08,0.60,2.60,-4.29
JAS,2026-02-06,1.11,0.32,1.42,0.79,1.92,-3.50
JAS,2026-02-09,1.20,2.83,4.03,-1.64,8.16,-5.14
JAS,2026-02-10,11.01,2.56,13.57,8.45,12.15,3.31
JAS,2026-02-11,5.90,6.69,12.60,-0.79,17.84,2.52
JAS,2026-02-12,17.63,1.57,19.20,16.06,12.11,18.58
JAS,2026-02-13,24.07,12.59,36.67,11.48,11.26,30.06
JAS,2026-02-16,4.02,25.09,29.11,-21.07,15.94,8.99
JAS,2026-02-17,19.06,7.47,26.53,11.59,13.45,20.58
JAS,2026-02-18,7.00,4.77,11.77,2.23,10.26,22.81
JAS,2026-02-19,14.06,4.50,18.55,9.56,10.33,32.37
JAS,2026-02-20,11.27,17.95,29.22,-6.68,14.85,25.69
JAS,2026-02-23,22.15,10.96,33.11,11.18,19.68,36.87
JAS,2026-02-24,8.09,3.68,11.77,4.42,24.02,41.29
JAS,2026-02-25,4.27,10.78,15.06,-6.51,18.04,34.78
JAS,2026-02-26,14.41,20.92,35.33,-6.51,12.69,28.27
JAS,2026-02-27,2.65,7.82,10.47,-5.17,14.59,23.10
JAS,2026-03-02,12.15,9.48,21.63,2.67,8.04,25.77
JAS,2026-03-04,8.92,7.68,16.60,1.24,7.42,27.01
JAS,2026-03-05,3.92,4.21,8.13,-0.30,7.43,26.71
JAS,2026-03-06,5.19,7.94,13.14,-2.75,17.61,23.96
JAS,2026-03-09,5.99,3.43,9.42,2.56,16.37,26.52
JAS,2026-03-10,2.10,1.33,3.43,0.77,10.20,27.29
JAS,2026-03-11,9.08,11.22,20.30,-2.15,4.58,25.14
JAS,2026-03-12,4.51,4.66,9.17,-0.14,5.77,25.00
JAS,2026-03-13,1.68,6.68,8.36,-5.00,11.26,20.00
JAS,2026-03-16,3.63,3.73,7.37,-0.10,9.95,19.90
JAS,2026-03-17,3.23,3.55,6.78,-0.32,8.90,19.58
JAS,2026-03-18,2.60,3.97,6.58,-1.37,7.10,18.21
JAS,2026-03-19,4.75,3.04,7.79,1.72,13.24,19.93
JAS,2026-03-20,1.33,1.91,3.23,-0.58,6.61,19.35
JAS,2026-03-23,1.72,3.96,5.68,-2.25,10.51,17.10
JAS,2026-03-24,2.70,5.49,8.19,-2.79,13.81,14.31
JAS,2026-03-25,4.16,6.42,10.59,-2.26,14.32,12.05
JAS,2026-03-26,0.17,0.73,0.91,-0.56,3.89,11.49
JAS,2026-03-27,2.02,1.94,3.96,0.08,6.87,11.57
JAS,2026-03-30,8.30,2.73,11.02,5.57,9.12,17.14
JAS,2026-03-31,3.74,2.82,6.57,0.92,11.65,18.06
JAS,2026-04-01,0.76,5.99,6.75,-5.23,9.87,12.83
JAS,2026-04-02,0.59,4.03,4.62,-3.44,9.66,9.39
JAS,2026-04-03,0.26,0.77,1.04,-0.51,4.62,8.88
JAS,2026-04-07,0.73,1.59,2.32,-0.85,5.69,8.03
JAS,2026-04-08,6.21,2.29,8.50,3.91,10.95,11.94
JAS,2026-04-09,0.93,4.50,5.42,-3.57,8.62,8.37
JAS,2026-04-10,0.43,1.15,1.59,-0.72,8.86,7.65
JAS,2026-04-16,1.17,0.81,1.98,0.36,6.55,8.01
JAS,2026-04-17,2.23,1.49,3.72,0.74,20.62,8.75
JAS,2026-04-20,0.28,2.47,2.75,-2.19,6.82,6.56
JAS,2026-04-21,2.36,0.14,2.49,2.22,11.76,8.78
