symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
JMART,2026-01-05,7.90,3.34,11.24,4.56,18.20,4.56
JMART,2026-01-06,4.24,2.63,6.87,1.61,21.58,6.17
JMART,2026-01-07,25.07,6.44,31.52,18.63,22.21,24.80
JMART,2026-01-08,2.64,20.01,22.66,-17.37,20.90,7.43
JMART,2026-01-09,0.62,11.28,11.90,-10.66,12.33,-3.23
JMART,2026-01-12,2.32,7.58,9.90,-5.26,11.92,-8.49
JMART,2026-01-13,4.21,5.66,9.87,-1.44,11.79,-9.93
JMART,2026-01-14,2.92,4.59,7.50,-1.67,17.18,-11.60
JMART,2026-01-15,4.60,8.74,13.34,-4.13,15.38,-15.73
JMART,2026-01-16,22.12,1.64,23.76,20.48,15.97,4.75
JMART,2026-01-19,18.76,1.35,20.11,17.41,18.22,22.16
JMART,2026-01-20,26.32,6.15,32.46,20.17,25.94,42.33
JMART,2026-01-21,12.00,3.43,15.43,8.57,19.27,50.90
JMART,2026-01-22,14.50,18.29,32.79,-3.79,22.65,47.11
JMART,2026-01-23,2.30,6.81,9.11,-4.51,17.21,42.60
JMART,2026-01-26,6.45,5.42,11.88,1.03,26.75,43.63
JMART,2026-01-27,7.69,10.42,18.11,-2.73,23.10,40.90
JMART,2026-01-28,3.86,15.09,18.95,-11.23,24.11,29.67
JMART,2026-01-29,7.56,8.27,15.84,-0.71,16.87,28.96
JMART,2026-01-30,7.78,9.42,17.20,-1.64,19.39,27.32
JMART,2026-02-02,16.02,12.44,28.46,3.58,28.15,30.90
JMART,2026-02-03,18.64,7.48,26.12,11.16,28.46,42.06
JMART,2026-02-04,4.66,13.54,18.20,-8.87,21.71,33.19
JMART,2026-02-05,9.29,15.42,24.72,-6.13,23.45,27.06
JMART,2026-02-06,4.04,10.41,14.45,-6.38,20.77,20.68
JMART,2026-02-09,69.25,13.20,82.44,56.05,25.23,76.73
JMART,2026-02-10,27.27,52.67,79.94,-25.40,15.52,51.33
JMART,2026-02-11,26.83,33.30,60.13,-6.47,20.04,44.86
JMART,2026-02-12,64.25,60.15,124.40,4.09,16.49,48.95
JMART,2026-02-13,49.98,64.60,114.57,-14.62,24.76,34.33
JMART,2026-02-16,24.07,44.11,68.18,-20.04,22.29,14.29
JMART,2026-02-17,25.06,34.88,59.94,-9.82,15.91,4.47
JMART,2026-02-18,40.13,46.11,86.25,-5.98,15.63,-1.51
JMART,2026-02-19,20.21,39.00,59.21,-18.79,17.78,-20.30
JMART,2026-02-20,25.40,31.75,57.15,-6.35,20.72,-26.65
JMART,2026-02-23,25.66,37.95,63.61,-12.29,17.51,-38.94
JMART,2026-02-24,20.23,18.35,38.59,1.88,26.53,-37.06
JMART,2026-02-25,40.98,37.07,78.05,3.90,21.56,-33.16
JMART,2026-02-26,7.53,14.97,22.50,-7.44,13.49,-40.60
JMART,2026-02-27,7.34,18.22,25.57,-10.88,17.60,-51.48
JMART,2026-03-02,16.89,24.74,41.63,-7.85,14.06,-59.33
JMART,2026-03-04,23.14,21.39,44.53,1.75,18.65,-57.58
JMART,2026-03-05,11.20,18.37,29.58,-7.17,19.19,-64.75
JMART,2026-03-06,9.36,15.02,24.38,-5.66,19.02,-70.41
JMART,2026-03-09,22.39,13.42,35.81,8.96,26.74,-61.45
JMART,2026-03-10,38.50,29.86,68.35,8.64,17.49,-52.81
JMART,2026-03-11,18.44,20.90,39.35,-2.46,24.11,-55.27
JMART,2026-03-12,19.85,23.17,43.02,-3.32,25.90,-58.59
JMART,2026-03-13,7.79,22.46,30.25,-14.68,28.30,-73.27
JMART,2026-03-16,9.91,8.09,18.01,1.82,16.54,-71.45
JMART,2026-03-17,10.02,12.75,22.76,-2.73,17.98,-74.18
JMART,2026-03-18,13.12,13.53,26.65,-0.41,16.40,-74.59
JMART,2026-03-19,4.26,8.15,12.42,-3.89,15.15,-78.48
JMART,2026-03-20,10.88,9.24,20.12,1.64,20.60,-76.84
JMART,2026-03-23,1.30,3.58,4.89,-2.28,10.67,-79.12
JMART,2026-03-24,3.90,5.32,9.21,-1.42,12.80,-80.54
JMART,2026-03-25,4.61,3.78,8.39,0.82,12.90,-79.72
JMART,2026-03-26,1.69,1.71,3.41,-0.02,7.69,-79.74
JMART,2026-03-27,3.47,3.69,7.16,-0.22,16.07,-79.96
JMART,2026-03-30,5.12,2.08,7.20,3.04,20.21,-76.92
JMART,2026-03-31,5.22,8.37,13.59,-3.15,12.57,-80.07
JMART,2026-04-01,8.01,5.71,13.72,2.29,10.22,-77.78
JMART,2026-04-02,2.69,3.41,6.10,-0.72,14.83,-78.50
JMART,2026-04-03,2.40,2.49,4.89,-0.09,16.24,-78.59
JMART,2026-04-07,1.68,2.66,4.34,-0.99,10.04,-79.58
JMART,2026-04-08,12.35,3.80,16.15,8.54,13.38,-71.04
JMART,2026-04-09,0.87,7.92,8.80,-7.05,21.21,-78.09
JMART,2026-04-10,0.49,0.52,1.00,-0.03,4.61,-78.12
JMART,2026-04-16,19.54,3.48,23.02,16.06,22.24,-62.06
JMART,2026-04-17,4.79,9.44,14.23,-4.65,27.16,-66.71
JMART,2026-04-20,16.58,10.54,27.12,6.05,19.06,-60.66
JMART,2026-04-21,28.35,22.70,51.05,5.65,18.79,-55.01
