symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
JMT,2026-01-05,8.44,6.15,14.58,2.29,15.75,2.29
JMT,2026-01-06,9.59,11.35,20.94,-1.76,25.02,0.53
JMT,2026-01-07,37.16,22.60,59.76,14.56,18.10,15.09
JMT,2026-01-08,7.95,26.20,34.15,-18.25,14.83,-3.16
JMT,2026-01-09,2.29,5.91,8.20,-3.62,6.78,-6.78
JMT,2026-01-12,3.94,5.57,9.51,-1.63,6.05,-8.41
JMT,2026-01-13,15.31,16.80,32.11,-1.49,13.09,-9.90
JMT,2026-01-14,14.46,9.05,23.51,5.40,17.86,-4.50
JMT,2026-01-15,26.97,10.38,37.35,16.59,16.71,12.09
JMT,2026-01-16,12.07,22.30,34.37,-10.23,20.02,1.86
JMT,2026-01-19,33.13,8.98,42.12,24.15,22.51,26.01
JMT,2026-01-20,35.55,14.74,50.28,20.81,21.84,46.82
JMT,2026-01-21,23.58,14.83,38.41,8.75,30.62,55.57
JMT,2026-01-22,26.00,18.29,44.29,7.72,22.73,63.29
JMT,2026-01-23,19.35,17.47,36.82,1.88,25.81,65.17
JMT,2026-01-26,18.69,7.02,25.71,11.67,19.91,76.84
JMT,2026-01-27,23.49,9.55,33.04,13.95,18.44,90.79
JMT,2026-01-28,10.86,23.50,34.36,-12.64,23.30,78.15
JMT,2026-01-29,10.59,14.22,24.81,-3.64,21.61,74.51
JMT,2026-01-30,7.65,19.47,27.12,-11.83,22.58,62.68
JMT,2026-02-02,25.41,11.46,36.87,13.95,26.73,76.63
JMT,2026-02-03,20.67,10.94,31.61,9.73,20.89,86.36
JMT,2026-02-04,8.73,30.23,38.96,-21.50,20.57,64.86
JMT,2026-02-05,35.38,19.56,54.94,15.82,20.72,80.68
JMT,2026-02-06,10.39,34.80,45.19,-24.40,26.34,56.28
JMT,2026-02-09,145.64,33.54,179.17,112.10,25.67,168.38
JMT,2026-02-10,67.83,110.50,178.33,-42.67,13.60,125.71
JMT,2026-02-11,65.60,93.03,158.62,-27.43,15.00,98.28
JMT,2026-02-12,151.64,71.38,223.02,80.26,14.74,178.54
JMT,2026-02-13,52.73,78.18,130.91,-25.44,17.50,153.10
JMT,2026-02-16,41.83,57.82,99.65,-15.99,23.55,137.11
JMT,2026-02-17,58.35,61.36,119.71,-3.01,19.62,134.10
JMT,2026-02-18,35.47,44.45,79.92,-8.98,21.06,125.12
JMT,2026-02-19,28.25,53.77,82.02,-25.52,12.38,99.60
JMT,2026-02-20,36.48,46.58,83.06,-10.10,18.71,89.50
JMT,2026-02-23,65.19,65.71,130.91,-0.52,21.98,88.98
JMT,2026-02-24,43.04,53.20,96.25,-10.16,33.52,78.82
JMT,2026-02-25,40.12,93.16,133.28,-53.04,21.69,25.78
JMT,2026-02-26,18.33,48.80,67.13,-30.46,20.98,-4.68
JMT,2026-02-27,145.95,100.06,246.01,45.89,32.33,41.21
JMT,2026-03-02,44.84,29.23,74.07,15.60,13.35,56.81
JMT,2026-03-04,72.94,76.71,149.65,-3.77,25.66,53.04
JMT,2026-03-05,38.00,62.95,100.95,-24.95,21.80,28.09
JMT,2026-03-06,36.01,37.19,73.21,-1.18,29.69,26.91
JMT,2026-03-09,71.99,32.57,104.56,39.42,28.37,66.33
JMT,2026-03-10,58.73,77.32,136.05,-18.58,30.49,47.75
JMT,2026-03-11,32.35,41.29,73.64,-8.94,30.09,38.81
JMT,2026-03-12,30.26,22.16,52.42,8.09,30.01,46.90
JMT,2026-03-13,12.30,42.26,54.56,-29.96,22.15,16.94
JMT,2026-03-16,23.40,23.12,46.51,0.28,21.90,17.22
JMT,2026-03-17,23.55,21.28,44.83,2.26,21.57,19.48
JMT,2026-03-18,24.01,78.26,102.28,-54.25,28.25,-34.77
JMT,2026-03-19,14.62,21.21,35.82,-6.59,16.97,-41.36
JMT,2026-03-20,10.94,18.77,29.71,-7.83,21.53,-49.19
JMT,2026-03-23,5.84,10.12,15.96,-4.29,13.93,-53.48
JMT,2026-03-24,14.48,17.55,32.03,-3.06,17.04,-56.54
JMT,2026-03-25,17.96,21.49,39.45,-3.52,13.35,-60.06
JMT,2026-03-26,10.05,30.16,40.21,-20.11,23.12,-80.17
JMT,2026-03-27,12.15,13.23,25.38,-1.08,20.84,-81.25
JMT,2026-03-30,25.96,6.16,32.13,19.80,28.02,-61.45
JMT,2026-03-31,11.92,18.99,30.91,-7.07,22.84,-68.52
JMT,2026-04-01,38.48,36.75,75.23,1.73,23.74,-66.79
JMT,2026-04-02,11.90,20.10,32.01,-8.20,23.80,-74.99
JMT,2026-04-03,6.38,25.09,31.47,-18.71,25.35,-93.70
JMT,2026-04-07,4.82,5.65,10.48,-0.83,15.21,-94.53
JMT,2026-04-08,24.91,14.95,39.86,9.96,19.28,-84.57
JMT,2026-04-09,2.70,21.86,24.56,-19.16,27.03,-103.73
JMT,2026-04-10,1.63,3.38,5.01,-1.75,12.19,-105.48
JMT,2026-04-16,26.65,12.12,38.77,14.52,27.57,-90.96
JMT,2026-04-17,8.65,12.57,21.22,-3.93,29.88,-94.89
JMT,2026-04-20,30.08,19.91,50.00,10.17,27.20,-84.72
JMT,2026-04-21,45.46,22.52,67.98,22.93,9.36,-61.79
