symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
JTS,2026-01-05,23.16,29.00,52.16,-5.84,35.31,-5.84
JTS,2026-01-06,7.27,14.53,21.80,-7.27,28.12,-13.11
JTS,2026-01-07,20.33,16.02,36.35,4.31,28.85,-8.80
JTS,2026-01-08,14.73,15.36,30.09,-0.64,30.79,-9.44
JTS,2026-01-09,3.25,4.67,7.92,-1.41,21.78,-10.85
JTS,2026-01-12,6.90,4.33,11.24,2.57,32.70,-8.28
JTS,2026-01-13,12.23,15.53,27.75,-3.30,27.97,-11.58
JTS,2026-01-14,15.24,21.92,37.16,-6.68,27.82,-18.26
JTS,2026-01-15,34.08,18.30,52.39,15.78,22.91,-2.48
JTS,2026-01-16,6.25,9.65,15.90,-3.40,36.14,-5.88
JTS,2026-01-19,15.38,7.10,22.48,8.29,29.35,2.41
JTS,2026-01-20,13.49,21.52,35.00,-8.03,17.07,-5.62
JTS,2026-01-21,4.95,11.26,16.20,-6.31,40.13,-11.93
JTS,2026-01-22,5.57,13.70,19.28,-8.13,24.77,-20.06
JTS,2026-01-23,4.61,10.81,15.42,-6.20,31.14,-26.26
JTS,2026-01-26,7.54,5.09,12.63,2.45,43.22,-23.81
JTS,2026-01-27,3.63,8.77,12.40,-5.14,30.46,-28.95
JTS,2026-01-28,5.17,12.44,17.61,-7.27,19.65,-36.22
JTS,2026-01-29,6.45,6.31,12.76,0.13,24.42,-36.09
JTS,2026-01-30,8.16,5.94,14.10,2.21,25.73,-33.88
JTS,2026-02-02,13.70,10.69,24.38,3.01,30.03,-30.87
JTS,2026-02-03,14.07,6.34,20.40,7.73,27.70,-23.14
JTS,2026-02-04,15.56,5.75,21.32,9.81,23.40,-13.33
JTS,2026-02-05,5.91,11.10,17.02,-5.19,22.68,-18.52
JTS,2026-02-06,5.20,3.93,9.13,1.27,28.86,-17.25
JTS,2026-02-09,10.91,3.73,14.64,7.18,26.84,-10.07
JTS,2026-02-10,27.26,6.25,33.50,21.01,28.78,10.94
JTS,2026-02-11,22.14,18.25,40.39,3.89,20.21,14.83
JTS,2026-02-12,16.16,23.20,39.36,-7.03,12.94,7.80
JTS,2026-02-13,7.85,8.70,16.55,-0.86,18.37,6.94
JTS,2026-02-16,10.53,15.02,25.55,-4.49,20.95,2.45
JTS,2026-02-17,3.52,6.08,9.60,-2.55,12.55,-0.10
JTS,2026-02-18,7.17,2.63,9.80,4.54,21.66,4.44
JTS,2026-02-19,4.29,3.66,7.95,0.63,16.38,5.07
JTS,2026-02-20,5.73,6.30,12.03,-0.57,13.04,4.50
JTS,2026-02-23,6.21,9.41,15.62,-3.20,18.68,1.30
JTS,2026-02-24,8.48,10.23,18.71,-1.75,25.60,-0.45
JTS,2026-02-25,31.05,14.14,45.20,16.91,19.32,16.46
JTS,2026-02-26,120.89,61.74,182.63,59.15,22.48,75.61
JTS,2026-02-27,325.45,388.95,714.39,-63.50,29.11,12.11
JTS,2026-03-02,79.74,138.97,218.71,-59.24,24.22,-47.13
JTS,2026-03-04,40.20,47.40,87.60,-7.20,24.16,-54.33
JTS,2026-03-05,29.69,45.93,75.62,-16.24,29.02,-70.57
JTS,2026-03-06,20.06,44.64,64.71,-24.58,24.20,-95.15
JTS,2026-03-09,18.18,27.96,46.14,-9.78,23.24,-104.93
JTS,2026-03-10,18.66,20.69,39.34,-2.03,19.83,-106.96
JTS,2026-03-11,24.83,28.32,53.15,-3.49,14.03,-110.45
JTS,2026-03-12,19.22,15.68,34.89,3.54,15.19,-106.91
JTS,2026-03-13,4.17,21.34,25.52,-17.17,18.43,-124.08
JTS,2026-03-16,8.59,9.07,17.66,-0.48,11.51,-124.56
JTS,2026-03-17,9.31,4.87,14.18,4.44,11.86,-120.12
JTS,2026-03-18,4.31,8.69,13.00,-4.38,16.03,-124.50
JTS,2026-03-19,3.62,5.30,8.92,-1.68,15.20,-126.18
JTS,2026-03-20,3.87,7.43,11.30,-3.56,14.98,-129.74
JTS,2026-03-23,3.46,3.59,7.04,-0.13,10.29,-129.87
JTS,2026-03-24,11.36,5.52,16.88,5.84,17.71,-124.03
JTS,2026-03-25,3.12,9.54,12.66,-6.42,8.41,-130.45
JTS,2026-03-26,10.15,7.69,17.84,2.47,16.13,-127.98
JTS,2026-03-27,0.93,6.42,7.35,-5.49,11.05,-133.47
JTS,2026-03-30,1.39,1.05,2.44,0.34,11.38,-133.13
JTS,2026-03-31,10.81,3.55,14.35,7.26,24.89,-125.87
JTS,2026-04-01,13.30,10.58,23.88,2.72,24.79,-123.15
JTS,2026-04-02,0.58,10.15,10.73,-9.57,18.67,-132.72
JTS,2026-04-03,0.56,1.58,2.14,-1.03,10.23,-133.75
JTS,2026-04-07,17.30,9.18,26.48,8.11,16.75,-125.64
JTS,2026-04-08,15.35,5.81,21.16,9.54,15.32,-116.10
JTS,2026-04-09,1.11,16.61,17.72,-15.50,16.28,-131.60
JTS,2026-04-10,3.22,5.88,9.10,-2.66,8.75,-134.26
JTS,2026-04-16,2.08,1.59,3.66,0.49,14.07,-133.77
JTS,2026-04-17,1.84,2.21,4.05,-0.37,9.86,-134.14
JTS,2026-04-20,0.51,2.30,2.80,-1.79,12.83,-135.93
JTS,2026-04-21,1.41,0.78,2.19,0.64,10.96,-135.29
