symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
KBANK,2026-01-05,605.14,597.17,1202.31,7.97,32.91,7.97
KBANK,2026-01-06,359.22,522.03,881.25,-162.81,30.97,-154.84
KBANK,2026-01-07,456.68,668.71,1125.39,-212.03,30.39,-366.87
KBANK,2026-01-08,1045.55,696.30,1741.85,349.24,36.06,-17.63
KBANK,2026-01-09,540.16,1010.36,1550.52,-470.20,26.73,-487.83
KBANK,2026-01-12,327.98,497.28,825.26,-169.30,22.65,-657.13
KBANK,2026-01-13,396.03,722.10,1118.13,-326.07,23.25,-983.20
KBANK,2026-01-14,670.54,664.09,1334.63,6.45,26.85,-976.75
KBANK,2026-01-15,451.49,320.10,771.59,131.39,31.05,-845.36
KBANK,2026-01-16,875.15,526.26,1401.41,348.89,29.32,-496.47
KBANK,2026-01-19,192.09,603.34,795.43,-411.24,26.03,-907.71
KBANK,2026-01-20,628.63,351.48,980.10,277.15,31.05,-630.56
KBANK,2026-01-21,509.28,1531.14,2040.42,-1021.86,16.96,-1652.42
KBANK,2026-01-22,707.80,1410.75,2118.55,-702.95,24.56,-2355.37
KBANK,2026-01-23,339.13,810.99,1150.12,-471.86,25.28,-2827.23
KBANK,2026-01-26,298.23,541.70,839.93,-243.47,19.45,-3070.70
KBANK,2026-01-27,650.88,629.24,1280.12,21.64,23.21,-3049.06
KBANK,2026-01-28,327.31,654.51,981.82,-327.20,29.60,-3376.26
KBANK,2026-01-29,434.01,1410.07,1844.08,-976.07,20.77,-4352.33
KBANK,2026-01-30,385.06,733.78,1118.84,-348.72,26.43,-4701.05
KBANK,2026-02-02,282.44,535.12,817.56,-252.69,23.04,-4953.74
KBANK,2026-02-03,416.79,481.78,898.57,-64.99,24.29,-5018.73
KBANK,2026-02-04,1567.66,1492.27,3059.93,75.39,31.59,-4943.34
KBANK,2026-02-05,409.42,641.00,1050.42,-231.58,24.07,-5174.92
KBANK,2026-02-06,572.55,1556.82,2129.36,-984.27,29.69,-6159.19
KBANK,2026-02-09,1606.90,1049.61,2656.51,557.30,26.36,-5601.89
KBANK,2026-02-10,1315.83,1198.30,2514.14,117.53,21.59,-5484.36
KBANK,2026-02-11,551.53,849.40,1400.93,-297.87,20.82,-5782.23
KBANK,2026-02-12,1605.31,816.28,2421.59,789.02,25.01,-4993.21
