symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
KCE,2026-01-05,60.23,44.69,104.92,15.54,27.67,15.54
KCE,2026-01-06,81.48,64.64,146.12,16.84,29.99,32.38
KCE,2026-01-07,116.84,21.44,138.28,95.41,26.87,127.79
KCE,2026-01-08,49.58,104.39,153.97,-54.81,33.21,72.98
KCE,2026-01-09,38.91,42.22,81.14,-3.31,24.11,69.67
KCE,2026-01-12,45.35,35.94,81.28,9.41,30.23,79.08
KCE,2026-01-13,56.87,46.36,103.23,10.51,31.22,89.59
KCE,2026-01-14,52.54,43.18,95.72,9.35,37.60,98.94
KCE,2026-01-15,57.09,60.99,118.08,-3.90,28.69,95.04
KCE,2026-01-16,39.03,72.10,111.13,-33.07,33.21,61.97
KCE,2026-01-19,66.92,42.09,109.01,24.83,29.66,86.80
KCE,2026-01-20,23.56,58.20,81.76,-34.64,22.32,52.16
KCE,2026-01-21,72.77,36.25,109.01,36.52,24.48,88.68
KCE,2026-01-22,75.46,134.70,210.15,-59.24,18.87,29.44
KCE,2026-01-23,54.21,38.73,92.93,15.48,22.39,44.92
KCE,2026-01-26,28.99,24.16,53.15,4.83,22.53,49.75
KCE,2026-01-27,52.53,21.29,73.81,31.24,23.54,80.99
KCE,2026-01-28,61.26,74.82,136.08,-13.57,18.13,67.42
KCE,2026-01-29,22.04,42.96,65.00,-20.91,19.03,46.51
KCE,2026-01-30,18.60,24.67,43.27,-6.07,21.76,40.44
KCE,2026-02-02,34.26,68.95,103.21,-34.69,18.32,5.75
KCE,2026-02-03,95.33,12.13,107.45,83.20,26.23,88.95
KCE,2026-02-04,42.61,63.08,105.69,-20.47,32.49,68.48
KCE,2026-02-05,60.99,59.64,120.63,1.34,29.99,69.82
KCE,2026-02-06,29.78,29.97,59.75,-0.18,23.73,69.64
KCE,2026-02-09,109.65,44.28,153.93,65.37,29.03,135.01
KCE,2026-02-10,47.39,76.74,124.12,-29.35,21.18,105.66
KCE,2026-02-11,64.49,159.54,224.03,-95.05,17.46,10.61
KCE,2026-02-12,88.08,95.45,183.54,-7.37,17.80,3.24
KCE,2026-02-13,40.76,51.13,91.89,-10.37,14.77,-7.13
KCE,2026-02-16,57.75,90.03,147.78,-32.27,26.54,-39.40
KCE,2026-02-17,109.59,34.06,143.64,75.53,19.51,36.13
KCE,2026-02-18,74.63,85.14,159.76,-10.51,20.11,25.62
KCE,2026-02-19,184.11,169.21,353.32,14.90,16.77,40.52
KCE,2026-02-20,83.75,194.57,278.32,-110.82,26.16,-70.30
KCE,2026-02-23,168.52,192.36,360.88,-23.84,22.08,-94.14
KCE,2026-02-24,50.23,59.61,109.84,-9.37,25.56,-103.51
KCE,2026-02-25,68.57,71.84,140.41,-3.27,23.37,-106.78
KCE,2026-02-26,13.11,27.63,40.74,-14.52,15.64,-121.30
KCE,2026-02-27,41.25,59.10,100.35,-17.85,19.32,-139.15
KCE,2026-03-02,125.70,113.64,239.34,12.05,25.34,-127.10
KCE,2026-03-04,75.95,117.26,193.21,-41.32,28.53,-168.42
KCE,2026-03-05,98.98,77.84,176.81,21.14,26.24,-147.28
KCE,2026-03-06,98.65,154.95,253.60,-56.30,23.99,-203.58
KCE,2026-03-09,109.91,110.93,220.84,-1.01,22.25,-204.59
KCE,2026-03-10,198.40,228.30,426.70,-29.89,24.88,-234.48
KCE,2026-03-11,132.25,95.37,227.63,36.88,14.15,-197.60
KCE,2026-03-12,203.92,171.01,374.92,32.91,18.11,-164.69
KCE,2026-03-13,27.53,77.81,105.34,-50.28,13.10,-214.97
KCE,2026-03-16,185.78,71.60,257.38,114.18,11.38,-100.79
KCE,2026-03-17,187.39,235.25,422.64,-47.86,11.97,-148.65
KCE,2026-03-18,302.32,159.33,461.64,142.99,17.70,-5.66
KCE,2026-03-19,245.90,181.99,427.89,63.91,16.92,58.25
KCE,2026-03-20,235.28,215.18,450.46,20.11,19.86,78.36
KCE,2026-03-23,112.60,132.66,245.26,-20.06,18.11,58.30
KCE,2026-03-24,145.83,135.37,281.20,10.45,20.23,68.75
KCE,2026-03-25,312.20,233.50,545.70,78.70,17.42,147.45
KCE,2026-03-26,127.09,195.28,322.37,-68.19,18.70,79.26
KCE,2026-03-27,93.40,72.30,165.70,21.10,19.69,100.36
KCE,2026-03-30,83.53,109.16,192.69,-25.63,23.05,74.73
KCE,2026-03-31,81.46,163.44,244.90,-81.98,19.54,-7.25
KCE,2026-04-01,159.71,135.09,294.80,24.62,17.13,17.37
KCE,2026-04-02,51.05,111.96,163.01,-60.91,15.70,-43.54
KCE,2026-04-03,45.05,65.96,111.01,-20.91,16.89,-64.45
KCE,2026-04-07,87.95,71.28,159.23,16.68,21.10,-47.77
KCE,2026-04-08,74.63,85.50,160.12,-10.87,18.08,-58.64
KCE,2026-04-09,432.26,226.88,659.15,205.38,18.80,146.74
KCE,2026-04-10,692.80,83.86,776.66,608.93,21.94,755.67
KCE,2026-04-16,147.71,291.57,439.28,-143.85,26.66,611.82
KCE,2026-04-17,166.49,192.11,358.60,-25.62,18.59,586.20
KCE,2026-04-20,122.35,140.08,262.43,-17.74,20.74,568.46
KCE,2026-04-21,295.42,220.16,515.59,75.26,21.71,643.72
