symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
KKP,2026-01-05,116.25,98.51,214.75,17.74,28.67,17.74
KKP,2026-01-06,45.41,161.75,207.16,-116.33,31.62,-98.59
KKP,2026-01-07,71.75,103.43,175.17,-31.68,34.66,-130.27
KKP,2026-01-08,126.96,84.15,211.11,42.82,42.92,-87.45
KKP,2026-01-09,23.17,68.36,91.53,-45.18,30.41,-132.63
KKP,2026-01-12,46.27,56.57,102.84,-10.30,38.24,-142.93
KKP,2026-01-13,32.99,69.48,102.48,-36.49,34.27,-179.42
KKP,2026-01-14,58.20,58.70,116.90,-0.50,37.20,-179.92
KKP,2026-01-15,51.37,47.91,99.28,3.45,39.27,-176.47
KKP,2026-01-16,75.19,40.37,115.56,34.82,45.91,-141.65
KKP,2026-01-19,31.02,44.92,75.94,-13.89,23.66,-155.54
KKP,2026-01-20,434.62,106.30,540.91,328.32,33.77,172.78
KKP,2026-01-21,162.59,103.72,266.31,58.87,41.83,231.65
KKP,2026-01-22,287.27,85.19,372.46,202.09,45.20,433.74
KKP,2026-01-23,158.53,139.52,298.05,19.01,58.09,452.75
KKP,2026-01-26,294.28,145.20,439.48,149.08,45.16,601.83
KKP,2026-01-27,292.20,116.13,408.32,176.07,40.63,777.90
KKP,2026-01-28,113.79,94.72,208.51,19.07,47.89,796.97
KKP,2026-01-29,327.28,81.75,409.03,245.52,43.47,1042.49
KKP,2026-01-30,468.70,199.75,668.45,268.95,57.34,1311.44
KKP,2026-02-02,171.93,150.50,322.43,21.43,28.02,1332.87
KKP,2026-02-03,188.59,160.59,349.18,28.01,40.84,1360.88
KKP,2026-02-04,194.09,61.01,255.10,133.08,38.62,1493.96
KKP,2026-02-05,174.33,62.09,236.42,112.24,37.64,1606.20
KKP,2026-02-06,162.84,107.70,270.54,55.14,41.57,1661.34
KKP,2026-02-09,367.94,110.77,478.71,257.18,43.92,1918.52
KKP,2026-02-10,132.43,93.03,225.45,39.40,35.25,1957.92
KKP,2026-02-11,73.39,78.35,151.74,-4.96,39.06,1952.96
KKP,2026-02-12,166.84,131.90,298.74,34.94,45.61,1987.90
KKP,2026-02-13,68.11,74.80,142.90,-6.69,33.36,1981.21
KKP,2026-02-16,86.73,125.30,212.03,-38.57,35.56,1942.64
KKP,2026-02-17,98.02,99.13,197.14,-1.11,26.69,1941.53
KKP,2026-02-18,125.61,41.13,166.73,84.48,30.31,2026.01
KKP,2026-02-19,120.60,167.61,288.20,-47.01,34.30,1979.00
KKP,2026-02-20,351.93,148.10,500.03,203.84,45.42,2182.84
KKP,2026-02-23,252.62,237.22,489.84,15.39,55.40,2198.23
KKP,2026-02-24,456.74,323.33,780.07,133.41,38.92,2331.64
KKP,2026-02-25,334.97,459.23,794.20,-124.25,44.24,2207.39
KKP,2026-02-26,234.91,151.09,385.99,83.82,54.51,2291.21
KKP,2026-02-27,370.86,363.21,734.07,7.65,47.47,2298.86
KKP,2026-03-02,218.36,226.14,444.50,-7.77,39.43,2291.09
KKP,2026-03-04,303.77,377.27,681.04,-73.50,40.11,2217.59
KKP,2026-03-05,187.77,222.48,410.25,-34.72,47.08,2182.87
KKP,2026-03-06,96.72,175.57,272.29,-78.85,48.77,2104.02
KKP,2026-03-09,175.04,195.39,370.43,-20.35,31.33,2083.67
KKP,2026-03-10,65.78,105.80,171.58,-40.02,34.43,2043.65
KKP,2026-03-11,114.63,87.14,201.77,27.49,43.54,2071.14
KKP,2026-03-12,104.01,82.68,186.69,21.32,48.53,2092.46
KKP,2026-03-13,152.74,140.14,292.88,12.60,48.50,2105.06
KKP,2026-03-16,51.15,68.22,119.37,-17.07,40.74,2087.99
KKP,2026-03-17,16.87,23.46,40.33,-6.59,33.26,2081.40
KKP,2026-03-18,57.95,55.54,113.49,2.41,45.27,2083.81
KKP,2026-03-19,26.70,81.65,108.35,-54.96,35.70,2028.85
KKP,2026-03-20,195.57,235.33,430.90,-39.75,68.22,1989.10
KKP,2026-03-23,87.72,88.95,176.67,-1.23,52.34,1987.87
KKP,2026-03-24,270.62,112.08,382.70,158.54,46.04,2146.41
KKP,2026-03-25,178.23,179.40,357.63,-1.18,50.82,2145.23
KKP,2026-03-26,207.97,173.13,381.10,34.83,38.98,2180.06
KKP,2026-03-27,139.64,121.65,261.28,17.99,45.93,2198.05
KKP,2026-03-30,93.83,77.45,171.28,16.38,39.28,2214.43
KKP,2026-03-31,107.39,87.84,195.24,19.55,42.46,2233.98
KKP,2026-04-01,570.20,135.27,705.46,434.93,34.32,2668.91
KKP,2026-04-02,136.28,120.06,256.34,16.22,32.07,2685.13
KKP,2026-04-03,144.86,74.32,219.18,70.54,41.30,2755.67
KKP,2026-04-07,80.27,78.95,159.22,1.32,37.37,2756.99
KKP,2026-04-08,210.61,102.46,313.07,108.14,36.80,2865.13
KKP,2026-04-09,96.60,87.24,183.84,9.35,48.55,2874.48
KKP,2026-04-10,92.88,72.71,165.59,20.17,36.04,2894.65
KKP,2026-04-16,184.91,269.40,454.31,-84.50,42.74,2810.15
KKP,2026-04-17,118.44,216.99,335.43,-98.55,46.57,2711.60
KKP,2026-04-20,490.84,255.01,745.85,235.82,30.24,2947.42
KKP,2026-04-21,302.31,225.20,527.51,77.12,44.77,3024.54
