symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
KTB,2026-01-05,410.41,294.18,704.58,116.23,19.07,116.23
KTB,2026-01-06,197.92,284.38,482.30,-86.45,29.32,29.78
KTB,2026-01-07,227.13,368.41,595.54,-141.28,24.01,-111.50
KTB,2026-01-08,503.64,352.97,856.62,150.67,26.22,39.17
KTB,2026-01-09,330.90,360.11,691.01,-29.21,27.54,9.96
KTB,2026-01-12,293.34,262.51,555.85,30.83,27.50,40.79
KTB,2026-01-13,191.26,136.32,327.58,54.94,26.60,95.73
KTB,2026-01-14,445.34,468.41,913.75,-23.06,27.12,72.67
KTB,2026-01-15,221.76,211.49,433.25,10.28,19.66,82.95
KTB,2026-01-16,357.69,232.70,590.39,124.98,27.60,207.93
KTB,2026-01-19,227.17,316.16,543.33,-88.99,31.37,118.94
KTB,2026-01-20,630.32,518.98,1149.30,111.35,31.37,230.29
KTB,2026-01-21,486.47,734.58,1221.04,-248.11,19.80,-17.82
KTB,2026-01-22,1819.82,962.24,2782.07,857.58,36.46,839.76
KTB,2026-01-23,308.77,183.13,491.90,125.64,38.86,965.40
KTB,2026-01-26,219.43,227.47,446.90,-8.04,31.60,957.36
KTB,2026-01-27,599.86,380.96,980.83,218.90,33.05,1176.26
KTB,2026-01-28,279.62,167.01,446.64,112.61,24.47,1288.87
KTB,2026-01-29,365.71,493.79,859.50,-128.08,34.98,1160.79
KTB,2026-01-30,416.13,417.13,833.26,-0.99,31.93,1159.80
KTB,2026-02-02,200.57,227.93,428.49,-27.36,27.35,1132.44
KTB,2026-02-03,772.63,759.34,1531.97,13.29,33.92,1145.73
KTB,2026-02-04,201.96,158.71,360.67,43.26,22.36,1188.99
KTB,2026-02-05,257.28,142.25,399.53,115.03,25.70,1304.02
KTB,2026-02-06,233.32,234.54,467.86,-1.21,30.78,1302.81
KTB,2026-02-09,1658.94,777.68,2436.61,881.26,33.90,2184.07
KTB,2026-02-10,443.10,420.10,863.20,23.00,31.04,2207.07
KTB,2026-02-11,240.47,249.99,490.45,-9.52,30.89,2197.55
KTB,2026-02-12,873.56,916.26,1789.82,-42.71,31.93,2154.84
KTB,2026-02-13,379.08,504.94,884.02,-125.85,25.61,2028.99
KTB,2026-02-16,853.17,447.95,1301.12,405.22,28.57,2434.21
KTB,2026-02-17,899.46,887.14,1786.59,12.32,27.87,2446.53
KTB,2026-02-18,389.99,379.38,769.38,10.61,22.41,2457.14
KTB,2026-02-19,795.55,936.60,1732.14,-141.05,31.01,2316.09
KTB,2026-02-20,975.49,1431.65,2407.13,-456.16,34.96,1859.93
KTB,2026-02-23,674.75,904.53,1579.28,-229.79,29.91,1630.14
KTB,2026-02-24,755.93,931.15,1687.08,-175.22,34.62,1454.92
KTB,2026-02-25,524.16,1044.82,1568.98,-520.67,31.26,934.25
KTB,2026-02-26,1329.19,1107.09,2436.27,222.10,25.48,1156.35
KTB,2026-02-27,1749.94,1117.07,2867.00,632.87,28.54,1789.22
KTB,2026-03-02,786.48,900.17,1686.64,-113.69,27.31,1675.53
KTB,2026-03-04,1073.17,1793.96,2867.12,-720.79,29.46,954.74
KTB,2026-03-05,878.20,1402.12,2280.33,-523.92,31.96,430.82
KTB,2026-03-06,424.67,994.17,1418.84,-569.51,35.25,-138.69
KTB,2026-03-09,903.15,1273.40,2176.55,-370.25,34.63,-508.94
KTB,2026-03-10,774.05,901.44,1675.49,-127.40,40.13,-636.34
KTB,2026-03-11,572.81,894.43,1467.24,-321.62,31.52,-957.96
KTB,2026-03-12,404.93,741.80,1146.73,-336.87,26.03,-1294.83
KTB,2026-03-13,447.47,754.33,1201.80,-306.87,35.11,-1601.70
KTB,2026-03-16,593.21,1092.60,1685.81,-499.39,41.31,-2101.09
KTB,2026-03-17,791.13,911.52,1702.65,-120.38,35.02,-2221.47
KTB,2026-03-18,552.73,789.29,1342.02,-236.55,34.53,-2458.02
KTB,2026-03-19,430.47,656.32,1086.79,-225.85,38.45,-2683.87
KTB,2026-03-20,399.61,468.05,867.67,-68.44,48.76,-2752.31
KTB,2026-03-23,141.73,511.52,653.25,-369.78,28.90,-3122.09
KTB,2026-03-24,1410.40,911.44,2321.84,498.96,38.51,-2623.13
KTB,2026-03-25,578.29,755.80,1334.09,-177.51,30.43,-2800.64
KTB,2026-03-26,743.97,685.79,1429.76,58.18,37.14,-2742.46
KTB,2026-03-27,486.35,566.61,1052.96,-80.26,35.72,-2822.72
KTB,2026-03-30,359.78,515.30,875.07,-155.52,34.55,-2978.24
KTB,2026-03-31,811.25,663.39,1474.64,147.85,31.38,-2830.39
KTB,2026-04-01,1092.22,747.43,1839.65,344.79,33.35,-2485.60
KTB,2026-04-02,656.61,492.40,1149.01,164.22,32.02,-2321.38
KTB,2026-04-03,335.70,423.35,759.05,-87.64,19.41,-2409.02
KTB,2026-04-07,255.63,296.92,552.55,-41.29,22.44,-2450.31
KTB,2026-04-08,464.63,607.79,1072.43,-143.16,24.44,-2593.47
KTB,2026-04-09,531.29,958.08,1489.37,-426.80,27.40,-3020.27
KTB,2026-04-10,802.25,624.66,1426.91,177.59,24.50,-2842.68
KTB,2026-04-16,1541.82,1480.97,3022.79,60.85,33.05,-2781.83
KTB,2026-04-17,1680.66,824.22,2504.87,856.44,31.50,-1925.39
KTB,2026-04-20,633.66,274.92,908.57,358.74,22.40,-1566.65
KTB,2026-04-21,1133.61,1104.77,2238.38,28.84,23.79,-1537.81
