symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
KTC,2026-01-05,138.64,160.70,299.34,-22.06,32.10,-22.06
KTC,2026-01-06,49.52,69.51,119.02,-19.99,32.17,-42.05
KTC,2026-01-07,45.65,64.82,110.47,-19.18,25.48,-61.23
KTC,2026-01-08,26.38,125.01,151.38,-98.63,20.04,-159.86
KTC,2026-01-09,113.36,129.29,242.65,-15.94,29.19,-175.80
KTC,2026-01-12,82.28,119.77,202.06,-37.49,23.49,-213.29
KTC,2026-01-13,110.42,137.33,247.75,-26.91,30.17,-240.20
KTC,2026-01-14,175.28,160.53,335.81,14.76,43.61,-225.44
KTC,2026-01-15,434.30,195.21,629.51,239.09,34.20,13.65
KTC,2026-01-16,278.28,192.68,470.97,85.60,33.86,99.25
KTC,2026-01-19,245.01,153.88,398.89,91.13,43.85,190.38
KTC,2026-01-20,139.49,113.46,252.96,26.03,33.00,216.41
KTC,2026-01-21,175.07,89.78,264.85,85.28,31.05,301.69
KTC,2026-01-22,207.05,88.16,295.21,118.89,33.87,420.58
KTC,2026-01-23,190.83,98.31,289.13,92.52,27.20,513.10
KTC,2026-01-26,276.00,174.63,450.63,101.37,45.57,614.47
KTC,2026-01-27,204.27,64.70,268.97,139.58,33.93,754.05
KTC,2026-01-28,79.39,68.34,147.73,11.05,39.00,765.10
KTC,2026-01-29,216.52,160.27,376.79,56.24,44.78,821.34
KTC,2026-01-30,586.65,358.58,945.24,228.07,60.68,1049.41
KTC,2026-02-02,98.51,137.43,235.95,-38.92,35.33,1010.49
KTC,2026-02-03,206.63,141.69,348.31,64.94,35.31,1075.43
KTC,2026-02-04,52.95,110.01,162.97,-57.06,31.94,1018.37
KTC,2026-02-05,106.37,94.36,200.73,12.00,36.96,1030.37
KTC,2026-02-06,84.76,132.31,217.07,-47.55,37.75,982.82
KTC,2026-02-09,370.64,183.48,554.11,187.16,27.12,1169.98
KTC,2026-02-10,151.02,185.39,336.41,-34.38,32.05,1135.60
KTC,2026-02-11,149.85,198.06,347.91,-48.21,22.66,1087.39
KTC,2026-02-12,207.22,63.46,270.68,143.76,29.51,1231.15
KTC,2026-02-13,93.63,153.07,246.71,-59.44,26.38,1171.71
KTC,2026-02-16,617.83,287.59,905.42,330.24,27.24,1501.95
KTC,2026-02-17,697.52,464.99,1162.50,232.53,32.79,1734.48
KTC,2026-02-18,128.33,307.02,435.34,-178.69,24.83,1555.79
KTC,2026-02-19,128.81,256.61,385.42,-127.79,28.33,1428.00
KTC,2026-02-20,302.75,254.53,557.28,48.22,26.89,1476.22
KTC,2026-02-23,203.83,273.79,477.61,-69.96,27.00,1406.26
KTC,2026-02-24,303.75,188.77,492.53,114.98,34.97,1521.24
KTC,2026-02-25,358.28,439.31,797.59,-81.02,36.37,1440.22
KTC,2026-02-26,285.42,253.03,538.45,32.39,41.20,1472.61
KTC,2026-02-27,277.94,218.53,496.47,59.42,54.59,1532.03
KTC,2026-03-02,375.02,274.41,649.44,100.61,32.60,1632.64
KTC,2026-03-04,566.12,775.16,1341.28,-209.04,39.70,1423.60
KTC,2026-03-05,215.55,530.21,745.76,-314.66,39.25,1108.94
KTC,2026-03-06,160.34,266.40,426.74,-106.06,46.08,1002.88
KTC,2026-03-09,374.33,378.08,752.41,-3.75,38.55,999.13
KTC,2026-03-10,158.81,366.72,525.53,-207.91,29.82,791.22
KTC,2026-03-11,137.58,190.92,328.50,-53.34,28.68,737.88
KTC,2026-03-12,193.08,467.78,660.87,-274.70,32.02,463.18
KTC,2026-03-13,85.28,186.21,271.49,-100.92,33.27,362.26
KTC,2026-03-16,109.27,221.38,330.65,-112.10,36.74,250.16
KTC,2026-03-17,96.80,117.41,214.21,-20.61,17.01,229.55
KTC,2026-03-18,73.47,175.30,248.77,-101.83,27.64,127.72
KTC,2026-03-19,117.70,224.30,342.00,-106.60,27.79,21.12
KTC,2026-03-20,129.81,163.28,293.09,-33.47,20.65,-12.35
KTC,2026-03-23,96.82,177.40,274.22,-80.58,23.83,-92.93
KTC,2026-03-24,88.28,126.80,215.08,-38.52,35.51,-131.45
KTC,2026-03-25,116.08,128.14,244.22,-12.06,25.36,-143.51
KTC,2026-03-26,112.51,157.39,269.90,-44.88,24.17,-188.39
KTC,2026-03-27,163.49,122.03,285.52,41.46,29.32,-146.93
KTC,2026-03-30,127.52,67.71,195.22,59.81,28.24,-87.12
KTC,2026-03-31,114.21,136.10,250.31,-21.89,23.12,-109.01
KTC,2026-04-01,173.68,132.65,306.33,41.03,21.71,-67.98
KTC,2026-04-02,141.24,217.38,358.62,-76.14,32.95,-144.12
KTC,2026-04-03,62.83,113.80,176.64,-50.97,26.33,-195.09
KTC,2026-04-07,87.15,69.43,156.58,17.73,18.77,-177.36
KTC,2026-04-08,155.58,202.33,357.91,-46.75,22.30,-224.11
KTC,2026-04-09,49.56,202.81,252.37,-153.25,16.96,-377.36
KTC,2026-04-10,59.59,96.66,156.25,-37.08,17.90,-414.44
KTC,2026-04-16,146.83,92.33,239.16,54.50,23.17,-359.94
KTC,2026-04-17,56.96,168.06,225.02,-111.11,22.70,-471.05
KTC,2026-04-20,315.53,157.34,472.86,158.19,22.46,-312.86
KTC,2026-04-21,48.71,100.73,149.44,-52.03,25.00,-364.89
