symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
LH,2026-01-05,39.70,14.52,54.22,25.18,25.37,25.18
LH,2026-01-06,14.00,28.40,42.40,-14.40,15.13,10.78
LH,2026-01-07,29.69,27.38,57.06,2.31,22.16,13.09
LH,2026-01-08,14.70,31.97,46.68,-17.27,20.52,-4.18
LH,2026-01-09,5.47,19.86,25.33,-14.39,21.66,-18.57
LH,2026-01-12,11.61,16.63,28.23,-5.02,27.47,-23.59
LH,2026-01-13,13.38,16.86,30.24,-3.48,27.60,-27.07
LH,2026-01-14,27.84,24.40,52.24,3.44,38.51,-23.63
LH,2026-01-15,33.11,40.62,73.73,-7.51,32.67,-31.14
LH,2026-01-16,26.90,32.67,59.57,-5.77,25.83,-36.91
LH,2026-01-19,18.80,14.24,33.03,4.56,27.48,-32.35
LH,2026-01-20,36.37,34.17,70.54,2.20,22.68,-30.15
LH,2026-01-21,25.17,13.75,38.92,11.41,14.55,-18.74
LH,2026-01-22,73.37,53.42,126.79,19.96,25.91,1.22
LH,2026-01-23,37.02,50.42,87.44,-13.40,25.76,-12.18
LH,2026-01-26,45.04,26.43,71.47,18.61,34.36,6.43
LH,2026-01-27,43.38,30.97,74.35,12.41,38.41,18.84
LH,2026-01-28,28.24,23.73,51.98,4.51,22.13,23.35
LH,2026-01-29,18.99,18.91,37.90,0.08,22.63,23.43
LH,2026-01-30,67.96,57.23,125.19,10.73,33.99,34.16
LH,2026-02-02,20.61,29.67,50.28,-9.06,26.98,25.10
LH,2026-02-03,34.45,24.20,58.65,10.24,19.28,35.34
LH,2026-02-04,41.46,24.63,66.08,16.83,22.29,52.17
LH,2026-02-05,44.39,23.05,67.44,21.34,30.83,73.51
LH,2026-02-06,35.57,32.88,68.46,2.69,28.71,76.20
LH,2026-02-09,141.33,34.49,175.82,106.84,31.15,183.04
LH,2026-02-10,69.33,61.18,130.51,8.15,34.37,191.19
LH,2026-02-11,85.83,92.10,177.93,-6.26,23.81,184.93
LH,2026-02-12,102.36,58.72,161.09,43.64,21.79,228.57
LH,2026-02-13,180.08,106.36,286.44,73.71,35.53,302.28
LH,2026-02-16,24.01,41.92,65.93,-17.91,23.40,284.37
LH,2026-02-17,44.31,76.58,120.89,-32.27,23.97,252.10
LH,2026-02-18,64.06,44.88,108.94,19.17,31.58,271.27
LH,2026-02-19,87.46,49.34,136.80,38.12,27.31,309.39
LH,2026-02-20,28.71,57.59,86.30,-28.88,21.84,280.51
LH,2026-02-23,56.95,93.79,150.74,-36.84,24.09,243.67
LH,2026-02-24,68.19,41.78,109.97,26.41,34.52,270.08
LH,2026-02-25,79.50,38.37,117.88,41.13,29.81,311.21
LH,2026-02-26,44.33,49.32,93.64,-4.99,33.30,306.22
LH,2026-02-27,36.95,45.84,82.78,-8.89,32.09,297.33
LH,2026-03-02,54.78,152.73,207.52,-97.95,23.79,199.38
LH,2026-03-04,108.04,155.08,263.12,-47.04,29.37,152.34
LH,2026-03-05,88.75,133.14,221.89,-44.40,32.64,107.94
LH,2026-03-06,68.06,113.27,181.32,-45.21,40.19,62.73
LH,2026-03-09,78.61,67.62,146.23,10.99,34.18,73.72
LH,2026-03-10,40.91,60.28,101.19,-19.37,36.78,54.35
LH,2026-03-11,40.73,48.82,89.56,-8.09,44.72,46.26
LH,2026-03-12,35.42,45.76,81.18,-10.34,33.33,35.92
LH,2026-03-13,25.01,29.60,54.61,-4.58,36.27,31.34
LH,2026-03-16,21.44,24.00,45.44,-2.56,25.33,28.78
LH,2026-03-17,31.23,30.83,62.06,0.40,25.12,29.18
LH,2026-03-18,16.80,35.55,52.35,-18.75,20.60,10.43
LH,2026-03-19,6.25,42.46,48.72,-36.21,20.94,-25.78
LH,2026-03-20,90.09,91.06,181.15,-0.97,45.75,-26.75
LH,2026-03-23,16.30,56.54,72.84,-40.24,31.85,-66.99
LH,2026-03-24,7.20,19.69,26.89,-12.49,18.54,-79.48
LH,2026-03-25,25.65,16.35,42.00,9.30,30.29,-70.18
LH,2026-03-26,14.62,21.74,36.36,-7.11,17.35,-77.29
LH,2026-03-27,29.88,23.15,53.04,6.73,33.88,-70.56
LH,2026-03-30,36.92,28.30,65.23,8.62,30.85,-61.94
LH,2026-03-31,52.12,28.71,80.83,23.40,38.16,-38.54
LH,2026-04-01,35.96,24.98,60.94,10.99,26.40,-27.55
LH,2026-04-02,35.17,20.38,55.55,14.79,27.45,-12.76
LH,2026-04-03,15.49,11.47,26.96,4.02,25.62,-8.74
LH,2026-04-07,20.26,18.51,38.77,1.75,27.28,-6.99
LH,2026-04-08,53.78,16.60,70.37,37.18,32.32,30.19
LH,2026-04-09,14.68,21.47,36.15,-6.78,29.39,23.41
LH,2026-04-10,19.61,19.31,38.92,0.29,37.62,23.70
LH,2026-04-16,32.08,32.80,64.89,-0.72,34.66,22.98
LH,2026-04-17,19.19,14.21,33.40,4.98,17.80,27.96
LH,2026-04-20,21.53,17.53,39.06,3.99,37.73,31.95
LH,2026-04-21,30.05,11.61,41.65,18.44,32.65,50.39
