symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
MEGA,2026-01-05,15.82,29.82,45.64,-14.01,27.70,-14.01
MEGA,2026-01-06,12.65,21.15,33.80,-8.50,26.45,-22.51
MEGA,2026-01-07,44.38,32.14,76.52,12.25,46.85,-10.26
MEGA,2026-01-08,21.16,10.72,31.88,10.43,30.87,0.17
MEGA,2026-01-09,15.49,9.31,24.80,6.17,47.65,6.34
MEGA,2026-01-12,6.54,3.48,10.01,3.06,21.39,9.40
MEGA,2026-01-13,14.76,4.42,19.18,10.35,33.35,19.75
MEGA,2026-01-14,30.56,4.95,35.51,25.61,37.48,45.36
MEGA,2026-01-15,12.22,5.68,17.89,6.54,27.30,51.90
MEGA,2026-01-16,10.77,0.48,11.24,10.29,27.54,62.19
MEGA,2026-01-19,5.98,4.51,10.49,1.46,26.01,63.65
MEGA,2026-01-20,13.65,7.94,21.60,5.71,19.93,69.36
MEGA,2026-01-21,46.65,16.03,62.68,30.62,35.44,99.98
MEGA,2026-01-22,15.99,11.43,27.42,4.56,30.24,104.54
MEGA,2026-01-23,42.01,23.06,65.08,18.95,36.80,123.49
MEGA,2026-01-26,15.69,8.58,24.27,7.11,24.03,130.60
MEGA,2026-01-27,30.83,25.60,56.43,5.23,48.58,135.83
MEGA,2026-01-28,10.97,22.78,33.75,-11.82,35.65,124.01
MEGA,2026-01-29,29.95,15.34,45.29,14.61,35.44,138.62
MEGA,2026-01-30,5.35,3.65,9.00,1.71,32.09,140.33
MEGA,2026-02-02,22.73,19.41,42.15,3.32,23.38,143.65
MEGA,2026-02-03,38.48,26.71,65.18,11.77,32.81,155.42
MEGA,2026-02-04,58.56,33.41,91.97,25.15,47.35,180.57
MEGA,2026-02-05,19.06,13.45,32.51,5.61,53.14,186.18
MEGA,2026-02-06,49.15,46.77,95.93,2.38,39.95,188.56
MEGA,2026-02-09,82.93,30.61,113.54,52.31,46.93,240.87
MEGA,2026-02-10,21.90,9.55,31.45,12.35,35.22,253.22
MEGA,2026-02-11,20.05,8.67,28.72,11.39,42.20,264.61
MEGA,2026-02-12,7.77,14.23,22.00,-6.46,24.76,258.15
MEGA,2026-02-13,21.86,12.12,33.98,9.74,23.42,267.89
MEGA,2026-02-16,12.86,14.63,27.49,-1.78,22.25,266.11
MEGA,2026-02-17,11.49,3.58,15.07,7.91,14.04,274.02
MEGA,2026-02-18,20.71,28.07,48.78,-7.36,30.69,266.66
MEGA,2026-02-19,21.49,3.73,25.22,17.76,20.08,284.42
MEGA,2026-02-20,7.11,8.27,15.38,-1.16,27.73,283.26
MEGA,2026-02-23,8.44,5.69,14.14,2.75,25.67,286.01
MEGA,2026-02-24,6.56,4.01,10.58,2.55,30.74,288.56
MEGA,2026-02-25,16.77,15.78,32.54,0.99,18.05,289.55
MEGA,2026-02-26,15.23,8.20,23.44,7.03,25.94,296.58
MEGA,2026-02-27,8.70,14.71,23.41,-6.00,25.68,290.58
MEGA,2026-03-02,11.77,13.34,25.11,-1.58,17.96,289.00
MEGA,2026-03-04,38.90,24.14,63.04,14.76,29.34,303.76
MEGA,2026-03-05,9.27,11.09,20.36,-1.82,20.79,301.94
MEGA,2026-03-06,1.53,19.10,20.64,-17.57,25.28,284.37
MEGA,2026-03-09,9.55,14.23,23.78,-4.68,33.32,279.69
MEGA,2026-03-10,11.98,8.18,20.16,3.80,36.34,283.49
MEGA,2026-03-11,23.13,11.49,34.62,11.65,38.93,295.14
MEGA,2026-03-12,10.65,9.59,20.24,1.06,39.07,296.20
MEGA,2026-03-13,18.13,4.29,22.42,13.83,40.07,310.03
MEGA,2026-03-16,11.47,3.35,14.82,8.12,24.39,318.15
MEGA,2026-03-17,4.86,9.72,14.58,-4.86,24.73,313.29
MEGA,2026-03-18,6.74,0.36,7.10,6.38,18.67,319.67
MEGA,2026-03-19,8.74,5.52,14.26,3.22,25.47,322.89
MEGA,2026-03-20,2.96,1.41,4.37,1.55,26.78,324.44
MEGA,2026-03-23,3.69,1.87,5.56,1.82,13.13,326.26
MEGA,2026-03-24,10.35,2.20,12.55,8.15,32.86,334.41
MEGA,2026-03-25,10.15,7.90,18.05,2.26,33.23,336.67
MEGA,2026-03-26,7.12,2.03,9.14,5.09,16.30,341.76
MEGA,2026-03-27,1.21,5.46,6.68,-4.25,20.22,337.51
MEGA,2026-03-30,3.03,3.47,6.50,-0.44,22.79,337.07
MEGA,2026-03-31,14.94,11.46,26.40,3.47,26.61,340.54
MEGA,2026-04-01,1.60,1.05,2.65,0.55,15.08,341.09
MEGA,2026-04-02,5.63,12.08,17.70,-6.45,44.67,334.64
MEGA,2026-04-03,5.63,2.31,7.94,3.33,19.49,337.97
MEGA,2026-04-07,15.56,3.83,19.39,11.73,22.77,349.70
MEGA,2026-04-08,4.24,3.01,7.25,1.23,26.05,350.93
MEGA,2026-04-09,6.76,5.71,12.47,1.05,49.08,351.98
MEGA,2026-04-10,7.09,4.82,11.92,2.27,48.53,354.25
MEGA,2026-04-16,4.38,9.76,14.15,-5.38,27.34,348.87
MEGA,2026-04-17,2.20,4.95,7.15,-2.75,19.24,346.12
MEGA,2026-04-20,2.28,4.17,6.45,-1.89,38.55,344.23
MEGA,2026-04-21,4.83,3.45,8.28,1.38,29.54,345.61
