symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
MINT,2026-01-05,167.22,92.34,259.56,74.88,38.37,74.88
MINT,2026-01-06,107.52,61.52,169.04,46.00,31.11,120.88
MINT,2026-01-07,226.09,81.62,307.71,144.47,39.11,265.35
MINT,2026-01-08,169.40,80.53,249.92,88.87,38.03,354.22
MINT,2026-01-09,75.42,57.47,132.88,17.95,35.05,372.17
MINT,2026-01-12,170.57,117.83,288.40,52.74,36.53,424.91
MINT,2026-01-13,177.72,95.99,273.71,81.72,36.20,506.63
MINT,2026-01-14,308.65,82.76,391.41,225.89,30.46,732.52
MINT,2026-01-15,532.19,143.51,675.70,388.68,29.00,1121.20
MINT,2026-01-16,333.14,176.89,510.03,156.25,25.26,1277.45
MINT,2026-01-19,155.70,157.88,313.58,-2.17,29.31,1275.28
MINT,2026-01-20,163.23,211.16,374.38,-47.93,23.34,1227.35
MINT,2026-01-21,154.99,222.29,377.28,-67.30,34.96,1160.05
MINT,2026-01-22,150.49,201.85,352.33,-51.36,32.01,1108.69
MINT,2026-01-23,177.54,168.96,346.50,8.58,34.82,1117.27
MINT,2026-01-26,140.12,122.51,262.62,17.61,44.67,1134.88
MINT,2026-01-27,168.21,152.95,321.16,15.25,32.03,1150.13
MINT,2026-01-28,105.13,103.82,208.95,1.30,36.28,1151.43
MINT,2026-01-29,88.48,103.83,192.31,-15.35,27.33,1136.08
MINT,2026-01-30,134.52,131.38,265.90,3.13,35.65,1139.21
MINT,2026-02-02,297.15,165.06,462.21,132.09,25.85,1271.30
MINT,2026-02-03,555.30,222.06,777.36,333.24,29.27,1604.54
MINT,2026-02-04,132.05,49.89,181.94,82.15,20.74,1686.69
MINT,2026-02-05,218.02,105.53,323.55,112.50,31.62,1799.19
MINT,2026-02-06,172.50,149.12,321.62,23.38,32.10,1822.57
MINT,2026-02-09,203.74,222.18,425.93,-18.44,37.52,1804.13
MINT,2026-02-10,106.53,127.16,233.69,-20.63,28.40,1783.50
MINT,2026-02-11,167.57,204.51,372.08,-36.95,27.15,1746.55
MINT,2026-02-12,167.80,192.80,360.60,-25.00,34.99,1721.55
MINT,2026-02-13,148.41,200.77,349.17,-52.36,34.63,1669.19
MINT,2026-02-16,179.63,212.58,392.21,-32.96,35.65,1636.23
MINT,2026-02-17,86.93,146.36,233.29,-59.43,22.88,1576.80
MINT,2026-02-18,121.57,123.15,244.72,-1.59,41.13,1575.21
MINT,2026-02-19,74.77,79.39,154.16,-4.62,25.44,1570.59
MINT,2026-02-20,210.69,121.92,332.61,88.77,31.23,1659.36
MINT,2026-02-23,177.04,129.41,306.44,47.63,37.16,1706.99
MINT,2026-02-24,170.20,117.71,287.91,52.49,30.37,1759.48
MINT,2026-02-25,213.67,176.83,390.50,36.84,40.15,1796.32
MINT,2026-02-26,100.15,94.61,194.75,5.54,37.05,1801.86
MINT,2026-02-27,228.84,277.84,506.69,-49.00,29.33,1752.86
MINT,2026-03-02,502.40,604.14,1106.54,-101.74,28.22,1651.12
MINT,2026-03-04,716.64,746.46,1463.11,-29.82,31.83,1621.30
MINT,2026-03-05,292.80,641.52,934.32,-348.71,37.50,1272.59
MINT,2026-03-06,141.00,270.45,411.45,-129.45,29.57,1143.14
MINT,2026-03-09,289.62,296.13,585.75,-6.51,31.31,1136.63
MINT,2026-03-10,165.50,399.43,564.93,-233.93,34.29,902.70
MINT,2026-03-11,142.55,387.03,529.58,-244.49,28.36,658.21
MINT,2026-03-12,222.64,534.05,756.70,-311.41,33.19,346.80
MINT,2026-03-13,212.19,237.17,449.36,-24.98,40.32,321.82
MINT,2026-03-16,257.35,440.41,697.76,-183.06,33.95,138.76
MINT,2026-03-17,83.38,373.14,456.52,-289.76,42.27,-151.00
MINT,2026-03-18,50.48,176.59,227.07,-126.11,25.11,-277.11
MINT,2026-03-19,161.31,221.65,382.96,-60.34,30.95,-337.45
MINT,2026-03-20,195.75,382.01,577.76,-186.26,43.21,-523.71
MINT,2026-03-23,107.31,259.38,366.68,-152.07,30.33,-675.78
MINT,2026-03-24,198.04,241.16,439.20,-43.12,33.53,-718.90
MINT,2026-03-25,110.85,183.38,294.23,-72.52,27.37,-791.42
MINT,2026-03-26,97.54,179.39,276.93,-81.84,23.17,-873.26
MINT,2026-03-27,150.56,205.71,356.27,-55.14,36.39,-928.40
MINT,2026-03-30,153.28,182.03,335.31,-28.75,28.46,-957.15
MINT,2026-03-31,245.75,326.73,572.47,-80.98,41.33,-1038.13
MINT,2026-04-01,210.56,169.23,379.79,41.33,27.00,-996.80
MINT,2026-04-02,190.64,156.04,346.68,34.60,30.44,-962.20
MINT,2026-04-03,103.69,130.43,234.12,-26.74,30.43,-988.94
MINT,2026-04-07,227.84,82.80,310.64,145.04,27.56,-843.90
MINT,2026-04-08,279.79,137.92,417.72,141.87,27.73,-702.03
MINT,2026-04-09,119.96,231.81,351.78,-111.85,39.96,-813.88
MINT,2026-04-10,53.91,49.84,103.75,4.08,40.54,-809.80
MINT,2026-04-16,303.71,194.36,498.06,109.35,36.21,-700.45
MINT,2026-04-17,104.58,124.57,229.15,-19.98,33.26,-720.43
MINT,2026-04-20,99.02,135.34,234.36,-36.32,43.95,-756.75
MINT,2026-04-21,128.02,254.59,382.61,-126.57,37.77,-883.32
