symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
MOSHI,2026-01-05,0.70,1.62,2.31,-0.92,15.37,-0.92
MOSHI,2026-01-06,3.96,18.61,22.57,-14.65,35.60,-15.57
MOSHI,2026-01-07,2.69,0.43,3.12,2.26,20.46,-13.31
MOSHI,2026-01-08,0.31,0.86,1.17,-0.54,14.13,-13.85
MOSHI,2026-01-09,1.10,1.23,2.33,-0.12,13.67,-13.97
MOSHI,2026-01-12,6.08,14.10,20.17,-8.02,43.68,-21.99
MOSHI,2026-01-13,1.08,2.45,3.53,-1.37,19.64,-23.36
MOSHI,2026-01-14,0.20,0.30,0.50,-0.09,11.55,-23.45
MOSHI,2026-01-15,3.75,3.89,7.64,-0.14,28.51,-23.59
MOSHI,2026-01-16,1.54,0.15,1.69,1.39,14.73,-22.20
MOSHI,2026-01-19,8.92,18.61,27.54,-9.69,46.13,-31.89
MOSHI,2026-01-20,6.50,19.49,26.00,-12.99,52.56,-44.88
MOSHI,2026-01-21,5.11,1.99,7.10,3.12,20.15,-41.76
MOSHI,2026-01-22,2.27,11.81,14.08,-9.54,18.14,-51.30
MOSHI,2026-01-23,0.50,11.62,12.12,-11.12,29.43,-62.42
MOSHI,2026-01-26,1.28,7.26,8.54,-5.98,27.62,-68.40
MOSHI,2026-01-27,5.32,1.64,6.96,3.68,15.60,-64.72
MOSHI,2026-01-28,18.62,2.45,21.07,16.17,18.51,-48.55
MOSHI,2026-01-29,6.01,0.62,6.63,5.39,22.47,-43.16
MOSHI,2026-01-30,3.26,13.81,17.06,-10.55,32.58,-53.71
MOSHI,2026-02-02,1.37,3.58,4.95,-2.22,20.93,-55.93
MOSHI,2026-02-03,1.36,1.27,2.64,0.09,13.71,-55.84
MOSHI,2026-02-04,0.57,5.31,5.88,-4.74,25.89,-60.58
MOSHI,2026-02-05,2.82,2.11,4.93,0.72,19.66,-59.86
MOSHI,2026-02-06,0.90,3.03,3.93,-2.13,25.46,-61.99
MOSHI,2026-02-09,7.27,3.17,10.44,4.11,20.88,-57.88
MOSHI,2026-02-10,16.58,3.05,19.62,13.53,28.88,-44.35
MOSHI,2026-02-11,3.12,5.81,8.93,-2.70,16.40,-47.05
MOSHI,2026-02-12,1.18,4.18,5.37,-3.00,16.91,-50.05
MOSHI,2026-02-13,5.26,7.34,12.60,-2.08,14.48,-52.13
MOSHI,2026-02-16,0.18,9.60,9.78,-9.42,14.38,-61.55
MOSHI,2026-02-17,3.63,9.57,13.21,-5.94,16.25,-67.49
MOSHI,2026-02-18,4.46,3.74,8.20,0.71,10.41,-66.78
MOSHI,2026-02-19,4.86,10.58,15.44,-5.71,20.15,-72.49
MOSHI,2026-02-20,2.62,13.71,16.33,-11.08,30.97,-83.57
MOSHI,2026-02-23,2.06,6.95,9.01,-4.90,23.90,-88.47
MOSHI,2026-02-24,38.21,35.33,73.54,2.88,40.39,-85.59
MOSHI,2026-02-25,1.98,7.44,9.42,-5.46,32.10,-91.05
MOSHI,2026-02-26,3.67,4.49,8.15,-0.82,31.75,-91.87
MOSHI,2026-02-27,3.76,10.72,14.48,-6.95,30.53,-98.82
MOSHI,2026-03-02,11.67,12.50,24.17,-0.82,27.17,-99.64
MOSHI,2026-03-04,3.91,24.48,28.39,-20.57,20.56,-120.21
MOSHI,2026-03-05,7.69,2.83,10.51,4.86,17.72,-115.35
MOSHI,2026-03-06,1.27,3.51,4.78,-2.24,11.05,-117.59
MOSHI,2026-03-09,11.30,21.66,32.96,-10.36,29.60,-127.95
MOSHI,2026-03-10,5.65,21.80,27.44,-16.15,36.75,-144.10
MOSHI,2026-03-11,1.42,5.52,6.93,-4.10,19.63,-148.20
MOSHI,2026-03-12,2.60,2.51,5.10,0.09,14.45,-148.11
MOSHI,2026-03-13,2.97,7.30,10.27,-4.34,19.19,-152.45
MOSHI,2026-03-16,3.32,12.44,15.76,-9.12,24.45,-161.57
MOSHI,2026-03-17,2.59,6.58,9.17,-3.98,36.04,-165.55
MOSHI,2026-03-18,1.39,12.77,14.15,-11.38,25.65,-176.93
MOSHI,2026-03-19,2.37,3.33,5.70,-0.97,12.33,-177.90
MOSHI,2026-03-20,4.74,1.51,6.24,3.23,11.60,-174.67
MOSHI,2026-03-23,0.64,3.56,4.20,-2.92,20.39,-177.59
MOSHI,2026-03-24,0.64,2.47,3.10,-1.83,13.76,-179.42
MOSHI,2026-03-25,8.02,2.06,10.08,5.96,15.15,-173.46
MOSHI,2026-03-26,3.86,7.14,11.00,-3.28,20.34,-176.74
MOSHI,2026-03-27,5.89,1.68,7.57,4.21,23.76,-172.53
MOSHI,2026-03-30,1.74,6.18,7.92,-4.44,30.39,-176.97
MOSHI,2026-03-31,5.10,10.72,15.82,-5.62,30.36,-182.59
MOSHI,2026-04-01,9.83,3.10,12.93,6.73,13.53,-175.86
MOSHI,2026-04-02,3.69,4.01,7.70,-0.33,19.84,-176.19
MOSHI,2026-04-03,0.99,1.44,2.42,-0.45,20.79,-176.64
MOSHI,2026-04-07,5.08,0.43,5.52,4.65,28.17,-171.99
MOSHI,2026-04-08,17.17,3.03,20.20,14.14,23.64,-157.85
MOSHI,2026-04-09,1.53,6.56,8.09,-5.02,22.81,-162.87
MOSHI,2026-04-10,2.98,3.73,6.71,-0.75,17.34,-163.62
MOSHI,2026-04-16,5.96,0.92,6.88,5.03,23.29,-158.59
MOSHI,2026-04-17,0.36,3.61,3.98,-3.25,20.69,-161.84
MOSHI,2026-04-20,0.19,5.67,5.86,-5.49,27.75,-167.33
MOSHI,2026-04-21,1.36,0.96,2.32,0.40,18.41,-166.93
