symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
MTC,2026-01-05,112.37,99.99,212.36,12.37,30.49,12.37
MTC,2026-01-06,116.44,78.70,195.14,37.75,34.85,50.12
MTC,2026-01-07,83.03,55.27,138.31,27.76,24.68,77.88
MTC,2026-01-08,42.04,62.01,104.04,-19.97,13.41,57.91
MTC,2026-01-09,47.13,46.04,93.17,1.10,19.41,59.01
MTC,2026-01-12,89.20,25.72,114.92,63.48,23.27,122.49
MTC,2026-01-13,251.81,55.78,307.58,196.03,29.27,318.52
MTC,2026-01-14,149.55,80.47,230.03,69.08,35.66,387.60
MTC,2026-01-15,141.14,183.07,324.21,-41.93,32.61,345.67
MTC,2026-01-16,93.84,98.34,192.17,-4.50,31.21,341.17
MTC,2026-01-19,62.83,126.18,189.01,-63.36,23.51,277.81
MTC,2026-01-20,88.51,147.21,235.72,-58.71,20.94,219.10
MTC,2026-01-21,61.14,142.54,203.69,-81.40,22.51,137.70
MTC,2026-01-22,57.08,107.76,164.84,-50.68,17.52,87.02
MTC,2026-01-23,79.21,44.03,123.24,35.18,26.25,122.20
MTC,2026-01-26,65.79,55.78,121.57,10.00,30.43,132.20
MTC,2026-01-27,128.86,90.73,219.59,38.13,26.57,170.33
MTC,2026-01-28,22.18,57.16,79.35,-34.98,24.43,135.35
MTC,2026-01-29,60.20,48.84,109.04,11.36,24.88,146.71
MTC,2026-01-30,88.94,56.14,145.09,32.80,25.94,179.51
MTC,2026-02-02,233.33,95.60,328.94,137.73,29.11,317.24
MTC,2026-02-03,139.94,95.32,235.26,44.62,34.24,361.86
MTC,2026-02-04,28.07,79.30,107.37,-51.23,24.02,310.63
MTC,2026-02-05,117.07,89.95,207.01,27.12,20.05,337.75
MTC,2026-02-06,35.90,106.05,141.96,-70.15,31.84,267.60
MTC,2026-02-09,279.15,210.34,489.49,68.81,23.66,336.41
MTC,2026-02-10,76.55,135.17,211.72,-58.63,35.75,277.78
MTC,2026-02-11,81.71,75.73,157.44,5.98,33.39,283.76
MTC,2026-02-12,131.72,156.45,288.17,-24.73,26.44,259.03
MTC,2026-02-13,76.41,71.31,147.72,5.10,18.71,264.13
MTC,2026-02-16,51.17,48.03,99.20,3.14,18.96,267.27
MTC,2026-02-17,147.91,114.27,262.17,33.64,23.01,300.91
MTC,2026-02-18,139.05,145.54,284.59,-6.48,23.78,294.43
MTC,2026-02-19,49.69,128.20,177.89,-78.50,19.22,215.93
MTC,2026-02-20,61.85,65.49,127.34,-3.64,15.76,212.29
MTC,2026-02-23,314.63,210.44,525.07,104.20,35.66,316.49
MTC,2026-02-24,218.42,213.99,432.41,4.43,27.14,320.92
MTC,2026-02-25,198.83,216.64,415.46,-17.81,21.10,303.11
MTC,2026-02-26,32.93,85.18,118.12,-52.25,19.84,250.86
MTC,2026-02-27,130.92,115.05,245.97,15.87,33.88,266.73
MTC,2026-03-02,198.33,157.02,355.36,41.31,22.71,308.04
MTC,2026-03-04,226.58,273.69,500.27,-47.11,26.23,260.93
MTC,2026-03-05,117.97,239.66,357.63,-121.69,28.56,139.24
MTC,2026-03-06,216.39,147.60,363.99,68.79,23.21,208.03
MTC,2026-03-09,340.23,177.54,517.77,162.68,33.31,370.71
MTC,2026-03-10,157.59,198.31,355.90,-40.72,30.82,329.99
MTC,2026-03-11,169.39,185.43,354.82,-16.04,34.89,313.95
MTC,2026-03-12,135.99,156.06,292.05,-20.08,30.06,293.87
MTC,2026-03-13,119.72,157.29,277.00,-37.57,27.10,256.30
MTC,2026-03-16,107.58,108.31,215.89,-0.72,29.46,255.58
MTC,2026-03-17,130.23,205.72,335.94,-75.49,25.54,180.09
MTC,2026-03-18,218.01,162.31,380.32,55.70,29.41,235.79
MTC,2026-03-19,202.69,185.79,388.48,16.91,28.63,252.70
MTC,2026-03-20,189.72,279.75,469.47,-90.04,43.44,162.66
MTC,2026-03-23,147.35,182.81,330.16,-35.46,24.71,127.20
MTC,2026-03-24,125.42,148.02,273.45,-22.60,37.06,104.60
MTC,2026-03-25,85.78,309.90,395.68,-224.12,26.36,-119.52
MTC,2026-03-26,132.44,296.28,428.72,-163.84,27.14,-283.36
MTC,2026-03-27,105.37,185.68,291.05,-80.30,28.65,-363.66
MTC,2026-03-30,141.32,132.58,273.90,8.74,26.83,-354.92
MTC,2026-03-31,173.60,254.93,428.52,-81.33,29.38,-436.25
MTC,2026-04-01,171.89,182.66,354.55,-10.77,21.22,-447.02
MTC,2026-04-02,33.75,39.98,73.73,-6.23,16.15,-453.25
MTC,2026-04-03,39.01,50.91,89.92,-11.89,23.99,-465.14
MTC,2026-04-07,98.34,43.34,141.69,55.00,26.13,-410.14
MTC,2026-04-08,202.19,91.29,293.47,110.90,21.52,-299.24
MTC,2026-04-09,35.67,127.83,163.50,-92.15,33.67,-391.39
MTC,2026-04-10,32.55,39.85,72.40,-7.30,23.01,-398.69
MTC,2026-04-16,63.17,85.90,149.07,-22.73,25.26,-421.42
MTC,2026-04-17,37.44,44.12,81.56,-6.68,21.59,-428.10
MTC,2026-04-20,102.78,65.17,167.95,37.61,23.08,-390.49
MTC,2026-04-21,51.18,96.85,148.03,-45.67,18.00,-436.16
