symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
M,2026-01-05,10.49,13.42,23.91,-2.93,31.90,-2.93
M,2026-01-06,3.69,16.60,20.29,-12.91,35.35,-15.84
M,2026-01-07,35.88,18.25,54.12,17.63,36.42,1.79
M,2026-01-08,4.36,38.10,42.46,-33.74,31.75,-31.95
M,2026-01-09,3.72,21.24,24.96,-17.52,36.38,-49.47
M,2026-01-12,6.82,17.71,24.53,-10.88,31.60,-60.35
M,2026-01-13,13.53,18.33,31.86,-4.80,34.32,-65.15
M,2026-01-14,14.84,6.18,21.02,8.67,44.36,-56.48
M,2026-01-15,29.29,9.20,38.48,20.09,31.97,-36.39
M,2026-01-16,17.15,23.79,40.95,-6.64,30.91,-43.03
M,2026-01-19,18.75,26.37,45.12,-7.61,22.97,-50.64
M,2026-01-20,11.49,36.08,47.57,-24.60,27.24,-75.24
M,2026-01-21,29.08,15.04,44.11,14.04,29.57,-61.20
M,2026-01-22,15.68,30.39,46.07,-14.72,31.87,-75.92
M,2026-01-23,19.47,22.11,41.58,-2.63,30.15,-78.55
M,2026-01-26,14.98,14.69,29.66,0.29,34.88,-78.26
M,2026-01-27,7.90,9.21,17.11,-1.32,22.96,-79.58
M,2026-01-28,7.04,21.26,28.31,-14.22,31.94,-93.80
M,2026-01-29,13.42,14.59,28.00,-1.17,27.62,-94.97
M,2026-01-30,9.91,13.18,23.09,-3.27,32.89,-98.24
M,2026-02-02,4.79,12.75,17.54,-7.96,30.64,-106.20
M,2026-02-03,77.64,39.16,116.80,38.48,28.42,-67.72
M,2026-02-04,29.08,65.84,94.91,-36.76,30.84,-104.48
M,2026-02-05,21.25,53.53,74.78,-32.27,23.18,-136.75
M,2026-02-06,3.27,21.78,25.05,-18.50,17.39,-155.25
M,2026-02-09,12.72,33.16,45.89,-20.44,28.52,-175.69
M,2026-02-10,17.59,29.76,47.35,-12.17,18.35,-187.86
M,2026-02-11,9.97,14.23,24.20,-4.25,13.66,-192.11
M,2026-02-12,34.15,15.31,49.47,18.84,18.46,-173.27
M,2026-02-13,8.53,37.32,45.85,-28.79,21.47,-202.06
M,2026-02-16,5.57,10.45,16.02,-4.88,18.34,-206.94
M,2026-02-17,41.42,21.47,62.89,19.95,18.84,-186.99
M,2026-02-18,68.59,73.73,142.32,-5.13,22.53,-192.12
M,2026-02-19,32.46,76.02,108.47,-43.56,17.61,-235.68
M,2026-02-20,23.43,39.39,62.81,-15.96,15.78,-251.64
M,2026-02-23,46.40,45.65,92.05,0.75,21.63,-250.89
M,2026-02-24,24.40,42.36,66.76,-17.96,19.34,-268.85
M,2026-02-25,29.26,21.21,50.47,8.05,20.10,-260.80
M,2026-02-26,15.75,14.96,30.71,0.79,19.59,-260.01
M,2026-02-27,90.67,43.27,133.94,47.40,14.97,-212.61
M,2026-03-02,41.77,25.06,66.83,16.71,23.95,-195.90
M,2026-03-04,24.30,35.15,59.45,-10.86,20.84,-206.76
M,2026-03-05,24.84,27.03,51.86,-2.19,30.49,-208.95
M,2026-03-06,14.55,13.83,28.38,0.72,33.24,-208.23
M,2026-03-09,25.27,21.57,46.84,3.70,27.52,-204.53
M,2026-03-10,16.08,20.79,36.87,-4.71,22.68,-209.24
M,2026-03-11,32.39,33.20,65.59,-0.81,24.37,-210.05
M,2026-03-12,18.47,27.01,45.48,-8.54,27.35,-218.59
M,2026-03-13,8.26,23.59,31.86,-15.33,20.57,-233.92
M,2026-03-16,20.92,28.21,49.13,-7.28,24.97,-241.20
M,2026-03-17,32.91,30.98,63.89,1.93,19.65,-239.27
M,2026-03-18,9.99,6.62,16.61,3.37,17.65,-235.90
M,2026-03-19,2.34,10.30,12.64,-7.95,16.48,-243.85
M,2026-03-20,5.54,5.25,10.79,0.30,12.40,-243.55
M,2026-03-23,4.55,5.40,9.95,-0.85,12.20,-244.40
M,2026-03-24,2.20,3.19,5.39,-0.99,6.63,-245.39
M,2026-03-25,12.25,14.51,26.76,-2.26,22.77,-247.65
M,2026-03-26,3.49,15.10,18.60,-11.61,29.53,-259.26
M,2026-03-27,9.24,9.84,19.08,-0.60,32.67,-259.86
M,2026-03-30,13.67,12.39,26.05,1.28,22.12,-258.58
M,2026-03-31,8.33,9.87,18.19,-1.54,26.29,-260.12
M,2026-04-01,13.09,12.24,25.33,0.84,22.01,-259.28
M,2026-04-02,11.96,16.05,28.01,-4.09,20.17,-263.37
M,2026-04-03,3.64,26.18,29.82,-22.55,26.68,-285.92
M,2026-04-07,1.61,2.14,3.75,-0.53,15.62,-286.45
M,2026-04-08,44.11,8.05,52.16,36.06,26.36,-250.39
M,2026-04-09,4.68,25.86,30.54,-21.18,34.76,-271.57
M,2026-04-10,2.03,7.38,9.41,-5.35,24.39,-276.92
M,2026-04-16,28.47,4.78,33.25,23.69,25.98,-253.23
M,2026-04-17,5.51,23.34,28.85,-17.82,33.31,-271.05
M,2026-04-20,5.94,13.64,19.58,-7.71,23.37,-278.76
M,2026-04-21,2.65,3.33,5.99,-0.68,15.07,-279.44
