symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
OR,2026-01-05,85.72,60.07,145.79,25.65,35.49,25.65
OR,2026-01-06,42.28,62.49,104.77,-20.20,25.94,5.45
OR,2026-01-07,123.63,19.42,143.05,104.21,23.01,109.66
OR,2026-01-08,125.36,120.56,245.92,4.81,34.18,114.47
OR,2026-01-09,39.89,35.45,75.34,4.45,21.52,118.92
OR,2026-01-12,63.11,21.52,84.63,41.60,27.06,160.52
OR,2026-01-13,83.13,100.88,184.01,-17.75,39.48,142.77
OR,2026-01-14,43.59,72.03,115.63,-28.44,30.64,114.33
OR,2026-01-15,78.71,38.15,116.86,40.56,33.44,154.89
OR,2026-01-16,294.79,115.82,410.61,178.98,36.47,333.87
OR,2026-01-19,66.92,70.15,137.08,-3.23,25.64,330.64
OR,2026-01-20,142.85,110.57,253.42,32.28,25.22,362.92
OR,2026-01-21,485.69,150.28,635.97,335.41,29.81,698.33
OR,2026-01-22,165.92,101.22,267.14,64.70,32.96,763.03
OR,2026-01-23,94.67,72.71,167.38,21.95,37.40,784.98
OR,2026-01-26,286.77,144.77,431.54,142.00,29.14,926.98
OR,2026-01-27,131.18,222.52,353.71,-91.34,37.23,835.64
OR,2026-01-28,111.95,228.20,340.15,-116.25,32.05,719.39
OR,2026-01-29,95.17,253.00,348.17,-157.83,27.31,561.56
OR,2026-01-30,71.33,113.07,184.40,-41.73,26.89,519.83
OR,2026-02-02,65.05,113.60,178.64,-48.55,30.97,471.28
OR,2026-02-03,121.36,175.48,296.84,-54.12,28.77,417.16
OR,2026-02-04,64.35,111.10,175.45,-46.76,33.25,370.40
OR,2026-02-05,97.63,170.94,268.58,-73.31,24.11,297.09
OR,2026-02-06,48.82,35.88,84.70,12.94,29.97,310.03
OR,2026-02-09,185.35,117.88,303.22,67.47,24.62,377.50
OR,2026-02-10,72.61,171.88,244.49,-99.28,24.23,278.22
OR,2026-02-11,193.72,210.92,404.64,-17.20,20.14,261.02
OR,2026-02-12,305.75,209.53,515.27,96.22,30.24,357.24
OR,2026-02-13,72.94,130.79,203.73,-57.85,21.40,299.39
OR,2026-02-16,37.72,69.69,107.42,-31.97,25.77,267.42
OR,2026-02-17,108.00,82.10,190.10,25.90,21.03,293.32
OR,2026-02-18,192.24,171.36,363.60,20.88,17.90,314.20
OR,2026-02-19,187.68,329.92,517.60,-142.25,19.80,171.95
OR,2026-02-20,72.66,186.67,259.33,-114.02,20.78,57.93
OR,2026-02-23,92.20,132.20,224.40,-40.00,23.48,17.93
OR,2026-02-24,142.39,176.50,318.90,-34.11,26.94,-16.18
OR,2026-02-25,82.32,144.03,226.35,-61.72,25.73,-77.90
OR,2026-02-26,80.75,112.78,193.52,-32.03,25.06,-109.93
OR,2026-02-27,111.73,283.77,395.51,-172.04,30.74,-281.97
OR,2026-03-02,157.77,158.37,316.14,-0.60,15.24,-282.57
OR,2026-03-04,349.51,281.65,631.16,67.87,26.60,-214.70
OR,2026-03-05,254.31,431.37,685.68,-177.06,32.40,-391.76
OR,2026-03-06,69.34,183.31,252.64,-113.97,22.03,-505.73
OR,2026-03-09,295.73,224.00,519.73,71.74,28.32,-433.99
OR,2026-03-10,88.67,171.18,259.85,-82.51,34.40,-516.50
OR,2026-03-11,90.97,135.68,226.65,-44.70,32.49,-561.20
OR,2026-03-12,62.23,59.92,122.15,2.31,23.87,-558.89
OR,2026-03-13,81.43,111.09,192.52,-29.66,25.41,-588.55
OR,2026-03-16,81.08,52.21,133.29,28.87,24.44,-559.68
OR,2026-03-17,129.04,91.70,220.74,37.34,15.59,-522.34
OR,2026-03-18,68.11,177.76,245.88,-109.65,23.45,-631.99
OR,2026-03-19,48.21,108.93,157.14,-60.72,26.68,-692.71
OR,2026-03-20,64.39,38.26,102.66,26.13,29.82,-666.58
OR,2026-03-23,17.16,41.54,58.70,-24.39,15.59,-690.97
OR,2026-03-24,8.24,25.47,33.71,-17.23,19.59,-708.20
OR,2026-03-25,43.19,57.54,100.73,-14.35,19.99,-722.55
OR,2026-03-26,228.86,334.15,563.01,-105.30,14.56,-827.85
OR,2026-03-27,69.93,87.31,157.24,-17.39,11.44,-845.24
OR,2026-03-30,38.25,51.49,89.74,-13.24,19.86,-858.48
OR,2026-03-31,109.48,64.53,174.01,44.95,10.58,-813.53
OR,2026-04-01,157.97,144.95,302.92,13.02,19.19,-800.51
OR,2026-04-02,46.07,97.48,143.55,-51.41,18.61,-851.92
OR,2026-04-03,95.59,88.21,183.80,7.38,12.43,-844.54
OR,2026-04-07,121.08,100.28,221.36,20.80,24.02,-823.74
OR,2026-04-08,127.31,101.61,228.91,25.70,36.90,-798.04
OR,2026-04-09,74.54,103.70,178.24,-29.16,14.96,-827.20
OR,2026-04-10,37.42,25.25,62.67,12.17,17.13,-815.03
OR,2026-04-16,64.33,148.69,213.02,-84.36,39.14,-899.39
OR,2026-04-17,1.77,15.53,17.30,-13.76,17.50,-913.15
OR,2026-04-20,92.25,30.50,122.75,61.75,28.71,-851.40
OR,2026-04-21,25.46,68.83,94.29,-43.37,26.74,-894.77
