symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
OSP,2026-01-05,38.32,35.52,73.84,2.80,35.94,2.80
OSP,2026-01-06,46.84,50.91,97.75,-4.08,43.32,-1.28
OSP,2026-01-07,95.74,41.41,137.15,54.33,40.02,53.05
OSP,2026-01-08,41.42,38.74,80.16,2.69,25.14,55.74
OSP,2026-01-09,64.60,17.67,82.27,46.93,31.66,102.67
OSP,2026-01-12,70.02,57.53,127.55,12.49,35.24,115.16
OSP,2026-01-13,160.04,129.78,289.82,30.25,42.24,145.41
OSP,2026-01-14,97.57,54.22,151.79,43.35,45.20,188.76
OSP,2026-01-15,58.68,34.34,93.02,24.34,33.49,213.10
OSP,2026-01-16,102.55,37.56,140.11,64.99,26.80,278.09
OSP,2026-01-19,82.14,58.95,141.09,23.20,24.98,301.29
OSP,2026-01-20,84.44,51.40,135.85,33.04,27.59,334.33
OSP,2026-01-21,73.71,55.67,129.38,18.05,35.36,352.38
OSP,2026-01-22,57.11,36.99,94.10,20.12,36.43,372.50
OSP,2026-01-23,92.08,27.26,119.34,64.82,27.47,437.32
OSP,2026-01-26,58.31,47.66,105.97,10.66,37.14,447.98
OSP,2026-01-27,38.88,43.04,81.92,-4.15,37.76,443.83
OSP,2026-01-28,16.45,35.79,52.23,-19.34,34.38,424.49
OSP,2026-01-29,37.95,53.54,91.49,-15.60,29.78,408.89
OSP,2026-01-30,87.96,68.83,156.79,19.14,28.45,428.03
OSP,2026-02-02,24.19,67.82,92.00,-43.63,30.12,384.40
OSP,2026-02-03,49.37,55.53,104.89,-6.16,28.58,378.24
OSP,2026-02-04,39.24,55.57,94.81,-16.33,29.18,361.91
OSP,2026-02-05,28.19,26.00,54.19,2.19,36.03,364.10
OSP,2026-02-06,25.39,14.68,40.07,10.71,30.91,374.81
OSP,2026-02-09,131.42,49.70,181.12,81.72,32.53,456.53
OSP,2026-02-10,37.42,48.13,85.55,-10.71,26.05,445.82
OSP,2026-02-11,71.70,42.92,114.61,28.78,27.02,474.60
OSP,2026-02-12,29.16,50.39,79.55,-21.23,25.50,453.37
OSP,2026-02-13,55.84,53.41,109.25,2.43,32.12,455.80
OSP,2026-02-16,21.35,21.10,42.45,0.25,28.12,456.05
OSP,2026-02-17,76.46,67.01,143.47,9.45,27.37,465.50
OSP,2026-02-18,52.29,43.10,95.39,9.18,30.31,474.68
OSP,2026-02-19,37.67,33.86,71.53,3.80,28.08,478.48
OSP,2026-02-20,40.24,49.27,89.51,-9.03,30.60,469.45
OSP,2026-02-23,32.79,37.84,70.63,-5.05,33.57,464.40
OSP,2026-02-24,30.78,13.79,44.57,17.00,31.10,481.40
OSP,2026-02-25,35.57,23.69,59.27,11.88,30.25,493.28
OSP,2026-02-26,71.35,66.21,137.56,5.13,14.59,498.41
OSP,2026-02-27,123.17,223.26,346.43,-100.09,31.90,398.32
OSP,2026-03-02,273.63,88.15,361.78,185.48,30.18,583.80
OSP,2026-03-04,141.68,120.20,261.88,21.47,34.23,605.27
OSP,2026-03-05,185.58,182.00,367.58,3.58,31.76,608.85
OSP,2026-03-06,79.51,69.44,148.96,10.07,33.21,618.92
OSP,2026-03-09,106.07,82.85,188.92,23.22,38.10,642.14
OSP,2026-03-10,61.09,174.86,235.94,-113.77,35.98,528.37
OSP,2026-03-11,37.09,114.06,151.16,-76.97,33.24,451.40
OSP,2026-03-12,91.41,77.04,168.45,14.37,32.66,465.77
OSP,2026-03-13,11.67,54.56,66.22,-42.89,27.91,422.88
OSP,2026-03-16,50.50,50.24,100.74,0.26,33.96,423.14
OSP,2026-03-17,65.66,50.93,116.59,14.73,25.55,437.87
OSP,2026-03-18,93.30,93.07,186.37,0.22,35.38,438.09
OSP,2026-03-19,60.20,116.64,176.84,-56.44,35.33,381.65
OSP,2026-03-20,54.30,52.19,106.49,2.11,31.32,383.76
OSP,2026-03-23,45.06,61.38,106.44,-16.32,37.30,367.44
OSP,2026-03-24,46.63,41.56,88.18,5.07,40.06,372.51
OSP,2026-03-25,44.31,30.61,74.92,13.70,30.41,386.21
OSP,2026-03-26,60.00,65.54,125.54,-5.53,43.31,380.68
OSP,2026-03-27,111.10,43.26,154.36,67.84,41.95,448.52
OSP,2026-03-30,88.11,47.61,135.72,40.50,39.95,489.02
OSP,2026-03-31,83.01,71.21,154.23,11.80,33.47,500.82
OSP,2026-04-01,71.17,58.85,130.02,12.33,22.99,513.15
OSP,2026-04-02,31.63,29.86,61.49,1.78,25.39,514.93
OSP,2026-04-03,44.25,39.81,84.06,4.44,31.43,519.37
OSP,2026-04-07,67.27,23.26,90.53,44.01,38.61,563.38
OSP,2026-04-08,38.03,33.14,71.17,4.89,30.06,568.27
OSP,2026-04-09,23.91,44.76,68.67,-20.85,41.61,547.42
OSP,2026-04-10,21.68,16.41,38.09,5.26,36.82,552.68
OSP,2026-04-16,33.38,20.68,54.06,12.70,32.15,565.38
OSP,2026-04-17,11.76,11.54,23.30,0.21,24.58,565.59
OSP,2026-04-20,14.18,15.46,29.65,-1.28,38.39,564.31
OSP,2026-04-21,30.01,19.18,49.19,10.83,27.48,575.14
