symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
PLANB,2026-01-05,10.19,10.19,20.37,0.00,17.56,0.00
PLANB,2026-01-06,3.82,7.00,10.82,-3.18,10.40,-3.18
PLANB,2026-01-07,9.59,12.00,21.60,-2.41,23.76,-5.59
PLANB,2026-01-08,0.65,5.07,5.72,-4.43,9.80,-10.02
PLANB,2026-01-09,7.91,6.73,14.64,1.18,13.52,-8.84
PLANB,2026-01-12,9.97,6.80,16.77,3.16,18.58,-5.68
PLANB,2026-01-13,26.06,15.04,41.10,11.02,18.62,5.34
PLANB,2026-01-14,54.98,19.47,74.46,35.51,18.92,40.85
PLANB,2026-01-15,40.68,36.80,77.47,3.88,17.57,44.73
PLANB,2026-01-16,9.24,13.25,22.49,-4.01,20.92,40.72
PLANB,2026-01-19,14.65,19.94,34.59,-5.29,17.57,35.43
PLANB,2026-01-20,25.90,16.95,42.85,8.96,33.79,44.39
PLANB,2026-01-21,18.50,12.05,30.55,6.46,17.72,50.85
PLANB,2026-01-22,19.62,17.43,37.05,2.19,21.39,53.04
PLANB,2026-01-23,7.56,8.66,16.22,-1.10,28.64,51.94
PLANB,2026-01-26,26.93,26.76,53.69,0.16,42.92,52.10
PLANB,2026-01-27,17.88,7.83,25.71,10.05,19.02,62.15
PLANB,2026-01-28,7.71,13.26,20.97,-5.55,23.26,56.60
PLANB,2026-01-29,9.88,20.25,30.13,-10.36,24.30,46.24
PLANB,2026-01-30,8.76,4.91,13.67,3.85,21.16,50.09
PLANB,2026-02-02,6.66,8.91,15.58,-2.25,22.73,47.84
PLANB,2026-02-03,28.45,5.21,33.66,23.24,27.21,71.08
PLANB,2026-02-04,5.90,19.41,25.31,-13.50,23.03,57.58
PLANB,2026-02-05,38.16,7.57,45.73,30.59,22.26,88.17
PLANB,2026-02-06,12.14,21.73,33.87,-9.59,22.30,78.58
PLANB,2026-02-09,42.88,11.17,54.05,31.71,17.13,110.29
PLANB,2026-02-10,65.96,22.32,88.28,43.63,20.15,153.92
PLANB,2026-02-11,31.46,29.49,60.95,1.97,19.23,155.89
PLANB,2026-02-12,17.50,25.83,43.33,-8.34,21.54,147.55
PLANB,2026-02-13,78.54,35.89,114.43,42.65,14.29,190.20
PLANB,2026-02-16,58.80,55.74,114.54,3.06,24.56,193.26
PLANB,2026-02-17,39.16,34.28,73.44,4.88,21.85,198.14
PLANB,2026-02-18,96.44,39.23,135.67,57.21,17.77,255.35
PLANB,2026-02-19,53.23,56.39,109.62,-3.16,15.95,252.19
PLANB,2026-02-20,101.46,63.22,164.67,38.24,19.25,290.43
PLANB,2026-02-23,94.76,54.84,149.60,39.91,27.69,330.34
PLANB,2026-02-24,105.73,81.87,187.59,23.86,26.97,354.20
PLANB,2026-02-25,29.10,78.02,107.12,-48.92,28.59,305.28
PLANB,2026-02-26,21.01,46.90,67.91,-25.89,28.56,279.39
PLANB,2026-02-27,174.50,114.64,289.14,59.86,35.96,339.25
PLANB,2026-03-02,50.73,36.54,87.27,14.20,22.06,353.45
PLANB,2026-03-04,69.80,54.20,124.00,15.60,34.92,369.05
PLANB,2026-03-05,41.43,36.17,77.60,5.26,32.12,374.31
PLANB,2026-03-06,13.27,17.39,30.66,-4.12,25.81,370.19
PLANB,2026-03-09,37.63,22.52,60.16,15.11,41.59,385.30
PLANB,2026-03-10,23.49,36.50,60.00,-13.01,31.07,372.29
PLANB,2026-03-11,16.91,17.05,33.96,-0.15,25.41,372.14
PLANB,2026-03-12,21.41,24.28,45.69,-2.88,27.40,369.26
PLANB,2026-03-13,13.54,32.73,46.27,-19.19,26.91,350.07
PLANB,2026-03-16,41.22,35.11,76.33,6.10,24.98,356.17
PLANB,2026-03-17,21.08,13.54,34.62,7.54,27.46,363.71
PLANB,2026-03-18,30.77,77.07,107.84,-46.30,36.89,317.41
PLANB,2026-03-19,22.91,17.83,40.75,5.08,21.41,322.49
PLANB,2026-03-20,44.74,26.37,71.11,18.37,33.72,340.86
PLANB,2026-03-23,19.21,22.84,42.05,-3.63,23.04,337.23
PLANB,2026-03-24,19.52,24.11,43.63,-4.58,36.97,332.65
PLANB,2026-03-25,6.32,21.84,28.16,-15.51,26.03,317.14
PLANB,2026-03-26,15.86,14.52,30.38,1.34,19.34,318.48
PLANB,2026-03-27,8.69,7.61,16.30,1.08,33.97,319.56
PLANB,2026-03-30,11.50,8.84,20.34,2.65,31.42,322.21
PLANB,2026-03-31,33.93,37.04,70.98,-3.11,22.87,319.10
PLANB,2026-04-01,11.55,23.83,35.37,-12.28,14.41,306.82
PLANB,2026-04-02,12.54,15.63,28.17,-3.10,37.17,303.72
PLANB,2026-04-03,4.26,12.97,17.23,-8.71,28.40,295.01
PLANB,2026-04-07,8.49,9.79,18.28,-1.30,27.56,293.71
PLANB,2026-04-08,15.97,19.70,35.66,-3.73,19.38,289.98
PLANB,2026-04-09,5.15,19.99,25.14,-14.84,13.99,275.14
PLANB,2026-04-10,0.66,1.84,2.50,-1.18,21.49,273.96
PLANB,2026-04-16,17.87,10.74,28.61,7.13,28.89,281.09
PLANB,2026-04-17,10.57,15.50,26.08,-4.93,14.76,276.16
PLANB,2026-04-20,10.93,14.35,25.28,-3.42,15.76,272.74
PLANB,2026-04-21,31.60,31.60,63.19,0.00,13.32,272.74
