symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
PR9,2026-01-05,7.73,8.27,16.00,-0.54,22.51,-0.54
PR9,2026-01-06,3.14,7.14,10.28,-3.99,21.27,-4.53
PR9,2026-01-07,19.11,4.09,23.20,15.02,20.51,10.49
PR9,2026-01-08,1.12,17.53,18.65,-16.41,28.85,-5.92
PR9,2026-01-09,4.16,9.18,13.34,-5.02,20.15,-10.94
PR9,2026-01-12,19.35,42.11,61.45,-22.76,23.56,-33.70
PR9,2026-01-13,22.64,4.08,26.72,18.56,19.51,-15.14
PR9,2026-01-14,6.38,10.71,17.09,-4.33,21.29,-19.47
PR9,2026-01-15,5.93,11.14,17.07,-5.21,27.53,-24.68
PR9,2026-01-16,2.47,3.64,6.11,-1.17,26.45,-25.85
PR9,2026-01-19,9.47,12.53,22.00,-3.05,17.40,-28.90
PR9,2026-01-20,6.45,23.09,29.54,-16.64,13.12,-45.54
PR9,2026-01-21,12.25,8.96,21.21,3.29,26.04,-42.25
PR9,2026-01-22,17.92,9.47,27.39,8.46,17.61,-33.79
PR9,2026-01-23,5.49,4.11,9.60,1.38,27.21,-32.41
PR9,2026-01-26,2.32,9.62,11.95,-7.30,34.15,-39.71
PR9,2026-01-27,0.32,11.83,12.15,-11.51,18.57,-51.22
PR9,2026-01-28,0.45,5.72,6.17,-5.27,20.19,-56.49
PR9,2026-01-29,2.45,2.49,4.94,-0.05,18.87,-56.54
PR9,2026-01-30,6.15,3.73,9.88,2.42,17.30,-54.12
PR9,2026-02-02,1.51,5.10,6.60,-3.59,15.97,-57.71
PR9,2026-02-03,14.99,1.28,16.27,13.72,16.47,-43.99
PR9,2026-02-04,6.29,5.81,12.10,0.48,17.70,-43.51
PR9,2026-02-05,17.41,14.56,31.97,2.86,31.73,-40.65
PR9,2026-02-06,25.37,11.22,36.59,14.16,22.48,-26.49
PR9,2026-02-09,12.34,30.92,43.26,-18.59,20.85,-45.08
PR9,2026-02-10,29.36,13.59,42.95,15.77,21.06,-29.31
PR9,2026-02-11,33.90,38.89,72.79,-4.99,32.87,-34.30
PR9,2026-02-12,38.24,10.82,49.06,27.43,21.18,-6.87
PR9,2026-02-13,27.11,17.01,44.12,10.11,18.54,3.24
PR9,2026-02-16,7.74,10.43,18.17,-2.69,14.24,0.55
PR9,2026-02-17,7.17,30.15,37.33,-22.98,21.63,-22.43
PR9,2026-02-18,4.73,30.17,34.90,-25.44,19.96,-47.87
PR9,2026-02-19,23.00,26.80,49.80,-3.81,18.28,-51.68
PR9,2026-02-20,12.79,18.44,31.22,-5.65,14.82,-57.33
PR9,2026-02-23,25.17,17.35,42.52,7.81,16.09,-49.52
PR9,2026-02-24,31.78,16.84,48.61,14.94,20.75,-34.58
PR9,2026-02-25,6.81,41.45,48.26,-34.64,16.39,-69.22
PR9,2026-02-26,41.87,27.58,69.45,14.29,22.29,-54.93
PR9,2026-02-27,12.23,34.53,46.76,-22.29,27.79,-77.22
PR9,2026-03-02,20.65,20.16,40.81,0.49,16.14,-76.73
PR9,2026-03-04,63.67,29.36,93.04,34.31,30.58,-42.42
PR9,2026-03-05,14.92,47.25,62.17,-32.33,26.90,-74.75
PR9,2026-03-06,5.50,3.89,9.40,1.61,12.52,-73.14
PR9,2026-03-09,34.41,14.53,48.95,19.88,30.92,-53.26
PR9,2026-03-10,23.51,18.83,42.34,4.68,29.91,-48.58
PR9,2026-03-11,4.70,43.70,48.40,-39.01,33.82,-87.59
PR9,2026-03-12,13.96,17.09,31.04,-3.13,27.47,-90.72
PR9,2026-03-13,13.40,22.95,36.35,-9.55,28.06,-100.27
PR9,2026-03-16,9.95,7.81,17.76,2.14,17.64,-98.13
PR9,2026-03-17,0.98,14.84,15.81,-13.86,19.02,-111.99
PR9,2026-03-18,1.44,14.43,15.86,-12.99,20.65,-124.98
PR9,2026-03-19,6.93,15.60,22.53,-8.66,16.19,-133.64
PR9,2026-03-20,10.14,4.47,14.61,5.68,19.53,-127.96
PR9,2026-03-23,2.17,5.12,7.28,-2.95,14.02,-130.91
PR9,2026-03-24,0.12,2.07,2.18,-1.95,5.85,-132.86
PR9,2026-03-25,18.01,4.76,22.77,13.24,18.43,-119.62
PR9,2026-03-26,2.27,11.11,13.37,-8.84,19.83,-128.46
PR9,2026-03-27,3.82,2.05,5.88,1.77,18.27,-126.69
PR9,2026-03-30,1.08,5.48,6.56,-4.40,12.69,-131.09
PR9,2026-03-31,15.82,6.13,21.95,9.69,23.73,-121.40
PR9,2026-04-01,28.03,6.32,34.34,21.71,16.33,-99.69
PR9,2026-04-02,3.60,13.91,17.52,-10.31,26.60,-110.00
PR9,2026-04-03,3.28,9.60,12.88,-6.31,17.31,-116.31
PR9,2026-04-07,0.55,3.65,4.21,-3.10,8.30,-119.41
PR9,2026-04-08,57.32,32.04,89.36,25.27,28.74,-94.14
PR9,2026-04-09,1.43,22.48,23.90,-21.05,32.34,-115.19
PR9,2026-04-10,8.48,7.92,16.40,0.56,17.00,-114.63
PR9,2026-04-16,15.31,1.89,17.20,13.42,24.26,-101.21
PR9,2026-04-17,13.06,21.73,34.79,-8.67,21.94,-109.88
PR9,2026-04-20,2.45,26.00,28.46,-23.55,19.85,-133.43
PR9,2026-04-21,16.03,10.01,26.04,6.02,25.06,-127.41
