symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
PRM,2026-01-05,25.77,7.02,32.79,18.75,23.03,18.75
PRM,2026-01-06,13.48,3.81,17.29,9.67,21.82,28.42
PRM,2026-01-07,6.51,5.21,11.72,1.30,20.35,29.72
PRM,2026-01-08,20.85,2.66,23.51,18.18,27.54,47.90
PRM,2026-01-09,14.10,2.18,16.28,11.92,24.38,59.82
PRM,2026-01-12,14.52,9.39,23.90,5.13,26.06,64.95
PRM,2026-01-13,8.13,5.18,13.31,2.95,32.09,67.90
PRM,2026-01-14,9.72,2.18,11.91,7.54,29.53,75.44
PRM,2026-01-15,7.83,1.54,9.37,6.30,19.68,81.74
PRM,2026-01-16,15.40,10.17,25.57,5.23,30.49,86.97
PRM,2026-01-19,14.78,2.09,16.88,12.69,32.15,99.66
PRM,2026-01-20,12.60,9.89,22.49,2.71,24.10,102.37
PRM,2026-01-21,16.14,20.22,36.35,-4.08,19.97,98.29
PRM,2026-01-22,6.49,26.05,32.53,-19.56,26.80,78.73
PRM,2026-01-23,21.15,12.67,33.82,8.49,45.37,87.22
PRM,2026-01-26,4.79,6.97,11.76,-2.18,29.35,85.04
PRM,2026-01-27,4.24,5.86,10.10,-1.62,28.47,83.42
PRM,2026-01-28,6.99,7.60,14.59,-0.62,26.60,82.80
PRM,2026-01-29,5.70,3.65,9.36,2.05,20.12,84.85
PRM,2026-01-30,7.53,10.53,18.06,-3.00,25.78,81.85
PRM,2026-02-02,9.70,6.74,16.44,2.96,29.82,84.81
PRM,2026-02-03,7.60,17.51,25.11,-9.91,17.10,74.90
PRM,2026-02-04,7.46,21.99,29.45,-14.52,28.27,60.38
PRM,2026-02-05,1.63,13.00,14.63,-11.37,20.23,49.01
PRM,2026-02-06,1.54,10.55,12.09,-9.00,10.30,40.01
PRM,2026-02-09,15.70,1.60,17.31,14.10,21.63,54.11
PRM,2026-02-10,12.72,5.47,18.20,7.25,25.38,61.36
PRM,2026-02-11,1.84,3.20,5.04,-1.35,17.51,60.01
PRM,2026-02-12,9.17,3.69,12.86,5.47,19.21,65.48
PRM,2026-02-13,12.55,4.75,17.30,7.79,27.73,73.27
PRM,2026-02-16,16.01,17.02,33.03,-1.01,17.91,72.26
PRM,2026-02-17,21.33,13.90,35.23,7.43,16.10,79.69
PRM,2026-02-18,7.69,5.11,12.80,2.58,10.84,82.27
PRM,2026-02-19,47.46,23.92,71.38,23.53,32.57,105.80
PRM,2026-02-20,24.29,12.08,36.37,12.20,27.50,118.00
PRM,2026-02-23,20.29,11.09,31.38,9.20,31.69,127.20
PRM,2026-02-24,20.97,11.35,32.32,9.62,37.89,136.82
PRM,2026-02-25,9.56,11.04,20.60,-1.48,33.37,135.34
PRM,2026-02-26,9.39,4.83,14.22,4.55,23.61,139.89
PRM,2026-02-27,29.76,10.37,40.13,19.40,17.75,159.29
PRM,2026-03-02,37.80,39.28,77.07,-1.48,18.23,157.81
PRM,2026-03-04,59.39,25.19,84.59,34.20,21.09,192.01
PRM,2026-03-05,35.58,29.86,65.43,5.72,33.60,197.73
PRM,2026-03-06,7.13,22.19,29.32,-15.06,30.36,182.67
PRM,2026-03-09,30.52,17.90,48.42,12.62,30.29,195.29
PRM,2026-03-10,13.06,4.99,18.05,8.07,24.76,203.36
PRM,2026-03-11,29.35,11.87,41.22,17.49,31.86,220.85
PRM,2026-03-12,25.65,16.85,42.49,8.80,35.46,229.65
PRM,2026-03-13,16.22,15.19,31.41,1.03,34.98,230.68
PRM,2026-03-16,12.84,18.09,30.93,-5.25,24.16,225.43
PRM,2026-03-17,21.83,7.05,28.88,14.77,21.96,240.20
PRM,2026-03-18,18.39,24.02,42.42,-5.63,28.91,234.57
PRM,2026-03-19,10.90,18.98,29.88,-8.09,30.50,226.48
PRM,2026-03-20,33.14,10.90,44.04,22.24,38.03,248.72
PRM,2026-03-23,23.03,17.42,40.46,5.61,30.82,254.33
PRM,2026-03-24,11.96,12.75,24.71,-0.79,26.50,253.54
PRM,2026-03-25,22.54,8.34,30.87,14.20,30.75,267.74
PRM,2026-03-26,18.56,10.60,29.15,7.96,29.49,275.70
PRM,2026-03-27,20.01,4.64,24.65,15.37,24.55,291.07
PRM,2026-03-30,21.29,10.65,31.94,10.64,32.24,301.71
PRM,2026-03-31,12.87,15.59,28.46,-2.72,20.39,298.99
PRM,2026-04-01,16.82,5.75,22.57,11.08,20.35,310.07
PRM,2026-04-02,14.19,13.33,27.52,0.86,28.47,310.93
PRM,2026-04-03,13.33,7.22,20.55,6.11,29.16,317.04
PRM,2026-04-07,14.12,7.34,21.46,6.78,31.47,323.82
PRM,2026-04-08,20.86,10.08,30.94,10.77,37.07,334.59
PRM,2026-04-09,15.77,14.87,30.64,0.90,15.59,335.49
PRM,2026-04-10,224.86,26.63,251.49,198.23,15.46,533.72
PRM,2026-04-16,34.96,34.55,69.51,0.41,36.42,534.13
PRM,2026-04-17,17.08,4.69,21.77,12.40,22.35,546.53
PRM,2026-04-20,15.36,17.77,33.13,-2.42,29.90,544.11
PRM,2026-04-21,18.92,20.55,39.47,-1.63,25.48,542.48
