symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
PTG,2026-01-05,3.82,10.18,14.00,-6.36,23.70,-6.36
PTG,2026-01-06,9.72,13.67,23.39,-3.95,18.88,-10.31
PTG,2026-01-07,9.24,22.68,31.92,-13.44,22.61,-23.75
PTG,2026-01-08,0.60,21.79,22.39,-21.19,19.50,-44.94
PTG,2026-01-09,9.29,6.14,15.43,3.14,26.54,-41.80
PTG,2026-01-12,11.17,6.38,17.55,4.78,19.41,-37.02
PTG,2026-01-13,1.69,5.39,7.08,-3.70,14.63,-40.72
PTG,2026-01-14,1.73,3.18,4.90,-1.45,22.44,-42.17
PTG,2026-01-15,6.62,5.51,12.13,1.10,21.97,-41.07
PTG,2026-01-16,2.80,5.44,8.25,-2.64,21.64,-43.71
PTG,2026-01-19,3.26,4.88,8.14,-1.61,16.78,-45.32
PTG,2026-01-20,3.79,4.51,8.30,-0.72,14.99,-46.04
PTG,2026-01-21,25.13,6.58,31.71,18.55,16.46,-27.49
PTG,2026-01-22,11.18,26.41,37.59,-15.24,22.60,-42.73
PTG,2026-01-23,2.68,9.61,12.29,-6.92,20.73,-49.65
PTG,2026-01-26,4.92,7.02,11.94,-2.10,17.68,-51.75
PTG,2026-01-27,2.77,9.28,12.05,-6.52,22.35,-58.27
PTG,2026-01-28,8.27,13.04,21.30,-4.77,17.07,-63.04
PTG,2026-01-29,6.40,18.73,25.14,-12.33,17.96,-75.37
PTG,2026-01-30,8.45,5.40,13.84,3.05,24.10,-72.32
PTG,2026-02-02,14.03,7.59,21.61,6.44,23.13,-65.88
PTG,2026-02-03,14.32,6.83,21.15,7.49,17.21,-58.39
PTG,2026-02-04,2.65,3.19,5.85,-0.54,17.65,-58.93
PTG,2026-02-05,23.00,11.83,34.82,11.17,21.74,-47.76
PTG,2026-02-06,14.00,8.27,22.26,5.73,31.33,-42.03
PTG,2026-02-09,61.11,16.48,77.59,44.63,17.30,2.60
PTG,2026-02-10,16.53,16.43,32.97,0.10,24.18,2.70
PTG,2026-02-11,35.29,46.12,81.41,-10.83,22.98,-8.13
PTG,2026-02-12,92.13,28.94,121.07,63.18,20.71,55.05
PTG,2026-02-13,52.30,12.28,64.58,40.02,25.84,95.07
PTG,2026-02-16,18.29,28.52,46.81,-10.23,36.06,84.84
PTG,2026-02-17,42.25,24.18,66.42,18.07,37.99,102.91
PTG,2026-02-18,25.45,10.85,36.29,14.60,25.96,117.51
PTG,2026-02-19,33.46,48.52,81.98,-15.06,34.36,102.45
PTG,2026-02-20,29.04,33.99,63.02,-4.95,40.87,97.50
PTG,2026-02-23,57.83,36.46,94.29,21.37,36.15,118.87
PTG,2026-02-24,88.44,73.88,162.32,14.56,22.81,133.43
PTG,2026-02-25,86.09,57.73,143.82,28.36,34.24,161.79
PTG,2026-02-26,110.65,78.79,189.44,31.86,27.92,193.65
PTG,2026-02-27,77.63,22.18,99.81,55.45,30.38,249.10
PTG,2026-03-02,112.93,41.39,154.32,71.54,26.72,320.64
PTG,2026-03-04,111.18,49.57,160.75,61.61,38.49,382.25
PTG,2026-03-05,55.09,63.75,118.85,-8.66,41.11,373.59
PTG,2026-03-06,28.77,33.66,62.43,-4.89,35.39,368.70
PTG,2026-03-09,33.92,29.18,63.10,4.73,34.18,373.43
PTG,2026-03-10,18.49,50.04,68.53,-31.55,36.73,341.88
PTG,2026-03-11,8.89,23.33,32.22,-14.43,28.46,327.45
PTG,2026-03-12,16.21,25.51,41.72,-9.31,31.34,318.14
PTG,2026-03-13,8.21,36.20,44.41,-27.99,30.44,290.15
PTG,2026-03-16,16.48,17.25,33.72,-0.77,31.43,289.38
PTG,2026-03-17,29.57,21.39,50.96,8.18,19.38,297.56
PTG,2026-03-18,14.49,28.02,42.50,-13.53,18.26,284.03
PTG,2026-03-19,9.71,14.32,24.03,-4.61,16.87,279.42
PTG,2026-03-20,23.36,15.51,38.87,7.85,23.37,287.27
PTG,2026-03-23,27.65,16.79,44.43,10.86,30.99,298.13
PTG,2026-03-24,20.39,17.83,38.22,2.56,30.15,300.69
PTG,2026-03-25,17.13,22.16,39.29,-5.04,23.83,295.65
PTG,2026-03-26,74.80,80.24,155.04,-5.44,21.11,290.21
PTG,2026-03-27,36.38,69.56,105.95,-33.18,17.36,257.03
PTG,2026-03-30,42.75,19.64,62.39,23.11,22.39,280.14
PTG,2026-03-31,65.13,39.81,104.94,25.32,26.28,305.46
PTG,2026-04-01,39.51,42.16,81.66,-2.65,27.43,302.81
PTG,2026-04-02,26.20,20.61,46.81,5.59,22.06,308.40
PTG,2026-04-03,22.88,21.34,44.22,1.54,23.05,309.94
PTG,2026-04-07,65.52,20.09,85.61,45.44,32.15,355.38
PTG,2026-04-08,33.37,22.94,56.31,10.44,23.78,365.82
PTG,2026-04-09,7.80,17.10,24.90,-9.30,24.07,356.52
PTG,2026-04-10,2.41,5.19,7.59,-2.78,14.00,353.74
PTG,2026-04-16,14.56,17.72,32.28,-3.15,30.51,350.59
PTG,2026-04-17,3.65,13.08,16.73,-9.43,28.62,341.16
PTG,2026-04-20,14.96,17.17,32.13,-2.20,31.45,338.96
PTG,2026-04-21,10.63,7.67,18.30,2.95,39.90,341.91
