symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
PTTEP,2026-01-05,381.65,331.75,713.40,49.90,23.72,49.90
PTTEP,2026-01-06,245.44,169.39,414.83,76.06,29.96,125.96
PTTEP,2026-01-07,221.00,530.43,751.43,-309.43,19.11,-183.47
PTTEP,2026-01-08,374.78,398.84,773.62,-24.07,32.14,-207.54
PTTEP,2026-01-09,298.22,215.55,513.77,82.68,25.12,-124.86
PTTEP,2026-01-12,414.10,210.52,624.62,203.58,31.41,78.72
PTTEP,2026-01-13,300.64,312.14,612.78,-11.51,23.03,67.21
PTTEP,2026-01-14,760.05,476.68,1236.74,283.37,29.78,350.58
PTTEP,2026-01-15,989.00,443.52,1432.52,545.48,40.77,896.06
PTTEP,2026-01-16,441.52,330.17,771.70,111.35,39.44,1007.41
PTTEP,2026-01-19,660.45,384.70,1045.15,275.75,35.45,1283.16
PTTEP,2026-01-20,285.27,231.77,517.04,53.50,30.42,1336.66
PTTEP,2026-01-21,511.65,270.57,782.23,241.08,26.43,1577.74
PTTEP,2026-01-22,876.57,409.78,1286.34,466.79,28.90,2044.53
PTTEP,2026-01-23,578.74,357.77,936.52,220.97,34.40,2265.50
PTTEP,2026-01-26,490.67,338.79,829.47,151.88,21.22,2417.38
PTTEP,2026-01-27,521.45,384.98,906.42,136.47,30.15,2553.85
PTTEP,2026-01-28,709.42,368.44,1077.86,340.98,19.81,2894.83
PTTEP,2026-01-29,451.13,519.62,970.75,-68.49,28.84,2826.34
PTTEP,2026-01-30,268.84,260.11,528.95,8.73,18.77,2835.07
PTTEP,2026-02-02,1132.00,711.26,1843.26,420.74,36.32,3255.81
PTTEP,2026-02-03,451.15,578.74,1029.89,-127.59,35.66,3128.22
PTTEP,2026-02-04,868.60,338.05,1206.65,530.54,31.26,3658.76
PTTEP,2026-02-05,295.62,206.37,501.99,89.25,22.27,3748.01
PTTEP,2026-02-06,1249.81,314.06,1563.87,935.75,29.90,4683.76
PTTEP,2026-02-09,794.42,648.63,1443.05,145.79,26.42,4829.55
PTTEP,2026-02-10,932.30,501.01,1433.31,431.30,27.97,5260.85
PTTEP,2026-02-11,601.64,514.78,1116.41,86.86,28.54,5347.71
PTTEP,2026-02-12,2202.48,650.11,2852.59,1552.36,28.07,6900.07
PTTEP,2026-02-13,796.23,567.58,1363.80,228.65,38.46,7128.72
PTTEP,2026-02-16,447.82,395.93,843.75,51.88,24.76,7180.60
PTTEP,2026-02-17,910.62,558.09,1468.71,352.52,37.41,7533.12
PTTEP,2026-02-18,288.01,623.70,911.71,-335.69,29.12,7197.43
PTTEP,2026-02-19,1335.51,508.21,1843.72,827.30,26.28,8024.73
PTTEP,2026-02-20,843.14,910.81,1753.95,-67.68,29.31,7957.05
PTTEP,2026-02-23,938.27,847.37,1785.64,90.91,34.41,8047.96
PTTEP,2026-02-24,1028.58,652.47,1681.05,376.11,31.15,8424.07
PTTEP,2026-02-25,459.26,833.66,1292.92,-374.40,39.64,8049.67
PTTEP,2026-02-26,469.38,527.02,996.40,-57.63,34.56,7992.04
PTTEP,2026-02-27,1373.25,623.32,1996.57,749.93,41.41,8741.97
PTTEP,2026-03-02,1136.84,2183.75,3320.58,-1046.91,22.38,7695.06
PTTEP,2026-03-04,2310.15,2392.14,4702.28,-81.99,25.60,7613.07
PTTEP,2026-03-05,1881.69,1317.59,3199.28,564.10,43.25,8177.17
PTTEP,2026-03-06,1227.61,1493.86,2721.47,-266.24,37.25,7910.93
PTTEP,2026-03-09,2095.74,2823.01,4918.75,-727.27,31.06,7183.66
PTTEP,2026-03-10,1635.62,1488.50,3124.13,147.12,35.13,7330.78
PTTEP,2026-03-11,1893.46,918.95,2812.41,974.51,33.87,8305.29
PTTEP,2026-03-12,1545.29,1059.62,2604.90,485.67,38.76,8790.96
PTTEP,2026-03-13,2556.61,1109.80,3666.41,1446.81,28.31,10237.77
PTTEP,2026-03-16,639.81,1057.80,1697.61,-417.99,33.26,9819.78
PTTEP,2026-03-17,2001.95,947.17,2949.12,1054.78,29.36,10874.56
PTTEP,2026-03-18,704.54,780.11,1484.65,-75.57,36.00,10798.99
PTTEP,2026-03-19,3073.06,1391.73,4464.79,1681.32,25.73,12480.31
PTTEP,2026-03-20,1631.16,1460.82,3091.98,170.34,36.88,12650.65
PTTEP,2026-03-23,2057.43,1548.80,3606.23,508.64,36.10,13159.29
PTTEP,2026-03-24,2055.11,1715.26,3770.37,339.85,42.98,13499.14
PTTEP,2026-03-25,1016.53,592.77,1609.29,423.76,31.70,13922.90
PTTEP,2026-03-26,2606.80,1044.89,3651.68,1561.91,37.50,15484.81
PTTEP,2026-03-27,1551.09,548.23,2099.33,1002.86,31.39,16487.67
PTTEP,2026-03-30,1422.61,1342.14,2764.75,80.47,31.98,16568.14
PTTEP,2026-03-31,1609.45,1033.41,2642.86,576.04,34.05,17144.18
PTTEP,2026-04-01,1703.02,1380.63,3083.65,322.39,29.69,17466.57
PTTEP,2026-04-02,1559.89,1090.93,2650.82,468.96,35.11,17935.53
PTTEP,2026-04-03,169.83,657.55,827.38,-487.72,25.10,17447.81
PTTEP,2026-04-07,1163.93,581.37,1745.30,582.56,32.40,18030.37
PTTEP,2026-04-08,2184.88,1675.26,3860.14,509.62,32.46,18539.99
PTTEP,2026-04-09,2981.92,1882.80,4864.71,1099.12,39.67,19639.11
PTTEP,2026-04-10,944.09,388.19,1332.28,555.90,35.59,20195.01
PTTEP,2026-04-16,2395.78,1526.19,3921.96,869.59,32.73,21064.60
PTTEP,2026-04-17,2037.51,772.08,2809.59,1265.43,38.75,22330.03
PTTEP,2026-04-20,1587.51,1090.67,2678.18,496.84,32.47,22826.87
PTTEP,2026-04-21,750.69,533.08,1283.77,217.61,38.65,23044.48
