symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
PTTGC,2026-01-05,121.26,98.61,219.87,22.65,24.82,22.65
PTTGC,2026-01-06,62.62,101.28,163.90,-38.66,33.58,-16.01
PTTGC,2026-01-07,529.88,144.17,674.04,385.71,26.29,369.70
PTTGC,2026-01-08,96.80,104.48,201.28,-7.69,28.31,362.01
PTTGC,2026-01-09,87.83,99.21,187.04,-11.38,32.96,350.63
PTTGC,2026-01-12,144.49,161.61,306.09,-17.12,34.66,333.51
PTTGC,2026-01-13,117.46,129.09,246.54,-11.63,37.78,321.88
PTTGC,2026-01-14,179.04,87.48,266.51,91.56,24.31,413.44
PTTGC,2026-01-15,233.14,200.43,433.57,32.71,25.97,446.15
PTTGC,2026-01-16,157.04,164.01,321.05,-6.98,33.57,439.17
PTTGC,2026-01-19,113.50,179.18,292.68,-65.68,25.76,373.49
PTTGC,2026-01-20,172.01,187.11,359.12,-15.10,24.79,358.39
PTTGC,2026-01-21,271.35,176.01,447.35,95.34,19.15,453.73
PTTGC,2026-01-22,261.07,160.35,421.42,100.73,28.69,554.46
PTTGC,2026-01-23,171.56,210.14,381.70,-38.58,27.50,515.88
PTTGC,2026-01-26,211.39,136.31,347.70,75.08,31.82,590.96
PTTGC,2026-01-27,228.13,185.64,413.77,42.49,25.35,633.45
PTTGC,2026-01-28,156.96,112.17,269.13,44.80,26.55,678.25
PTTGC,2026-01-29,163.86,77.79,241.65,86.07,21.67,764.32
PTTGC,2026-01-30,253.50,231.50,484.99,22.00,34.18,786.32
PTTGC,2026-02-02,179.08,136.57,315.64,42.51,32.17,828.83
PTTGC,2026-02-03,312.18,323.69,635.87,-11.51,27.30,817.32
PTTGC,2026-02-04,356.43,128.72,485.14,227.71,34.14,1045.03
PTTGC,2026-02-05,108.01,132.32,240.34,-24.31,38.33,1020.72
PTTGC,2026-02-06,90.64,87.86,178.50,2.78,36.13,1023.50
PTTGC,2026-02-09,208.75,161.38,370.13,47.37,28.80,1070.87
PTTGC,2026-02-10,146.19,109.72,255.90,36.47,18.95,1107.34
PTTGC,2026-02-11,163.66,125.15,288.81,38.51,33.88,1145.85
PTTGC,2026-02-12,239.68,85.09,324.77,154.59,26.65,1300.44
PTTGC,2026-02-13,110.74,197.75,308.50,-87.01,33.46,1213.43
PTTGC,2026-02-16,164.68,276.41,441.09,-111.74,38.01,1101.69
PTTGC,2026-02-17,138.30,230.70,368.99,-92.40,22.11,1009.29
PTTGC,2026-02-18,65.61,167.64,233.25,-102.02,29.76,907.27
PTTGC,2026-02-19,144.31,162.88,307.19,-18.57,33.93,888.70
PTTGC,2026-02-20,101.00,210.70,311.70,-109.70,29.95,779.00
PTTGC,2026-02-23,167.92,137.01,304.93,30.91,31.56,809.91
PTTGC,2026-02-24,245.04,194.74,439.78,50.29,40.01,860.20
PTTGC,2026-02-25,483.91,425.94,909.85,57.96,31.31,918.16
PTTGC,2026-02-26,73.88,184.05,257.92,-110.17,34.67,807.99
PTTGC,2026-02-27,126.04,170.68,296.72,-44.64,27.55,763.35
PTTGC,2026-03-02,319.08,232.48,551.56,86.60,26.86,849.95
PTTGC,2026-03-04,271.77,443.36,715.13,-171.60,30.37,678.35
PTTGC,2026-03-05,266.41,380.13,646.55,-113.72,33.01,564.63
PTTGC,2026-03-06,464.23,274.31,738.55,189.92,38.71,754.55
PTTGC,2026-03-09,203.81,387.90,591.71,-184.09,29.46,570.46
PTTGC,2026-03-10,136.10,257.32,393.42,-121.22,27.97,449.24
PTTGC,2026-03-11,194.81,228.38,423.19,-33.57,26.03,415.67
PTTGC,2026-03-12,635.13,574.47,1209.59,60.66,32.92,476.33
PTTGC,2026-03-13,145.59,312.89,458.49,-167.30,32.06,309.03
PTTGC,2026-03-16,334.36,285.36,619.71,49.00,35.42,358.03
PTTGC,2026-03-17,471.53,315.96,787.48,155.57,20.31,513.60
PTTGC,2026-03-18,358.73,341.69,700.42,17.04,20.76,530.64
PTTGC,2026-03-19,544.82,594.41,1139.23,-49.58,31.46,481.06
PTTGC,2026-03-20,499.51,383.03,882.54,116.48,34.96,597.54
PTTGC,2026-03-23,385.21,439.31,824.52,-54.11,27.51,543.43
PTTGC,2026-03-24,311.75,294.42,606.17,17.33,27.56,560.76
PTTGC,2026-03-25,901.59,477.73,1379.33,423.86,37.36,984.62
PTTGC,2026-03-26,391.09,352.54,743.63,38.55,23.64,1023.17
PTTGC,2026-03-27,413.87,261.86,675.74,152.01,29.07,1175.18
PTTGC,2026-03-30,506.52,540.65,1047.18,-34.13,31.68,1141.05
PTTGC,2026-03-31,588.70,369.62,958.32,219.08,30.89,1360.13
PTTGC,2026-04-01,963.24,458.82,1422.07,504.42,31.57,1864.55
PTTGC,2026-04-02,306.36,351.06,657.41,-44.70,33.47,1819.85
PTTGC,2026-04-03,275.91,286.92,562.84,-11.01,27.18,1808.84
PTTGC,2026-04-07,819.74,571.20,1390.93,248.54,30.22,2057.38
PTTGC,2026-04-08,697.47,601.85,1299.32,95.62,27.60,2153.00
PTTGC,2026-04-09,458.81,246.32,705.13,212.49,33.36,2365.49
PTTGC,2026-04-10,204.71,374.44,579.15,-169.72,32.73,2195.77
PTTGC,2026-04-16,428.79,350.88,779.67,77.91,29.00,2273.68
PTTGC,2026-04-17,202.59,404.75,607.34,-202.15,32.15,2071.53
PTTGC,2026-04-20,259.88,341.50,601.38,-81.62,29.70,1989.91
PTTGC,2026-04-21,549.02,364.83,913.85,184.20,31.46,2174.11
