symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
PTT,2026-01-05,528.18,482.36,1010.54,45.82,44.48,45.82
PTT,2026-01-06,478.41,451.84,930.25,26.57,35.18,72.39
PTT,2026-01-07,317.42,181.60,499.02,135.82,37.15,208.21
PTT,2026-01-08,236.93,162.56,399.49,74.37,23.58,282.58
PTT,2026-01-09,456.17,241.94,698.10,214.23,44.22,496.81
PTT,2026-01-12,307.36,88.05,395.41,219.31,35.66,716.12
PTT,2026-01-13,614.33,328.39,942.72,285.94,41.06,1002.06
PTT,2026-01-14,1520.81,658.28,2179.09,862.52,32.88,1864.58
PTT,2026-01-15,1014.23,804.79,1819.02,209.44,35.02,2074.02
PTT,2026-01-16,1048.87,553.13,1602.00,495.74,31.64,2569.76
PTT,2026-01-19,440.46,377.19,817.65,63.27,33.98,2633.03
PTT,2026-01-20,1557.94,1307.90,2865.84,250.04,36.20,2883.07
PTT,2026-01-21,1314.12,910.11,2224.23,404.00,31.53,3287.07
PTT,2026-01-22,1245.97,802.84,2048.81,443.13,37.82,3730.20
PTT,2026-01-23,668.26,229.81,898.07,438.46,34.11,4168.66
PTT,2026-01-26,553.34,143.88,697.22,409.46,37.71,4578.12
PTT,2026-01-27,2135.15,925.49,3060.64,1209.65,36.85,5787.77
PTT,2026-01-28,1320.42,877.83,2198.25,442.58,27.03,6230.35
PTT,2026-01-29,1538.61,1749.10,3287.70,-210.49,38.74,6019.86
PTT,2026-01-30,1392.09,973.65,2365.75,418.44,49.26,6438.30
PTT,2026-02-02,909.92,521.30,1431.23,388.62,38.10,6826.92
PTT,2026-02-03,1164.06,784.46,1948.52,379.60,34.61,7206.52
PTT,2026-02-04,887.57,357.25,1244.82,530.32,33.66,7736.84
PTT,2026-02-05,2857.16,1255.53,4112.69,1601.62,32.97,9338.46
PTT,2026-02-06,820.18,694.33,1514.51,125.86,36.58,9464.32
PTT,2026-02-09,2162.61,1462.67,3625.28,699.93,38.35,10164.25
PTT,2026-02-10,825.76,562.28,1388.03,263.48,36.38,10427.73
PTT,2026-02-11,876.98,610.77,1487.75,266.21,35.83,10693.94
PTT,2026-02-12,2547.89,1139.58,3687.47,1408.31,32.58,12102.25
PTT,2026-02-13,936.78,808.93,1745.71,127.84,27.27,12230.09
PTT,2026-02-16,904.46,424.43,1328.89,480.04,34.65,12710.13
PTT,2026-02-17,684.09,489.97,1174.07,194.12,23.60,12904.25
PTT,2026-02-18,1007.57,808.13,1815.70,199.45,32.43,13103.70
PTT,2026-02-19,3611.83,2314.22,5926.05,1297.61,29.21,14401.31
PTT,2026-02-20,2016.17,1933.20,3949.36,82.97,29.21,14484.28
PTT,2026-02-23,1571.65,2060.03,3631.68,-488.38,37.92,13995.90
PTT,2026-02-24,2448.32,2059.92,4508.24,388.41,42.97,14384.31
PTT,2026-02-25,2550.88,1918.67,4469.56,632.21,40.29,15016.52
PTT,2026-02-26,1689.88,2528.99,4218.88,-839.11,36.81,14177.41
PTT,2026-02-27,3233.96,3253.69,6487.65,-19.73,40.98,14157.68
PTT,2026-03-02,1342.65,2365.13,3707.78,-1022.48,31.48,13135.20
PTT,2026-03-04,3899.06,3972.03,7871.09,-72.97,38.26,13062.23
PTT,2026-03-05,2866.93,2849.50,5716.43,17.43,46.47,13079.66
PTT,2026-03-06,1334.78,1048.67,2383.45,286.12,44.03,13365.78
PTT,2026-03-09,1597.56,1625.07,3222.64,-27.51,38.79,13338.27
PTT,2026-03-10,1182.22,1665.63,2847.85,-483.41,47.28,12854.86
PTT,2026-03-11,1546.08,1514.58,3060.66,31.50,48.40,12886.36
PTT,2026-03-12,2626.96,2746.16,5373.11,-119.20,44.88,12767.16
PTT,2026-03-13,1544.19,1862.71,3406.89,-318.52,40.88,12448.64
PTT,2026-03-16,1226.61,1722.30,2948.91,-495.69,46.65,11952.95
PTT,2026-03-17,1474.33,1071.50,2545.83,402.83,35.10,12355.78
PTT,2026-03-18,845.87,736.44,1582.31,109.43,51.05,12465.21
PTT,2026-03-19,1829.93,1612.94,3442.87,216.99,39.92,12682.20
PTT,2026-03-20,1437.57,1741.59,3179.16,-304.03,43.47,12378.17
PTT,2026-03-23,1102.75,1113.30,2216.05,-10.55,46.81,12367.62
PTT,2026-03-24,884.56,921.82,1806.38,-37.27,53.57,12330.35
PTT,2026-03-25,1792.61,1752.70,3545.30,39.91,49.86,12370.26
PTT,2026-03-26,2435.08,1906.52,4341.59,528.56,46.88,12898.82
PTT,2026-03-27,1606.64,1284.90,2891.54,321.74,45.19,13220.56
PTT,2026-03-30,1066.54,1097.74,2164.28,-31.20,40.00,13189.36
PTT,2026-03-31,1511.03,1670.47,3181.50,-159.44,42.53,13029.92
PTT,2026-04-01,1985.97,1717.04,3703.01,268.92,42.44,13298.84
PTT,2026-04-02,1848.21,1179.70,3027.90,668.51,48.94,13967.35
PTT,2026-04-03,1335.37,1482.22,2817.59,-146.85,41.84,13820.50
PTT,2026-04-07,1639.09,1250.96,2890.05,388.13,45.97,14208.63
PTT,2026-04-08,1274.46,1171.60,2446.06,102.86,47.92,14311.49
PTT,2026-04-09,1167.85,1107.93,2275.78,59.92,41.46,14371.41
PTT,2026-04-10,797.78,1102.98,1900.76,-305.20,55.72,14066.21
PTT,2026-04-16,1064.44,1421.72,2486.15,-357.28,53.08,13708.93
PTT,2026-04-17,806.87,601.38,1408.26,205.49,45.72,13914.42
PTT,2026-04-20,1266.84,984.74,2251.58,282.10,50.73,14196.52
PTT,2026-04-21,653.93,848.49,1502.43,-194.56,50.52,14001.96
