symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
QH,2026-01-05,14.92,3.76,18.68,11.17,16.90,11.17
QH,2026-01-06,4.61,2.74,7.35,1.87,14.43,13.04
QH,2026-01-07,1.76,2.41,4.17,-0.65,23.47,12.39
QH,2026-01-08,0.57,0.93,1.49,-0.36,5.12,12.03
QH,2026-01-09,3.10,6.12,9.22,-3.02,24.23,9.01
QH,2026-01-12,1.90,12.42,14.32,-10.52,19.80,-1.51
QH,2026-01-13,1.31,12.29,13.60,-10.98,23.01,-12.49
QH,2026-01-14,3.32,8.65,11.97,-5.34,18.74,-17.83
QH,2026-01-15,2.43,4.14,6.56,-1.71,27.65,-19.54
QH,2026-01-16,1.60,2.24,3.83,-0.64,16.31,-20.18
QH,2026-01-19,3.26,2.27,5.53,0.98,16.62,-19.20
QH,2026-01-20,7.98,5.90,13.87,2.08,23.48,-17.12
QH,2026-01-21,4.06,3.51,7.58,0.55,20.20,-16.57
QH,2026-01-22,3.83,6.38,10.21,-2.55,25.14,-19.12
QH,2026-01-23,1.69,4.46,6.15,-2.77,16.68,-21.89
QH,2026-01-26,1.87,6.38,8.25,-4.51,27.81,-26.40
QH,2026-01-27,2.30,1.07,3.37,1.23,14.20,-25.17
QH,2026-01-28,1.80,2.81,4.61,-1.01,14.01,-26.18
QH,2026-01-29,8.40,10.63,19.03,-2.23,33.71,-28.41
QH,2026-01-30,0.67,1.40,2.07,-0.72,15.87,-29.13
QH,2026-02-02,1.19,8.85,10.05,-7.66,24.41,-36.79
QH,2026-02-03,3.58,3.97,7.55,-0.39,16.00,-37.18
QH,2026-02-04,0.51,2.67,3.18,-2.16,11.12,-39.34
QH,2026-02-05,3.15,1.95,5.10,1.20,10.93,-38.14
QH,2026-02-06,0.40,3.04,3.43,-2.64,20.23,-40.78
QH,2026-02-09,15.44,2.94,18.38,12.49,16.99,-28.29
QH,2026-02-10,9.21,6.22,15.44,2.99,16.41,-25.30
QH,2026-02-11,2.55,6.06,8.61,-3.51,8.04,-28.81
QH,2026-02-12,5.32,11.29,16.61,-5.98,15.04,-34.79
QH,2026-02-13,29.56,8.76,38.32,20.80,34.53,-13.99
QH,2026-02-16,5.69,3.57,9.26,2.13,16.75,-11.86
QH,2026-02-17,6.20,4.57,10.77,1.63,18.34,-10.23
QH,2026-02-18,11.49,9.14,20.62,2.35,20.52,-7.88
QH,2026-02-19,22.57,11.82,34.39,10.76,19.25,2.88
QH,2026-02-20,7.11,12.55,19.67,-5.44,25.04,-2.56
QH,2026-02-23,14.52,18.23,32.75,-3.71,30.44,-6.27
QH,2026-02-24,7.78,3.59,11.37,4.19,22.80,-2.08
QH,2026-02-25,29.86,10.09,39.95,19.77,24.86,17.69
QH,2026-02-26,12.41,7.54,19.95,4.86,22.36,22.55
QH,2026-02-27,12.24,9.78,22.02,2.46,21.05,25.01
QH,2026-03-02,19.97,11.43,31.39,8.54,20.30,33.55
QH,2026-03-04,14.89,17.08,31.97,-2.19,17.34,31.36
QH,2026-03-05,5.17,9.88,15.05,-4.71,21.41,26.65
QH,2026-03-06,1.74,5.82,7.57,-4.08,22.02,22.57
QH,2026-03-09,7.31,5.23,12.54,2.08,22.82,24.65
QH,2026-03-10,2.91,7.28,10.19,-4.36,17.54,20.29
QH,2026-03-11,3.52,3.24,6.76,0.27,19.54,20.56
QH,2026-03-12,2.12,5.58,7.70,-3.46,22.46,17.10
QH,2026-03-13,0.93,3.17,4.10,-2.25,20.95,14.85
QH,2026-03-16,0.92,2.72,3.64,-1.80,14.83,13.05
QH,2026-03-17,2.44,5.84,8.28,-3.39,30.52,9.66
QH,2026-03-18,2.70,5.14,7.85,-2.44,22.70,7.22
QH,2026-03-19,0.69,5.90,6.59,-5.21,23.82,2.01
QH,2026-03-20,4.67,4.10,8.77,0.57,26.61,2.58
QH,2026-03-23,2.14,7.12,9.27,-4.98,19.75,-2.40
QH,2026-03-24,0.76,9.74,10.49,-8.98,32.30,-11.38
QH,2026-03-25,4.48,5.28,9.77,-0.80,21.49,-12.18
QH,2026-03-26,0.51,2.55,3.06,-2.04,20.68,-14.22
QH,2026-03-27,2.57,2.34,4.91,0.23,28.79,-13.99
QH,2026-03-30,1.72,2.07,3.79,-0.35,11.98,-14.34
QH,2026-03-31,3.64,5.68,9.32,-2.05,16.61,-16.39
QH,2026-04-01,5.51,2.05,7.55,3.46,15.07,-12.93
QH,2026-04-02,3.92,4.39,8.32,-0.47,19.33,-13.40
QH,2026-04-03,3.58,4.47,8.05,-0.89,20.90,-14.29
QH,2026-04-07,1.95,4.46,6.41,-2.51,18.76,-16.80
QH,2026-04-08,6.12,4.33,10.46,1.79,20.35,-15.01
QH,2026-04-09,1.34,5.43,6.77,-4.09,30.02,-19.10
QH,2026-04-10,1.22,3.03,4.24,-1.81,20.94,-20.91
QH,2026-04-16,3.20,3.02,6.21,0.18,16.01,-20.73
QH,2026-04-17,1.44,9.60,11.05,-8.16,27.41,-28.89
QH,2026-04-20,5.15,10.38,15.53,-5.23,34.18,-34.12
QH,2026-04-21,5.54,3.38,8.92,2.15,27.86,-31.97
