symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
RATCH,2026-01-05,16.72,8.39,25.11,8.33,16.21,8.33
RATCH,2026-01-06,4.09,1.19,5.28,2.90,13.22,11.23
RATCH,2026-01-07,3.85,0.60,4.45,3.25,9.80,14.48
RATCH,2026-01-08,19.95,14.14,34.09,5.81,22.61,20.29
RATCH,2026-01-09,2.99,4.11,7.10,-1.13,17.28,19.16
RATCH,2026-01-12,1.26,1.64,2.90,-0.38,8.95,18.78
RATCH,2026-01-13,11.81,2.86,14.66,8.95,16.13,27.73
RATCH,2026-01-14,10.66,15.91,26.58,-5.25,17.38,22.48
RATCH,2026-01-15,29.66,6.24,35.90,23.42,33.95,45.90
RATCH,2026-01-16,34.92,8.23,43.15,26.68,26.52,72.58
RATCH,2026-01-19,41.32,15.39,56.71,25.93,38.86,98.51
RATCH,2026-01-20,43.57,16.74,60.31,26.83,22.60,125.34
RATCH,2026-01-21,37.46,24.88,62.34,12.58,37.06,137.92
RATCH,2026-01-22,41.94,16.06,58.00,25.88,32.41,163.80
RATCH,2026-01-23,24.64,7.70,32.34,16.95,27.01,180.75
RATCH,2026-01-26,25.79,8.77,34.56,17.02,29.69,197.77
RATCH,2026-01-27,48.92,9.69,58.60,39.23,32.99,237.00
RATCH,2026-01-28,27.67,12.59,40.26,15.08,23.30,252.08
RATCH,2026-01-29,17.95,19.51,37.46,-1.57,28.35,250.51
RATCH,2026-01-30,60.79,30.39,91.18,30.41,58.26,280.92
RATCH,2026-02-02,14.44,12.80,27.24,1.64,25.10,282.56
RATCH,2026-02-03,18.17,12.71,30.88,5.46,21.99,288.02
RATCH,2026-02-04,12.31,3.17,15.48,9.14,15.78,297.16
RATCH,2026-02-05,28.66,12.50,41.16,16.17,34.39,313.33
RATCH,2026-02-06,36.40,12.20,48.60,24.20,25.35,337.53
RATCH,2026-02-09,80.89,2.62,83.51,78.27,30.08,415.80
RATCH,2026-02-10,95.03,26.97,122.01,68.06,31.02,483.86
RATCH,2026-02-11,12.79,17.50,30.29,-4.71,22.35,479.15
RATCH,2026-02-12,48.05,28.74,76.79,19.31,29.83,498.46
RATCH,2026-02-13,53.52,37.91,91.43,15.61,27.91,514.07
RATCH,2026-02-16,11.29,4.85,16.14,6.44,27.94,520.51
RATCH,2026-02-17,49.12,25.59,74.71,23.52,26.75,544.03
RATCH,2026-02-18,46.18,28.34,74.52,17.84,40.42,561.87
RATCH,2026-02-19,50.48,41.89,92.37,8.59,26.73,570.46
RATCH,2026-02-20,34.84,29.81,64.65,5.03,29.76,575.49
RATCH,2026-02-23,18.51,28.60,47.11,-10.08,26.31,565.41
RATCH,2026-02-24,96.24,31.95,128.19,64.29,39.83,629.70
RATCH,2026-02-25,15.24,30.52,45.77,-15.28,31.84,614.42
RATCH,2026-02-26,29.26,13.67,42.93,15.58,32.76,630.00
RATCH,2026-02-27,39.43,74.26,113.69,-34.83,26.78,595.17
RATCH,2026-03-02,83.94,69.46,153.40,14.48,33.19,609.65
RATCH,2026-03-04,72.38,124.02,196.41,-51.64,31.49,558.01
RATCH,2026-03-05,93.29,99.53,192.83,-6.24,44.14,551.77
RATCH,2026-03-06,13.45,36.29,49.73,-22.84,40.25,528.93
RATCH,2026-03-09,79.77,83.58,163.35,-3.82,41.23,525.11
RATCH,2026-03-10,50.49,68.11,118.61,-17.62,44.12,507.49
RATCH,2026-03-11,32.51,34.30,66.81,-1.80,30.53,505.69
RATCH,2026-03-12,77.05,46.53,123.57,30.52,55.19,536.21
RATCH,2026-03-13,24.33,55.53,79.86,-31.20,38.77,505.01
RATCH,2026-03-16,22.03,17.04,39.06,4.99,23.98,510.00
RATCH,2026-03-17,51.13,36.29,87.43,14.84,40.33,524.84
RATCH,2026-03-18,19.07,29.31,48.38,-10.24,35.10,514.60
RATCH,2026-03-19,22.58,48.22,70.80,-25.64,37.93,488.96
RATCH,2026-03-20,53.93,46.71,100.64,7.22,37.11,496.18
RATCH,2026-03-23,12.87,40.88,53.75,-28.01,35.89,468.17
RATCH,2026-03-24,16.74,12.03,28.77,4.71,30.97,472.88
RATCH,2026-03-25,62.65,15.45,78.10,47.20,32.27,520.08
RATCH,2026-03-26,44.43,30.50,74.93,13.94,36.31,534.02
RATCH,2026-03-27,54.45,41.55,96.00,12.89,40.85,546.91
RATCH,2026-03-30,36.40,29.61,66.01,6.79,31.05,553.70
RATCH,2026-03-31,40.30,25.99,66.28,14.31,32.33,568.01
RATCH,2026-04-01,59.23,42.93,102.16,16.30,33.08,584.31
RATCH,2026-04-02,7.14,3.89,11.03,3.24,29.86,587.55
RATCH,2026-04-03,19.09,26.71,45.80,-7.62,29.47,579.93
RATCH,2026-04-07,51.41,37.25,88.66,14.16,32.59,594.09
RATCH,2026-04-08,21.56,7.19,28.76,14.37,35.50,608.46
RATCH,2026-04-09,16.21,28.91,45.12,-12.70,52.10,595.76
RATCH,2026-04-10,34.30,28.26,62.56,6.04,36.69,601.80
RATCH,2026-04-16,61.04,55.95,117.00,5.09,41.15,606.89
RATCH,2026-04-17,27.10,32.44,59.54,-5.35,42.85,601.54
RATCH,2026-04-20,21.04,24.54,45.58,-3.50,34.33,598.04
RATCH,2026-04-21,16.49,14.16,30.64,2.33,21.00,600.37
