symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
RCL,2026-01-05,30.92,3.37,34.29,27.55,25.75,27.55
RCL,2026-01-06,2.02,6.01,8.03,-4.00,14.00,23.55
RCL,2026-01-07,4.82,6.57,11.39,-1.75,23.66,21.80
RCL,2026-01-08,5.17,15.36,20.52,-10.19,28.17,11.61
RCL,2026-01-09,30.18,8.37,38.55,21.81,24.52,33.42
RCL,2026-01-12,8.13,17.59,25.73,-9.46,28.96,23.96
RCL,2026-01-13,7.80,29.75,37.54,-21.95,33.19,2.01
RCL,2026-01-14,8.51,10.88,19.39,-2.37,27.32,-0.36
RCL,2026-01-15,10.77,10.76,21.53,0.01,22.29,-0.35
RCL,2026-01-16,15.47,3.05,18.51,12.42,36.72,12.07
RCL,2026-01-19,2.95,5.41,8.36,-2.45,14.54,9.62
RCL,2026-01-20,16.00,0.71,16.71,15.30,12.64,24.92
RCL,2026-01-21,27.44,7.77,35.21,19.67,35.94,44.59
RCL,2026-01-22,41.70,33.43,75.13,8.28,29.83,52.87
RCL,2026-01-23,7.22,13.33,20.54,-6.11,27.48,46.76
RCL,2026-01-26,0.84,2.44,3.28,-1.60,11.76,45.16
RCL,2026-01-27,1.64,5.63,7.28,-3.99,20.11,41.17
RCL,2026-01-28,7.19,19.48,26.66,-12.29,35.94,28.88
RCL,2026-01-29,5.83,13.87,19.70,-8.04,30.21,20.84
RCL,2026-01-30,6.22,15.89,22.11,-9.66,17.88,11.18
RCL,2026-02-02,10.71,11.07,21.79,-0.36,19.64,10.82
RCL,2026-02-03,8.48,14.95,23.43,-6.47,13.20,4.35
RCL,2026-02-04,4.20,10.94,15.14,-6.74,22.32,-2.39
RCL,2026-02-05,6.39,19.53,25.91,-13.14,29.83,-15.53
RCL,2026-02-06,10.90,19.85,30.75,-8.95,42.95,-24.48
RCL,2026-02-09,43.35,9.06,52.41,34.28,33.45,9.80
RCL,2026-02-10,22.69,17.40,40.09,5.29,36.01,15.09
RCL,2026-02-11,29.45,14.63,44.07,14.82,31.14,29.91
RCL,2026-02-12,48.69,25.38,74.06,23.31,31.90,53.22
RCL,2026-02-13,12.09,13.24,25.33,-1.14,24.45,52.08
RCL,2026-02-16,12.09,7.84,19.93,4.25,18.72,56.33
RCL,2026-02-17,26.19,5.53,31.72,20.66,22.88,76.99
RCL,2026-02-18,26.38,12.60,38.99,13.78,24.20,90.77
RCL,2026-02-19,60.45,42.00,102.45,18.45,24.56,109.22
RCL,2026-02-20,72.47,55.68,128.15,16.79,21.65,126.01
RCL,2026-02-23,72.58,23.46,96.04,49.12,27.24,175.13
RCL,2026-02-24,31.32,7.25,38.57,24.07,18.90,199.20
RCL,2026-02-25,27.59,21.84,49.43,5.74,21.48,204.94
RCL,2026-02-26,24.74,30.88,55.63,-6.14,28.01,198.80
RCL,2026-02-27,11.79,10.26,22.06,1.53,23.19,200.33
RCL,2026-03-02,104.57,111.37,215.94,-6.80,17.81,193.53
RCL,2026-03-04,109.98,122.69,232.66,-12.71,20.18,180.82
RCL,2026-03-05,74.14,23.75,97.89,50.39,30.06,231.21
RCL,2026-03-06,10.91,31.52,42.43,-20.62,23.53,210.59
RCL,2026-03-09,93.91,77.17,171.08,16.74,35.19,227.33
RCL,2026-03-10,29.89,63.04,92.92,-33.15,28.50,194.18
RCL,2026-03-11,72.26,31.25,103.51,41.01,32.81,235.19
RCL,2026-03-12,20.44,25.47,45.91,-5.03,29.54,230.16
RCL,2026-03-13,9.17,25.33,34.50,-16.16,20.37,214.00
RCL,2026-03-16,26.22,19.43,45.66,6.79,25.16,220.79
RCL,2026-03-17,116.03,20.35,136.38,95.68,28.72,316.47
RCL,2026-03-18,204.27,34.41,238.67,169.86,23.89,486.33
RCL,2026-03-19,51.44,157.52,208.96,-106.07,24.52,380.26
RCL,2026-03-20,23.71,42.17,65.88,-18.46,24.67,361.80
RCL,2026-03-23,18.45,37.27,55.72,-18.83,23.91,342.97
RCL,2026-03-24,29.42,29.97,59.39,-0.54,32.95,342.43
RCL,2026-03-25,37.77,11.25,49.02,26.52,25.15,368.95
RCL,2026-03-26,38.30,24.14,62.45,14.16,42.66,383.11
RCL,2026-03-27,37.34,18.45,55.79,18.89,28.89,402.00
RCL,2026-03-30,12.31,30.65,42.96,-18.34,22.62,383.66
RCL,2026-03-31,8.41,11.11,19.53,-2.70,21.61,380.96
RCL,2026-04-01,34.18,26.55,60.72,7.63,25.00,388.59
RCL,2026-04-02,24.94,21.22,46.16,3.71,27.58,392.30
RCL,2026-04-03,5.75,16.67,22.42,-10.91,32.66,381.39
RCL,2026-04-07,13.04,14.59,27.63,-1.55,25.12,379.84
RCL,2026-04-08,19.17,27.74,46.91,-8.57,29.45,371.27
RCL,2026-04-09,95.84,49.40,145.25,46.44,32.13,417.71
RCL,2026-04-10,18.51,57.23,75.74,-38.72,29.78,378.99
RCL,2026-04-16,39.90,28.20,68.10,11.71,31.56,390.70
RCL,2026-04-17,19.71,26.83,46.53,-7.12,24.03,383.58
RCL,2026-04-20,6.55,31.09,37.64,-24.55,28.05,359.03
RCL,2026-04-21,6.02,11.26,17.28,-5.24,17.49,353.79
