symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SAWAD,2026-01-05,139.54,132.92,272.46,6.61,27.31,6.61
SAWAD,2026-01-06,131.10,143.72,274.82,-12.62,35.65,-6.01
SAWAD,2026-01-07,116.25,111.79,228.04,4.46,32.40,-1.55
SAWAD,2026-01-08,134.07,234.39,368.46,-100.32,29.94,-101.87
SAWAD,2026-01-09,194.46,101.52,295.99,92.94,32.80,-8.93
SAWAD,2026-01-12,56.99,51.58,108.57,5.41,42.39,-3.52
SAWAD,2026-01-13,294.22,148.09,442.31,146.14,37.43,142.62
SAWAD,2026-01-14,189.54,137.41,326.96,52.13,39.98,194.75
SAWAD,2026-01-15,105.84,149.44,255.28,-43.60,28.84,151.15
SAWAD,2026-01-16,57.48,156.58,214.06,-99.10,44.05,52.05
SAWAD,2026-01-19,75.22,127.87,203.09,-52.64,31.23,-0.59
SAWAD,2026-01-20,139.63,179.03,318.66,-39.39,28.78,-39.98
SAWAD,2026-01-21,109.22,151.20,260.42,-41.98,31.23,-81.96
SAWAD,2026-01-22,92.35,151.53,243.87,-59.18,29.95,-141.14
SAWAD,2026-01-23,67.22,105.48,172.71,-38.26,26.38,-179.40
SAWAD,2026-01-26,117.93,74.49,192.42,43.44,25.67,-135.96
SAWAD,2026-01-27,51.11,88.74,139.85,-37.63,20.56,-173.59
SAWAD,2026-01-28,38.59,72.51,111.09,-33.92,27.95,-207.51
SAWAD,2026-01-29,50.03,41.02,91.05,9.01,42.60,-198.50
SAWAD,2026-01-30,109.25,27.18,136.43,82.08,31.56,-116.42
SAWAD,2026-02-02,150.96,88.39,239.35,62.57,32.19,-53.85
SAWAD,2026-02-03,100.80,58.98,159.78,41.82,28.15,-12.03
SAWAD,2026-02-04,71.28,72.17,143.45,-0.89,22.68,-12.92
SAWAD,2026-02-05,109.52,75.60,185.13,33.92,22.66,21.00
SAWAD,2026-02-06,22.39,84.83,107.22,-62.43,28.11,-41.43
SAWAD,2026-02-09,200.77,99.16,299.93,101.62,25.60,60.19
SAWAD,2026-02-10,68.38,157.08,225.46,-88.70,31.78,-28.51
SAWAD,2026-02-11,52.22,123.92,176.14,-71.71,35.97,-100.22
SAWAD,2026-02-12,53.75,62.70,116.45,-8.94,22.76,-109.16
SAWAD,2026-02-13,53.00,72.76,125.76,-19.76,26.96,-128.92
SAWAD,2026-02-16,39.96,70.95,110.91,-30.98,26.22,-159.90
SAWAD,2026-02-17,42.14,51.99,94.13,-9.84,26.73,-169.74
SAWAD,2026-02-18,167.22,123.99,291.21,43.23,27.41,-126.51
SAWAD,2026-02-19,92.79,194.47,287.25,-101.68,31.77,-228.19
SAWAD,2026-02-20,69.83,106.14,175.97,-36.31,30.81,-264.50
SAWAD,2026-02-23,123.13,101.24,224.37,21.90,40.54,-242.60
SAWAD,2026-02-24,119.54,64.58,184.13,54.96,28.43,-187.64
SAWAD,2026-02-25,138.22,196.95,335.17,-58.73,17.96,-246.37
SAWAD,2026-02-26,58.13,65.06,123.19,-6.93,17.91,-253.30
SAWAD,2026-02-27,50.17,58.99,109.16,-8.83,20.95,-262.13
SAWAD,2026-03-02,93.89,118.35,212.24,-24.45,25.29,-286.58
SAWAD,2026-03-04,205.58,183.82,389.40,21.76,25.12,-264.82
SAWAD,2026-03-05,118.14,126.89,245.04,-8.75,23.87,-273.57
SAWAD,2026-03-06,65.44,75.57,141.01,-10.12,29.50,-283.69
SAWAD,2026-03-09,194.62,160.03,354.65,34.58,35.21,-249.11
SAWAD,2026-03-10,150.43,181.01,331.44,-30.57,35.90,-279.68
SAWAD,2026-03-11,115.38,127.02,242.40,-11.63,30.58,-291.31
SAWAD,2026-03-12,112.61,93.07,205.68,19.55,41.14,-271.76
SAWAD,2026-03-13,58.22,128.39,186.60,-70.17,34.13,-341.93
SAWAD,2026-03-16,45.97,55.96,101.93,-10.00,26.65,-351.93
SAWAD,2026-03-17,38.36,70.15,108.51,-31.78,21.21,-383.71
SAWAD,2026-03-18,78.74,57.84,136.58,20.90,21.40,-362.81
SAWAD,2026-03-19,79.89,61.82,141.71,18.07,18.74,-344.74
SAWAD,2026-03-20,92.60,68.69,161.29,23.92,32.04,-320.82
SAWAD,2026-03-23,125.20,74.42,199.62,50.77,25.23,-270.05
SAWAD,2026-03-24,114.30,83.09,197.39,31.20,31.16,-238.85
SAWAD,2026-03-25,92.04,137.23,229.27,-45.20,28.54,-284.05
SAWAD,2026-03-26,92.71,115.78,208.49,-23.07,21.32,-307.12
SAWAD,2026-03-27,138.50,101.87,240.37,36.63,33.31,-270.49
SAWAD,2026-03-30,161.15,98.03,259.18,63.11,30.68,-207.38
SAWAD,2026-03-31,136.15,194.54,330.70,-58.39,24.71,-265.77
SAWAD,2026-04-01,191.09,216.22,407.31,-25.13,25.46,-290.90
SAWAD,2026-04-02,74.86,127.25,202.11,-52.39,27.83,-343.29
SAWAD,2026-04-03,70.73,62.59,133.32,8.13,26.31,-335.16
SAWAD,2026-04-07,70.85,43.18,114.04,27.67,29.99,-307.49
SAWAD,2026-04-08,161.20,125.80,287.00,35.40,22.06,-272.09
SAWAD,2026-04-09,22.48,105.82,128.30,-83.34,25.02,-355.43
SAWAD,2026-04-10,25.78,36.78,62.56,-11.00,19.56,-366.43
SAWAD,2026-04-16,115.73,122.99,238.72,-7.26,30.67,-373.69
