symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SCB,2026-01-05,656.75,793.72,1450.47,-136.97,30.71,-136.97
SCB,2026-01-06,402.03,832.76,1234.79,-430.73,37.94,-567.70
SCB,2026-01-07,206.47,237.47,443.94,-30.99,20.37,-598.69
SCB,2026-01-08,568.47,426.01,994.49,142.46,31.55,-456.23
SCB,2026-01-09,391.12,458.33,849.45,-67.21,36.14,-523.44
SCB,2026-01-12,254.56,189.57,444.13,64.99,19.20,-458.45
SCB,2026-01-13,260.47,353.76,614.23,-93.29,25.99,-551.74
SCB,2026-01-14,529.55,652.12,1181.67,-122.58,23.59,-674.32
SCB,2026-01-15,531.54,331.46,863.00,200.07,28.27,-474.25
SCB,2026-01-16,611.29,290.55,901.85,320.74,27.49,-153.51
SCB,2026-01-19,242.55,446.56,689.11,-204.01,39.24,-357.52
SCB,2026-01-20,336.70,232.61,569.30,104.09,27.46,-253.43
SCB,2026-01-21,462.54,895.06,1357.60,-432.51,23.74,-685.94
SCB,2026-01-22,298.75,467.21,765.95,-168.46,27.14,-854.40
SCB,2026-01-23,332.56,570.21,902.77,-237.65,36.20,-1092.05
SCB,2026-01-26,620.97,883.38,1504.36,-262.41,20.46,-1354.46
SCB,2026-01-27,1128.25,581.61,1709.86,546.64,23.15,-807.82
SCB,2026-01-28,347.71,521.86,869.57,-174.15,22.69,-981.97
SCB,2026-01-29,369.26,554.28,923.54,-185.01,15.93,-1166.98
SCB,2026-01-30,547.26,659.86,1207.13,-112.60,25.81,-1279.58
SCB,2026-02-02,151.27,366.27,517.55,-215.00,19.34,-1494.58
SCB,2026-02-03,436.67,736.86,1173.53,-300.19,27.05,-1794.77
SCB,2026-02-04,862.95,351.70,1214.65,511.24,23.43,-1283.53
SCB,2026-02-05,622.00,420.93,1042.93,201.07,29.87,-1082.46
SCB,2026-02-06,494.98,568.83,1063.80,-73.85,29.47,-1156.31
SCB,2026-02-09,993.90,627.93,1621.83,365.97,22.71,-790.34
SCB,2026-02-10,637.30,711.37,1348.67,-74.08,29.53,-864.42
SCB,2026-02-11,241.57,319.92,561.49,-78.35,26.76,-942.77
SCB,2026-02-12,937.74,834.69,1772.43,103.05,33.11,-839.72
SCB,2026-02-13,566.34,558.95,1125.29,7.39,31.08,-832.33
SCB,2026-02-16,215.33,273.08,488.42,-57.75,23.34,-890.08
SCB,2026-02-17,1463.48,500.74,1964.22,962.74,26.13,72.66
SCB,2026-02-18,536.50,845.29,1381.79,-308.78,26.34,-236.12
SCB,2026-02-19,745.56,961.80,1707.36,-216.24,20.29,-452.36
SCB,2026-02-20,715.61,974.52,1690.13,-258.91,26.47,-711.27
SCB,2026-02-23,451.51,713.94,1165.45,-262.43,18.42,-973.70
SCB,2026-02-24,516.31,709.85,1226.16,-193.54,33.84,-1167.24
SCB,2026-02-25,559.47,746.42,1305.89,-186.95,29.84,-1354.19
SCB,2026-02-26,619.19,408.50,1027.69,210.68,34.50,-1143.51
SCB,2026-02-27,459.24,628.86,1088.10,-169.61,25.10,-1313.12
SCB,2026-03-02,434.13,866.70,1300.83,-432.56,22.92,-1745.68
SCB,2026-03-04,1109.62,1803.68,2913.30,-694.07,26.28,-2439.75
SCB,2026-03-05,1015.25,1211.59,2226.84,-196.34,36.80,-2636.09
SCB,2026-03-06,331.72,1000.80,1332.53,-669.08,37.02,-3305.17
SCB,2026-03-09,785.36,1329.86,2115.22,-544.50,35.06,-3849.67
SCB,2026-03-10,823.74,777.83,1601.57,45.90,38.36,-3803.77
SCB,2026-03-11,814.81,879.52,1694.33,-64.71,35.60,-3868.48
SCB,2026-03-12,334.89,386.06,720.95,-51.16,21.57,-3919.64
SCB,2026-03-13,862.12,799.43,1661.55,62.69,40.16,-3856.95
SCB,2026-03-16,291.04,690.15,981.18,-399.11,40.91,-4256.06
SCB,2026-03-17,246.36,337.49,583.86,-91.13,25.83,-4347.19
SCB,2026-03-18,435.04,222.20,657.23,212.84,28.68,-4134.35
SCB,2026-03-19,321.84,516.72,838.56,-194.88,27.26,-4329.23
SCB,2026-03-20,1035.07,957.63,1992.71,77.44,38.58,-4251.79
SCB,2026-03-23,601.04,963.51,1564.55,-362.47,25.90,-4614.26
SCB,2026-03-24,1605.65,1202.18,2807.84,403.47,32.71,-4210.79
SCB,2026-03-25,697.20,673.24,1370.44,23.97,29.65,-4186.82
SCB,2026-03-26,1297.78,817.70,2115.48,480.08,33.45,-3706.74
SCB,2026-03-27,1043.63,780.37,1824.00,263.26,32.55,-3443.48
SCB,2026-03-30,638.97,813.60,1452.58,-174.63,35.49,-3618.11
SCB,2026-03-31,1149.71,1551.10,2700.81,-401.39,35.07,-4019.50
SCB,2026-04-01,616.53,552.30,1168.83,64.23,27.61,-3955.27
SCB,2026-04-02,533.17,507.77,1040.95,25.40,28.21,-3929.87
SCB,2026-04-03,78.02,257.35,335.37,-179.34,20.74,-4109.21
SCB,2026-04-07,318.54,795.55,1114.09,-477.01,32.16,-4586.22
SCB,2026-04-08,521.74,464.22,985.96,57.53,28.85,-4528.69
SCB,2026-04-09,390.88,891.47,1282.35,-500.58,28.02,-5029.27
SCB,2026-04-10,425.77,793.87,1219.63,-368.10,32.32,-5397.37
SCB,2026-04-16,1117.02,1679.34,2796.36,-562.32,28.42,-5959.69
SCB,2026-04-17,682.23,1262.23,1944.46,-580.00,25.00,-6539.69
SCB,2026-04-20,983.98,1352.00,2335.97,-368.02,19.29,-6907.71
SCB,2026-04-21,703.82,1628.51,2332.33,-924.69,28.33,-7832.40
