symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SCC,2026-01-05,303.62,232.78,536.40,70.85,39.67,70.85
SCC,2026-01-06,176.53,156.00,332.53,20.53,45.62,91.38
SCC,2026-01-07,585.61,431.67,1017.28,153.94,31.13,245.32
SCC,2026-01-08,161.35,237.75,399.11,-76.40,35.40,168.92
SCC,2026-01-09,149.32,202.29,351.60,-52.97,39.35,115.95
SCC,2026-01-12,137.63,154.28,291.90,-16.65,36.53,99.30
SCC,2026-01-13,191.64,128.34,319.98,63.30,39.67,162.60
SCC,2026-01-14,238.84,156.94,395.78,81.90,25.21,244.50
SCC,2026-01-15,245.73,303.66,549.39,-57.93,34.76,186.57
SCC,2026-01-16,95.28,244.98,340.26,-149.69,27.99,36.88
SCC,2026-01-19,155.70,254.44,410.14,-98.74,28.53,-61.86
SCC,2026-01-20,126.09,242.42,368.52,-116.33,31.15,-178.19
SCC,2026-01-21,136.89,101.82,238.71,35.07,24.11,-143.12
SCC,2026-01-22,269.93,187.58,457.50,82.35,38.14,-60.77
SCC,2026-01-23,139.70,160.15,299.86,-20.45,46.23,-81.22
SCC,2026-01-26,242.66,200.30,442.96,42.36,29.19,-38.86
SCC,2026-01-27,233.66,280.42,514.08,-46.75,30.25,-85.61
SCC,2026-01-28,137.84,201.89,339.73,-64.05,37.77,-149.66
SCC,2026-01-29,125.98,372.71,498.69,-246.73,21.70,-396.39
SCC,2026-01-30,315.04,372.65,687.69,-57.61,35.03,-454.00
SCC,2026-02-02,203.85,205.17,409.02,-1.32,35.74,-455.32
SCC,2026-02-03,272.95,313.67,586.62,-40.72,31.61,-496.04
SCC,2026-02-04,334.13,269.52,603.65,64.61,35.88,-431.43
SCC,2026-02-05,144.52,181.37,325.89,-36.85,34.65,-468.28
SCC,2026-02-06,717.83,144.76,862.59,573.08,30.13,104.80
SCC,2026-02-09,322.80,339.08,661.88,-16.29,26.59,88.51
SCC,2026-02-10,352.67,189.52,542.19,163.16,35.97,251.67
SCC,2026-02-11,240.80,127.81,368.61,112.99,38.76,364.66
SCC,2026-02-12,358.19,255.08,613.27,103.11,36.71,467.77
SCC,2026-02-13,426.11,461.46,887.57,-35.35,31.08,432.42
SCC,2026-02-16,127.25,288.08,415.33,-160.83,34.32,271.59
SCC,2026-02-17,131.67,161.33,293.00,-29.65,25.44,241.94
SCC,2026-02-18,141.10,134.73,275.84,6.37,34.25,248.31
SCC,2026-02-19,324.30,182.87,507.17,141.43,36.81,389.74
SCC,2026-02-20,161.98,225.70,387.68,-63.72,34.48,326.02
SCC,2026-02-23,420.55,355.53,776.07,65.02,37.71,391.04
SCC,2026-02-24,677.48,327.27,1004.75,350.22,36.12,741.26
SCC,2026-02-25,1170.28,587.59,1757.86,582.69,32.97,1323.95
SCC,2026-02-26,301.34,565.56,866.90,-264.21,40.02,1059.74
SCC,2026-02-27,790.67,431.20,1221.87,359.47,37.59,1419.21
SCC,2026-03-02,355.72,570.51,926.23,-214.79,18.51,1204.42
SCC,2026-03-04,787.73,929.20,1716.93,-141.48,27.66,1062.94
SCC,2026-03-05,312.52,496.59,809.11,-184.07,27.06,878.87
SCC,2026-03-06,314.63,327.02,641.65,-12.39,30.90,866.48
SCC,2026-03-09,878.90,906.30,1785.20,-27.40,30.50,839.08
SCC,2026-03-10,299.92,472.11,772.02,-172.19,30.75,666.89
SCC,2026-03-11,371.86,470.31,842.17,-98.45,34.01,568.44
SCC,2026-03-12,341.56,468.23,809.79,-126.67,32.28,441.77
SCC,2026-03-13,291.05,377.86,668.91,-86.80,39.00,354.97
SCC,2026-03-16,209.64,222.06,431.70,-12.43,33.47,342.54
SCC,2026-03-17,633.47,367.95,1001.42,265.51,39.62,608.05
SCC,2026-03-18,236.39,382.28,618.66,-145.89,42.56,462.16
SCC,2026-03-19,247.11,351.69,598.80,-104.57,36.22,357.59
SCC,2026-03-20,448.28,442.16,890.45,6.12,45.30,363.71
SCC,2026-03-23,207.55,260.87,468.42,-53.32,38.23,310.39
SCC,2026-03-24,405.24,476.39,881.63,-71.15,32.70,239.24
SCC,2026-03-25,708.62,468.67,1177.29,239.94,31.29,479.18
SCC,2026-03-26,373.08,386.38,759.46,-13.29,47.58,465.89
SCC,2026-03-27,501.82,486.29,988.11,15.53,30.26,481.42
SCC,2026-03-30,485.08,417.55,902.63,67.53,28.69,548.95
SCC,2026-03-31,369.70,513.96,883.66,-144.25,35.17,404.70
SCC,2026-04-01,367.60,194.42,562.02,173.18,35.48,577.88
SCC,2026-04-02,219.55,169.30,388.85,50.24,37.23,628.12
SCC,2026-04-03,261.77,141.87,403.64,119.90,32.57,748.02
SCC,2026-04-07,262.96,164.48,427.44,98.48,36.56,846.50
SCC,2026-04-08,401.40,299.97,701.37,101.44,36.31,947.94
SCC,2026-04-09,238.59,290.39,528.98,-51.80,36.99,896.14
SCC,2026-04-10,239.37,210.86,450.24,28.51,22.39,924.65
SCC,2026-04-16,2194.89,850.58,3045.47,1344.31,35.16,2268.96
SCC,2026-04-17,795.79,480.76,1276.55,315.03,31.02,2583.99
SCC,2026-04-20,747.54,454.92,1202.46,292.62,32.27,2876.61
SCC,2026-04-21,316.75,400.05,716.80,-83.31,46.72,2793.30
