symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SCGP,2026-01-05,47.81,49.72,97.53,-1.91,32.60,-1.91
SCGP,2026-01-06,101.51,89.20,190.70,12.31,33.16,10.40
SCGP,2026-01-07,122.29,82.31,204.59,39.98,21.83,50.38
SCGP,2026-01-08,91.11,101.24,192.35,-10.12,42.82,40.26
SCGP,2026-01-09,42.13,33.57,75.70,8.55,25.60,48.81
SCGP,2026-01-12,35.70,37.09,72.79,-1.38,27.23,47.43
SCGP,2026-01-13,83.57,52.06,135.63,31.51,20.44,78.94
SCGP,2026-01-14,92.90,54.34,147.24,38.57,46.11,117.51
SCGP,2026-01-15,378.38,170.05,548.43,208.33,36.63,325.84
SCGP,2026-01-16,167.93,141.25,309.18,26.68,32.76,352.52
SCGP,2026-01-19,208.81,92.23,301.03,116.58,33.33,469.10
SCGP,2026-01-20,112.91,49.39,162.29,63.52,33.01,532.62
SCGP,2026-01-21,160.80,72.54,233.33,88.26,36.05,620.88
SCGP,2026-01-22,121.48,57.16,178.64,64.32,34.54,685.20
SCGP,2026-01-23,58.41,44.49,102.90,13.92,42.45,699.12
SCGP,2026-01-26,85.58,50.73,136.30,34.85,43.85,733.97
SCGP,2026-01-27,104.42,97.65,202.06,6.77,39.31,740.74
SCGP,2026-01-28,238.08,210.32,448.40,27.77,28.82,768.51
SCGP,2026-01-29,181.88,226.61,408.48,-44.73,29.93,723.78
SCGP,2026-01-30,81.48,84.94,166.41,-3.46,43.76,720.32
SCGP,2026-02-02,72.39,58.42,130.81,13.96,36.99,734.28
SCGP,2026-02-03,108.28,105.46,213.75,2.82,30.86,737.10
SCGP,2026-02-04,66.65,24.55,91.20,42.10,34.43,779.20
SCGP,2026-02-05,41.93,71.19,113.12,-29.26,37.97,749.94
SCGP,2026-02-06,84.90,67.42,152.33,17.48,36.66,767.42
SCGP,2026-02-09,98.45,109.77,208.22,-11.32,29.74,756.10
SCGP,2026-02-10,57.37,57.78,115.14,-0.41,31.76,755.69
SCGP,2026-02-11,38.63,49.45,88.08,-10.82,25.71,744.87
SCGP,2026-02-12,95.26,80.01,175.27,15.25,28.79,760.12
SCGP,2026-02-13,37.22,38.61,75.83,-1.38,25.85,758.74
SCGP,2026-02-16,40.19,51.30,91.49,-11.10,27.43,747.64
SCGP,2026-02-17,76.91,78.91,155.82,-2.00,20.23,745.64
SCGP,2026-02-18,68.24,26.52,94.77,41.72,20.54,787.36
SCGP,2026-02-19,170.14,112.32,282.45,57.82,23.20,845.18
SCGP,2026-02-20,75.60,152.29,227.89,-76.70,23.02,768.48
SCGP,2026-02-23,232.86,196.36,429.22,36.49,29.33,804.97
SCGP,2026-02-24,71.34,77.71,149.05,-6.37,36.85,798.60
SCGP,2026-02-25,127.96,137.97,265.93,-10.00,34.11,788.60
SCGP,2026-02-26,61.76,83.06,144.83,-21.30,29.15,767.30
SCGP,2026-02-27,40.03,57.62,97.66,-17.59,23.59,749.71
SCGP,2026-03-02,100.52,130.22,230.74,-29.70,25.80,720.01
SCGP,2026-03-04,136.70,166.86,303.56,-30.15,33.35,689.86
SCGP,2026-03-05,106.55,190.57,297.12,-84.03,37.99,605.83
SCGP,2026-03-06,68.23,82.85,151.08,-14.61,43.29,591.22
SCGP,2026-03-09,110.69,115.83,226.52,-5.14,33.15,586.08
SCGP,2026-03-10,70.78,104.71,175.50,-33.93,37.61,552.15
SCGP,2026-03-11,92.59,143.81,236.40,-51.22,28.93,500.93
SCGP,2026-03-12,81.47,76.88,158.35,4.59,35.24,505.52
SCGP,2026-03-13,63.75,118.01,181.76,-54.26,40.12,451.26
SCGP,2026-03-16,42.82,64.07,106.89,-21.25,37.28,430.01
SCGP,2026-03-17,192.97,128.57,321.54,64.41,23.23,494.42
SCGP,2026-03-18,72.76,163.04,235.80,-90.28,23.61,404.14
SCGP,2026-03-19,51.15,95.37,146.52,-44.22,33.77,359.92
SCGP,2026-03-20,98.23,70.26,168.49,27.96,31.18,387.88
SCGP,2026-03-23,63.53,88.03,151.56,-24.50,36.95,363.38
SCGP,2026-03-24,108.72,131.40,240.11,-22.68,30.17,340.70
SCGP,2026-03-25,155.10,154.19,309.29,0.91,25.44,341.61
SCGP,2026-03-26,60.78,99.66,160.44,-38.87,34.86,302.74
SCGP,2026-03-27,107.61,99.69,207.30,7.92,32.03,310.66
SCGP,2026-03-30,160.96,108.96,269.92,52.00,26.74,362.66
SCGP,2026-03-31,162.73,163.31,326.04,-0.58,44.31,362.08
SCGP,2026-04-01,173.51,117.13,290.63,56.38,30.92,418.46
SCGP,2026-04-02,145.20,124.26,269.46,20.93,38.57,439.39
SCGP,2026-04-03,54.25,53.36,107.61,0.89,40.14,440.28
SCGP,2026-04-07,64.26,54.44,118.69,9.82,36.54,450.10
SCGP,2026-04-08,106.94,93.05,199.98,13.89,33.72,463.99
SCGP,2026-04-09,69.74,113.12,182.86,-43.38,22.85,420.61
SCGP,2026-04-10,164.46,66.27,230.72,98.19,31.48,518.80
SCGP,2026-04-16,141.04,130.66,271.69,10.38,32.08,529.18
SCGP,2026-04-17,80.30,41.39,121.69,38.92,32.39,568.10
SCGP,2026-04-20,44.13,69.86,113.99,-25.74,23.20,542.36
SCGP,2026-04-21,71.90,55.06,126.96,16.84,32.22,559.20
