symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SIRI,2026-01-05,45.02,9.01,54.03,36.01,29.25,36.01
SIRI,2026-01-06,11.66,12.50,24.16,-0.85,17.01,35.16
SIRI,2026-01-07,10.65,3.47,14.12,7.18,26.27,42.34
SIRI,2026-01-08,9.89,8.53,18.42,1.36,19.47,43.70
SIRI,2026-01-09,3.81,4.29,8.10,-0.49,22.32,43.21
SIRI,2026-01-12,7.33,28.48,35.82,-21.15,18.89,22.06
SIRI,2026-01-13,10.76,36.76,47.52,-25.99,16.33,-3.93
SIRI,2026-01-14,18.81,19.87,38.68,-1.06,31.41,-4.99
SIRI,2026-01-15,16.86,5.75,22.61,11.11,33.31,6.12
SIRI,2026-01-16,26.44,1.00,27.44,25.44,20.80,31.56
SIRI,2026-01-19,12.64,3.18,15.83,9.46,19.35,41.02
SIRI,2026-01-20,69.62,14.36,83.98,55.25,22.47,96.27
SIRI,2026-01-21,61.71,13.95,75.65,47.76,27.79,144.03
SIRI,2026-01-22,34.71,23.41,58.12,11.30,25.58,155.33
SIRI,2026-01-23,27.95,17.80,45.75,10.16,31.19,165.49
SIRI,2026-01-26,13.01,18.58,31.59,-5.58,23.89,159.91
SIRI,2026-01-27,19.73,5.70,25.43,14.03,27.16,173.94
SIRI,2026-01-28,65.18,17.78,82.96,47.40,21.21,221.34
SIRI,2026-01-29,33.36,25.43,58.79,7.93,18.33,229.27
SIRI,2026-01-30,22.47,22.30,44.77,0.17,26.10,229.44
SIRI,2026-02-02,16.26,23.80,40.06,-7.55,29.56,221.89
SIRI,2026-02-03,15.50,7.18,22.67,8.32,23.20,230.21
SIRI,2026-02-04,16.07,7.05,23.12,9.02,29.88,239.23
SIRI,2026-02-05,17.00,2.66,19.65,14.34,26.32,253.57
SIRI,2026-02-06,10.40,10.59,20.99,-0.18,32.79,253.39
SIRI,2026-02-09,80.28,8.53,88.81,71.75,20.61,325.14
SIRI,2026-02-10,18.40,13.37,31.78,5.03,20.95,330.17
SIRI,2026-02-11,41.19,20.06,61.25,21.14,25.98,351.31
SIRI,2026-02-12,39.76,29.96,69.71,9.80,20.58,361.11
SIRI,2026-02-13,24.53,38.31,62.83,-13.78,30.85,347.33
SIRI,2026-02-16,9.97,23.94,33.91,-13.96,21.76,333.37
SIRI,2026-02-17,28.23,33.64,61.87,-5.41,22.21,327.96
SIRI,2026-02-18,103.87,17.18,121.05,86.70,27.27,414.66
SIRI,2026-02-19,114.97,67.23,182.19,47.74,27.00,462.40
SIRI,2026-02-20,94.22,67.83,162.06,26.39,25.73,488.79
SIRI,2026-02-23,76.40,96.28,172.68,-19.88,37.07,468.91
SIRI,2026-02-24,48.13,24.97,73.10,23.15,30.07,492.06
SIRI,2026-02-25,111.47,40.60,152.07,70.86,32.30,562.92
SIRI,2026-02-26,37.17,33.44,70.60,3.73,36.48,566.65
SIRI,2026-02-27,56.26,57.69,113.95,-1.44,34.35,565.21
SIRI,2026-03-02,53.70,61.63,115.33,-7.93,23.29,557.28
SIRI,2026-03-04,122.50,162.29,284.79,-39.79,43.37,517.49
SIRI,2026-03-05,40.70,63.41,104.11,-22.71,38.07,494.78
SIRI,2026-03-06,20.58,44.56,65.14,-23.99,33.64,470.79
SIRI,2026-03-09,57.77,113.53,171.30,-55.76,44.56,415.03
SIRI,2026-03-10,81.28,97.35,178.63,-16.08,50.06,398.95
SIRI,2026-03-11,19.04,46.74,65.78,-27.70,39.85,371.25
SIRI,2026-03-12,35.35,41.21,76.56,-5.86,37.21,365.39
SIRI,2026-03-13,12.41,55.14,67.56,-42.73,25.29,322.66
SIRI,2026-03-16,27.53,40.68,68.21,-13.14,24.40,309.52
SIRI,2026-03-17,8.69,25.76,34.46,-17.07,15.55,292.45
SIRI,2026-03-18,12.93,21.29,34.22,-8.36,27.18,284.09
SIRI,2026-03-19,27.93,35.50,63.43,-7.57,19.95,276.52
SIRI,2026-03-20,123.10,71.45,194.55,51.65,52.76,328.17
SIRI,2026-03-23,18.72,52.75,71.47,-34.02,24.74,294.15
SIRI,2026-03-24,35.96,33.20,69.17,2.76,35.40,296.91
SIRI,2026-03-25,7.47,11.55,19.02,-4.09,18.21,292.82
SIRI,2026-03-26,27.18,15.29,42.47,11.90,20.88,304.72
SIRI,2026-03-27,9.82,10.80,20.62,-0.98,25.45,303.74
SIRI,2026-03-30,27.71,15.64,43.35,12.07,17.59,315.81
SIRI,2026-03-31,19.85,6.24,26.10,13.61,27.75,329.42
SIRI,2026-04-01,26.03,18.66,44.69,7.37,20.84,336.79
SIRI,2026-04-02,23.99,13.58,37.58,10.41,37.68,347.20
SIRI,2026-04-03,14.89,8.97,23.87,5.92,28.10,353.12
SIRI,2026-04-07,23.60,25.20,48.80,-1.60,26.54,351.52
SIRI,2026-04-08,13.52,14.85,28.38,-1.33,15.34,350.19
SIRI,2026-04-09,22.41,22.96,45.37,-0.55,43.36,349.64
SIRI,2026-04-10,8.44,14.15,22.60,-5.71,21.61,343.93
SIRI,2026-04-16,53.37,27.92,81.29,25.46,44.42,369.39
SIRI,2026-04-17,11.51,19.92,31.44,-8.41,44.71,360.98
SIRI,2026-04-20,11.38,10.29,21.67,1.09,42.57,362.07
SIRI,2026-04-21,11.74,4.47,16.21,7.27,31.86,369.34
