symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SISB,2026-01-05,6.25,2.97,9.22,3.29,13.96,3.29
SISB,2026-01-06,6.95,5.15,12.09,1.80,19.51,5.09
SISB,2026-01-07,12.91,7.54,20.45,5.37,19.88,10.46
SISB,2026-01-08,1.82,13.88,15.69,-12.06,18.25,-1.60
SISB,2026-01-09,2.23,2.87,5.10,-0.65,15.86,-2.25
SISB,2026-01-12,27.77,32.75,60.51,-4.98,13.72,-7.23
SISB,2026-01-13,13.85,11.54,25.39,2.31,24.16,-4.92
SISB,2026-01-14,17.39,12.08,29.47,5.31,18.61,0.39
SISB,2026-01-15,15.57,5.79,21.35,9.78,20.25,10.17
SISB,2026-01-16,10.06,7.16,17.21,2.90,27.54,13.07
SISB,2026-01-19,16.35,10.94,27.29,5.41,24.80,18.48
SISB,2026-01-20,8.76,3.64,12.41,5.12,19.36,23.60
SISB,2026-01-21,10.34,4.02,14.36,6.33,24.67,29.93
SISB,2026-01-22,7.11,8.09,15.20,-0.97,27.92,28.96
SISB,2026-01-23,4.92,8.14,13.06,-3.22,33.70,25.74
SISB,2026-01-26,3.93,2.62,6.55,1.31,19.20,27.05
SISB,2026-01-27,10.86,5.25,16.10,5.61,24.16,32.66
SISB,2026-01-28,5.40,7.60,12.99,-2.20,22.22,30.46
SISB,2026-01-29,2.42,0.81,3.23,1.61,17.43,32.07
SISB,2026-01-30,8.40,5.83,14.24,2.57,29.96,34.64
SISB,2026-02-02,7.45,4.35,11.80,3.10,22.79,37.74
SISB,2026-02-03,13.90,2.82,16.72,11.08,25.97,48.82
SISB,2026-02-04,6.11,15.40,21.50,-9.29,27.18,39.53
SISB,2026-02-05,4.68,4.99,9.67,-0.31,27.10,39.22
SISB,2026-02-06,5.85,11.84,17.70,-5.99,30.57,33.23
SISB,2026-02-09,16.25,4.56,20.82,11.69,23.82,44.92
SISB,2026-02-10,4.75,15.51,20.26,-10.76,14.92,34.16
SISB,2026-02-11,10.93,21.02,31.95,-10.09,19.89,24.07
SISB,2026-02-12,4.60,5.87,10.47,-1.28,13.45,22.79
SISB,2026-02-13,10.09,15.27,25.37,-5.18,20.27,17.61
SISB,2026-02-16,7.64,9.12,16.77,-1.48,13.63,16.13
SISB,2026-02-17,9.90,6.38,16.28,3.51,16.06,19.64
SISB,2026-02-18,15.79,14.54,30.33,1.25,15.50,20.89
SISB,2026-02-19,23.69,15.83,39.51,7.86,11.48,28.75
SISB,2026-02-20,4.66,39.07,43.73,-34.41,11.41,-5.66
SISB,2026-02-23,31.77,30.47,62.24,1.31,11.72,-4.35
SISB,2026-02-24,15.80,23.82,39.62,-8.01,17.26,-12.36
SISB,2026-02-25,2.67,24.13,26.80,-21.46,17.84,-33.82
SISB,2026-02-26,13.23,31.44,44.67,-18.20,16.14,-52.02
SISB,2026-02-27,9.96,15.72,25.69,-5.76,12.27,-57.78
SISB,2026-03-02,5.74,9.75,15.49,-4.01,7.61,-61.79
SISB,2026-03-04,5.71,15.32,21.03,-9.62,11.06,-71.41
SISB,2026-03-05,5.76,11.62,17.38,-5.86,11.34,-77.27
SISB,2026-03-06,1.18,2.53,3.71,-1.35,12.22,-78.62
SISB,2026-03-09,3.34,3.02,6.37,0.32,12.97,-78.30
SISB,2026-03-10,2.11,10.35,12.45,-8.24,15.28,-86.54
SISB,2026-03-11,1.82,8.13,9.96,-6.31,16.74,-92.85
SISB,2026-03-12,5.54,6.96,12.50,-1.42,16.28,-94.27
SISB,2026-03-13,1.64,3.33,4.96,-1.69,12.74,-95.96
SISB,2026-03-16,3.01,4.63,7.63,-1.62,15.98,-97.58
SISB,2026-03-17,4.41,3.38,7.80,1.03,19.23,-96.55
SISB,2026-03-18,0.23,0.72,0.95,-0.48,4.31,-97.03
SISB,2026-03-19,11.09,4.87,15.96,6.22,19.55,-90.81
SISB,2026-03-20,1.08,2.78,3.86,-1.70,16.63,-92.51
SISB,2026-03-23,7.52,5.98,13.50,1.54,23.14,-90.97
SISB,2026-03-24,2.93,3.25,6.18,-0.32,18.99,-91.29
SISB,2026-03-25,3.75,3.73,7.47,0.02,16.54,-91.27
SISB,2026-03-26,0.86,1.03,1.89,-0.17,15.09,-91.44
SISB,2026-03-27,3.06,1.93,4.99,1.13,19.31,-90.31
SISB,2026-03-30,6.64,4.29,10.93,2.35,17.94,-87.96
SISB,2026-03-31,3.50,2.98,6.48,0.52,23.07,-87.44
SISB,2026-04-01,4.01,6.09,10.10,-2.08,14.61,-89.52
SISB,2026-04-02,0.64,1.26,1.90,-0.62,10.65,-90.14
SISB,2026-04-03,2.07,1.83,3.90,0.24,20.41,-89.90
SISB,2026-04-07,5.67,1.81,7.47,3.86,17.10,-86.04
SISB,2026-04-08,7.98,7.21,15.19,0.77,26.18,-85.27
SISB,2026-04-09,0.60,3.91,4.51,-3.30,12.30,-88.57
SISB,2026-04-10,2.07,1.36,3.43,0.70,15.05,-87.87
SISB,2026-04-16,2.20,4.03,6.23,-1.83,15.35,-89.70
SISB,2026-04-17,2.66,2.53,5.19,0.13,20.09,-89.57
SISB,2026-04-20,2.60,1.05,3.65,1.56,17.49,-88.01
SISB,2026-04-21,2.53,1.23,3.76,1.30,15.63,-86.71
