symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SJWD,2026-01-05,5.04,4.45,9.49,0.58,14.04,0.58
SJWD,2026-01-06,0.81,7.48,8.29,-6.67,15.95,-6.09
SJWD,2026-01-07,5.90,0.57,6.47,5.33,27.12,-0.76
SJWD,2026-01-08,0.96,3.03,4.00,-2.07,27.09,-2.83
SJWD,2026-01-09,2.06,5.03,7.10,-2.97,17.45,-5.80
SJWD,2026-01-12,0.25,2.38,2.64,-2.13,10.31,-7.93
SJWD,2026-01-13,0.13,1.12,1.25,-0.99,10.48,-8.92
SJWD,2026-01-14,0.00,0.52,0.52,-0.52,4.60,-9.44
SJWD,2026-01-15,2.57,1.80,4.37,0.78,11.12,-8.66
SJWD,2026-01-16,4.70,1.56,6.26,3.13,17.02,-5.53
SJWD,2026-01-19,3.30,0.93,4.24,2.37,8.51,-3.16
SJWD,2026-01-20,5.46,2.48,7.93,2.98,18.12,-0.18
SJWD,2026-01-21,3.58,0.41,3.99,3.17,12.19,2.99
SJWD,2026-01-22,3.76,2.51,6.28,1.25,24.22,4.24
SJWD,2026-01-23,2.41,2.07,4.48,0.34,17.92,4.58
SJWD,2026-01-26,2.61,1.65,4.26,0.95,16.34,5.53
SJWD,2026-01-27,1.57,3.50,5.07,-1.93,18.35,3.60
SJWD,2026-01-28,2.01,1.68,3.69,0.33,20.26,3.93
SJWD,2026-01-29,1.50,1.57,3.07,-0.07,19.89,3.86
SJWD,2026-01-30,2.18,1.02,3.20,1.16,18.49,5.02
SJWD,2026-02-02,1.59,1.37,2.96,0.22,21.56,5.24
SJWD,2026-02-03,4.05,0.92,4.96,3.13,15.23,8.37
SJWD,2026-02-04,2.98,1.82,4.80,1.16,18.70,9.53
SJWD,2026-02-05,6.10,6.13,12.23,-0.03,22.30,9.50
SJWD,2026-02-06,2.69,0.80,3.50,1.89,28.91,11.39
SJWD,2026-02-09,4.11,0.65,4.76,3.47,17.88,14.86
SJWD,2026-02-10,16.18,8.42,24.61,7.76,19.68,22.62
SJWD,2026-02-11,5.55,10.46,16.01,-4.91,16.46,17.71
SJWD,2026-02-12,5.70,2.51,8.21,3.20,14.89,20.91
SJWD,2026-02-13,3.06,15.61,18.67,-12.56,18.78,8.35
SJWD,2026-02-16,0.78,5.13,5.91,-4.36,8.88,3.99
SJWD,2026-02-17,4.91,2.27,7.18,2.64,13.65,6.63
SJWD,2026-02-18,6.05,3.88,9.93,2.17,14.06,8.80
SJWD,2026-02-19,6.16,7.02,13.18,-0.86,12.81,7.94
SJWD,2026-02-20,6.51,3.51,10.02,3.00,12.96,10.94
SJWD,2026-02-23,14.34,6.09,20.43,8.25,19.76,19.19
SJWD,2026-02-24,9.84,2.64,12.48,7.19,22.81,26.38
SJWD,2026-02-25,7.42,12.63,20.04,-5.21,17.91,21.17
SJWD,2026-02-26,2.87,11.68,14.54,-8.81,19.06,12.36
SJWD,2026-02-27,8.82,3.65,12.47,5.17,16.84,17.53
SJWD,2026-03-02,12.50,3.79,16.29,8.71,13.49,26.24
SJWD,2026-03-04,3.64,9.94,13.59,-6.30,19.73,19.94
SJWD,2026-03-05,2.85,4.86,7.71,-2.01,25.02,17.93
SJWD,2026-03-06,2.00,7.15,9.15,-5.15,25.30,12.78
SJWD,2026-03-09,0.91,1.91,2.82,-1.00,14.20,11.78
SJWD,2026-03-10,2.15,6.85,9.00,-4.70,21.42,7.08
SJWD,2026-03-11,0.24,3.94,4.18,-3.71,16.36,3.37
SJWD,2026-03-12,0.76,1.26,2.02,-0.49,11.16,2.88
SJWD,2026-03-13,0.60,4.90,5.50,-4.29,18.08,-1.41
SJWD,2026-03-16,2.64,2.21,4.85,0.44,18.22,-0.97
SJWD,2026-03-17,5.05,1.87,6.92,3.18,19.13,2.21
SJWD,2026-03-18,2.37,4.44,6.81,-2.07,23.87,0.14
SJWD,2026-03-19,1.22,4.67,5.88,-3.45,20.26,-3.31
SJWD,2026-03-20,4.15,1.36,5.51,2.79,17.76,-0.52
SJWD,2026-03-23,0.95,6.76,7.71,-5.81,22.95,-6.33
SJWD,2026-03-24,0.62,3.17,3.79,-2.55,17.14,-8.88
SJWD,2026-03-25,1.82,0.86,2.68,0.97,8.65,-7.91
SJWD,2026-03-26,1.98,2.29,4.26,-0.31,13.01,-8.22
SJWD,2026-03-27,3.00,2.23,5.22,0.77,9.28,-7.45
SJWD,2026-03-30,3.90,0.70,4.59,3.20,26.33,-4.25
SJWD,2026-03-31,2.35,1.20,3.55,1.15,18.79,-3.10
SJWD,2026-04-01,6.96,2.27,9.23,4.68,15.20,1.58
SJWD,2026-04-02,5.87,1.19,7.06,4.68,17.59,6.26
SJWD,2026-04-03,0.78,1.75,2.53,-0.97,17.05,5.29
SJWD,2026-04-07,0.48,0.61,1.08,-0.13,13.16,5.16
SJWD,2026-04-08,5.58,2.13,7.71,3.45,13.63,8.61
SJWD,2026-04-09,2.13,8.82,10.94,-6.69,30.03,1.92
SJWD,2026-04-10,4.10,0.90,5.00,3.20,14.03,5.12
SJWD,2026-04-16,5.94,2.15,8.09,3.78,26.70,8.90
SJWD,2026-04-17,1.90,1.17,3.07,0.74,23.02,9.64
SJWD,2026-04-20,3.60,2.42,6.03,1.18,9.53,10.82
SJWD,2026-04-21,2.55,6.15,8.70,-3.60,13.57,7.22
