symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SPALI,2026-01-05,39.27,15.65,54.92,23.62,28.68,23.62
SPALI,2026-01-06,18.80,20.44,39.24,-1.64,27.40,21.98
SPALI,2026-01-07,11.08,19.88,30.96,-8.80,27.24,13.18
SPALI,2026-01-08,10.31,13.10,23.42,-2.79,22.99,10.39
SPALI,2026-01-09,16.55,8.07,24.62,8.48,33.90,18.87
SPALI,2026-01-12,6.46,10.04,16.50,-3.57,19.11,15.30
SPALI,2026-01-13,42.00,38.60,80.60,3.40,19.94,18.70
SPALI,2026-01-14,15.87,7.77,23.64,8.10,37.70,26.80
SPALI,2026-01-15,16.12,11.15,27.26,4.97,19.61,31.77
SPALI,2026-01-16,14.89,18.05,32.94,-3.16,14.68,28.61
SPALI,2026-01-19,16.46,7.59,24.05,8.88,18.36,37.49
SPALI,2026-01-20,43.19,9.02,52.21,34.18,32.98,71.67
SPALI,2026-01-21,14.05,2.65,16.70,11.40,32.06,83.07
SPALI,2026-01-22,65.97,31.06,97.03,34.91,26.73,117.98
SPALI,2026-01-23,16.45,21.69,38.14,-5.25,32.42,112.73
SPALI,2026-01-26,8.41,12.65,21.06,-4.24,24.75,108.49
SPALI,2026-01-27,12.45,18.53,30.97,-6.08,13.21,102.41
SPALI,2026-01-28,17.05,20.32,37.37,-3.26,10.48,99.15
SPALI,2026-01-29,14.56,11.49,26.05,3.06,12.18,102.21
SPALI,2026-01-30,27.39,15.15,42.55,12.24,26.40,114.45
SPALI,2026-02-02,14.21,31.92,46.13,-17.70,29.19,96.75
SPALI,2026-02-03,10.52,36.88,47.39,-26.36,24.20,70.39
SPALI,2026-02-04,3.03,5.27,8.30,-2.25,13.29,68.14
SPALI,2026-02-05,6.04,4.00,10.04,2.04,17.64,70.18
SPALI,2026-02-06,5.53,2.21,7.73,3.32,30.73,73.50
SPALI,2026-02-09,28.67,23.52,52.19,5.15,20.35,78.65
SPALI,2026-02-10,19.30,6.73,26.03,12.58,21.78,91.23
SPALI,2026-02-11,19.26,4.64,23.90,14.61,34.58,105.84
SPALI,2026-02-12,21.39,20.13,41.52,1.27,18.95,107.11
SPALI,2026-02-13,39.27,21.50,60.77,17.77,24.58,124.88
SPALI,2026-02-16,9.84,5.01,14.86,4.83,17.70,129.71
SPALI,2026-02-17,32.03,9.13,41.17,22.90,29.98,152.61
SPALI,2026-02-18,59.41,34.91,94.33,24.50,39.02,177.11
SPALI,2026-02-19,43.46,35.65,79.11,7.81,44.57,184.92
SPALI,2026-02-20,37.82,32.80,70.62,5.02,30.31,189.94
SPALI,2026-02-23,37.98,27.18,65.15,10.80,30.43,200.74
SPALI,2026-02-24,10.94,11.76,22.70,-0.83,39.02,199.91
SPALI,2026-02-25,88.56,33.06,121.62,55.51,35.58,255.42
SPALI,2026-02-26,58.54,33.77,92.31,24.77,30.40,280.19
SPALI,2026-02-27,91.84,47.65,139.49,44.19,25.48,324.38
SPALI,2026-03-02,33.36,21.68,55.04,11.68,22.88,336.06
SPALI,2026-03-04,35.01,65.86,100.87,-30.84,27.70,305.22
SPALI,2026-03-05,21.63,51.48,73.11,-29.85,25.42,275.37
SPALI,2026-03-06,6.65,27.16,33.81,-20.51,26.73,254.86
SPALI,2026-03-09,27.77,29.82,57.58,-2.05,33.68,252.81
SPALI,2026-03-10,20.90,20.30,41.19,0.60,35.34,253.41
SPALI,2026-03-11,20.50,30.07,50.57,-9.57,26.88,243.84
SPALI,2026-03-12,3.00,4.74,7.73,-1.74,20.61,242.10
SPALI,2026-03-13,12.15,20.17,32.32,-8.01,37.86,234.09
SPALI,2026-03-16,8.82,13.34,22.16,-4.53,31.86,229.56
SPALI,2026-03-17,14.76,17.61,32.37,-2.85,19.63,226.71
SPALI,2026-03-18,8.61,7.33,15.93,1.28,14.56,227.99
SPALI,2026-03-19,2.80,11.03,13.83,-8.23,17.16,219.76
SPALI,2026-03-20,14.07,16.89,30.96,-2.82,25.95,216.94
SPALI,2026-03-23,2.21,16.48,18.68,-14.27,16.74,202.67
SPALI,2026-03-24,18.55,14.42,32.98,4.13,20.73,206.80
SPALI,2026-03-25,27.03,17.62,44.65,9.41,24.24,216.21
SPALI,2026-03-26,19.19,22.69,41.88,-3.50,29.92,212.71
SPALI,2026-03-27,14.49,14.48,28.97,0.01,33.23,212.72
SPALI,2026-03-30,48.66,18.89,67.55,29.77,23.51,242.49
SPALI,2026-03-31,35.41,18.97,54.38,16.45,32.88,258.94
SPALI,2026-04-01,33.99,20.55,54.54,13.45,24.08,272.39
SPALI,2026-04-02,45.22,14.80,60.02,30.43,36.73,302.82
SPALI,2026-04-03,21.81,15.21,37.03,6.60,36.56,309.42
SPALI,2026-04-07,27.76,24.83,52.60,2.93,33.33,312.35
SPALI,2026-04-08,37.52,24.73,62.25,12.78,41.92,325.13
SPALI,2026-04-09,11.04,31.45,42.49,-20.41,41.39,304.72
SPALI,2026-04-10,49.52,21.27,70.80,28.25,37.33,332.97
SPALI,2026-04-16,28.96,28.41,57.36,0.55,37.92,333.52
SPALI,2026-04-17,22.24,14.04,36.28,8.20,29.39,341.72
SPALI,2026-04-20,9.32,8.14,17.46,1.18,33.26,342.90
SPALI,2026-04-21,20.28,13.50,33.78,6.78,29.61,349.68
