symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SPRC,2026-01-05,20.34,20.55,40.89,-0.21,29.40,-0.21
SPRC,2026-01-06,58.82,49.47,108.29,9.35,30.32,9.14
SPRC,2026-01-07,41.47,64.19,105.66,-22.72,26.52,-13.58
SPRC,2026-01-08,36.85,45.39,82.25,-8.54,30.03,-22.12
SPRC,2026-01-09,78.36,37.83,116.19,40.53,35.13,18.41
SPRC,2026-01-12,55.78,30.71,86.49,25.07,30.17,43.48
SPRC,2026-01-13,42.70,13.04,55.74,29.65,30.28,73.13
SPRC,2026-01-14,20.04,26.09,46.13,-6.05,35.54,67.08
SPRC,2026-01-15,62.93,44.18,107.11,18.75,33.93,85.83
SPRC,2026-01-16,33.66,20.47,54.13,13.18,37.74,99.01
SPRC,2026-01-19,28.03,21.01,49.04,7.02,18.12,106.03
SPRC,2026-01-20,29.97,32.27,62.24,-2.29,23.52,103.74
SPRC,2026-01-21,107.36,59.14,166.50,48.23,35.63,151.97
SPRC,2026-01-22,57.40,43.72,101.12,13.68,35.22,165.65
SPRC,2026-01-23,29.46,18.74,48.20,10.72,28.04,176.37
SPRC,2026-01-26,44.96,37.26,82.22,7.70,32.06,184.07
SPRC,2026-01-27,56.14,68.79,124.93,-12.64,26.68,171.43
SPRC,2026-01-28,148.82,43.68,192.50,105.14,28.28,276.57
SPRC,2026-01-29,76.54,73.14,149.68,3.40,34.25,279.97
SPRC,2026-01-30,50.64,30.22,80.86,20.42,43.77,300.39
SPRC,2026-02-02,47.91,55.52,103.44,-7.61,39.95,292.78
SPRC,2026-02-03,54.54,66.81,121.35,-12.27,31.93,280.51
SPRC,2026-02-04,108.80,29.95,138.75,78.85,34.06,359.36
SPRC,2026-02-05,29.50,36.69,66.20,-7.19,30.35,352.17
SPRC,2026-02-06,56.28,46.67,102.95,9.61,20.15,361.78
SPRC,2026-02-09,81.47,68.54,150.00,12.93,33.82,374.71
SPRC,2026-02-10,9.53,42.74,52.27,-33.21,22.15,341.50
SPRC,2026-02-11,87.12,50.81,137.93,36.31,45.98,377.81
SPRC,2026-02-12,22.00,34.42,56.41,-12.42,28.86,365.39
SPRC,2026-02-13,65.85,58.26,124.11,7.59,31.52,372.98
SPRC,2026-02-16,48.82,52.55,101.38,-3.73,26.31,369.25
SPRC,2026-02-17,41.30,45.58,86.88,-4.28,26.91,364.97
SPRC,2026-02-18,58.91,51.41,110.32,7.51,40.02,372.48
SPRC,2026-02-19,87.57,35.44,123.01,52.13,30.91,424.61
SPRC,2026-02-20,32.97,47.40,80.38,-14.43,39.99,410.18
SPRC,2026-02-23,40.25,35.66,75.92,4.59,35.98,414.77
SPRC,2026-02-24,76.51,62.21,138.72,14.30,43.40,429.07
SPRC,2026-02-25,41.22,34.18,75.40,7.04,33.47,436.11
SPRC,2026-02-26,32.08,28.76,60.85,3.32,41.62,439.43
SPRC,2026-02-27,45.32,22.21,67.53,23.12,32.11,462.55
SPRC,2026-03-02,79.29,108.37,187.67,-29.08,25.84,433.47
SPRC,2026-03-04,197.75,140.48,338.23,57.26,40.98,490.73
SPRC,2026-03-05,149.54,124.04,273.58,25.50,44.66,516.23
SPRC,2026-03-06,150.33,100.69,251.02,49.65,30.71,565.88
SPRC,2026-03-09,96.82,150.27,247.09,-53.45,43.69,512.43
SPRC,2026-03-10,93.26,55.35,148.61,37.91,48.63,550.34
SPRC,2026-03-11,126.00,55.18,181.18,70.83,47.35,621.17
SPRC,2026-03-12,160.74,105.56,266.30,55.17,32.70,676.34
SPRC,2026-03-13,26.44,77.36,103.80,-50.91,32.21,625.43
SPRC,2026-03-16,204.83,273.15,477.98,-68.32,39.21,557.11
SPRC,2026-03-17,85.62,79.99,165.61,5.63,31.06,562.74
SPRC,2026-03-18,103.79,112.39,216.19,-8.60,36.95,554.14
SPRC,2026-03-19,71.63,55.44,127.07,16.20,29.21,570.34
SPRC,2026-03-20,62.61,61.51,124.12,1.09,45.17,571.43
SPRC,2026-03-23,40.52,38.09,78.61,2.43,32.29,573.86
SPRC,2026-03-24,87.40,77.01,164.41,10.40,33.15,584.26
SPRC,2026-03-25,56.29,47.00,103.29,9.30,33.79,593.56
SPRC,2026-03-26,104.15,85.81,189.95,18.34,23.28,611.90
SPRC,2026-03-27,119.44,35.10,154.55,84.34,31.90,696.24
SPRC,2026-03-30,107.91,98.12,206.03,9.79,31.03,706.03
SPRC,2026-03-31,41.56,119.43,160.99,-77.87,34.41,628.16
SPRC,2026-04-01,22.78,57.35,80.14,-34.57,28.46,593.59
SPRC,2026-04-02,43.78,70.14,113.91,-26.36,23.62,567.23
SPRC,2026-04-03,64.95,80.73,145.68,-15.78,25.06,551.45
SPRC,2026-04-07,152.24,51.07,203.31,101.17,29.61,652.62
SPRC,2026-04-08,30.97,30.79,61.77,0.18,23.99,652.80
SPRC,2026-04-09,22.69,38.85,61.54,-16.16,30.24,636.64
SPRC,2026-04-10,10.23,26.12,36.35,-15.88,34.19,620.76
SPRC,2026-04-16,108.50,135.31,243.80,-26.81,43.01,593.95
SPRC,2026-04-17,72.83,104.37,177.20,-31.54,39.81,562.41
SPRC,2026-04-20,33.51,25.26,58.76,8.25,29.09,570.66
SPRC,2026-04-21,98.51,39.09,137.60,59.42,24.59,630.08
