symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
STA,2026-01-05,14.66,4.28,18.94,10.37,17.36,10.37
STA,2026-01-06,29.78,5.90,35.68,23.88,18.46,34.25
STA,2026-01-07,14.65,16.43,31.07,-1.78,21.87,32.47
STA,2026-01-08,6.59,11.81,18.40,-5.22,18.54,27.25
STA,2026-01-09,6.01,9.76,15.77,-3.75,19.07,23.50
STA,2026-01-12,2.97,10.68,13.64,-7.71,21.10,15.79
STA,2026-01-13,11.42,9.18,20.60,2.23,22.10,18.02
STA,2026-01-14,7.00,5.37,12.37,1.64,18.48,19.66
STA,2026-01-15,9.10,6.02,15.12,3.09,19.11,22.75
STA,2026-01-16,9.26,5.06,14.32,4.20,21.79,26.95
STA,2026-01-19,10.26,5.37,15.63,4.89,21.47,31.84
STA,2026-01-20,36.34,11.54,47.88,24.80,17.25,56.64
STA,2026-01-21,21.48,9.08,30.56,12.40,18.11,69.04
STA,2026-01-22,46.59,16.77,63.36,29.82,22.65,98.86
STA,2026-01-23,6.18,23.12,29.30,-16.94,29.29,81.92
STA,2026-01-26,12.26,29.91,42.17,-17.64,22.85,64.28
STA,2026-01-27,9.25,8.54,17.79,0.71,23.46,64.99
STA,2026-01-28,1.33,15.06,16.40,-13.73,15.09,51.26
STA,2026-01-29,14.85,14.82,29.67,0.03,23.74,51.29
STA,2026-01-30,13.96,32.27,46.23,-18.31,36.75,32.98
STA,2026-02-02,16.79,22.47,39.26,-5.68,31.32,27.30
STA,2026-02-03,17.89,10.87,28.75,7.02,32.75,34.32
STA,2026-02-04,14.46,7.31,21.77,7.16,21.93,41.48
STA,2026-02-05,25.94,13.25,39.19,12.69,26.13,54.17
STA,2026-02-06,1.99,10.10,12.10,-8.11,32.06,46.06
STA,2026-02-09,40.13,14.67,54.80,25.46,24.44,71.52
STA,2026-02-10,26.80,30.71,57.51,-3.92,25.97,67.60
STA,2026-02-11,23.96,27.73,51.70,-3.77,16.19,63.83
STA,2026-02-12,18.04,22.26,40.31,-4.22,16.38,59.61
STA,2026-02-13,18.11,49.38,67.48,-31.27,20.09,28.34
STA,2026-02-16,87.99,25.54,113.53,62.46,16.29,90.80
STA,2026-02-17,24.23,61.93,86.16,-37.71,14.14,53.09
STA,2026-02-18,23.16,12.70,35.87,10.46,11.26,63.55
STA,2026-02-19,9.71,36.02,45.73,-26.31,11.63,37.24
STA,2026-02-20,32.03,64.91,96.94,-32.89,11.84,4.35
STA,2026-02-23,65.84,52.43,118.27,13.40,18.78,17.75
STA,2026-02-24,76.60,53.28,129.88,23.32,21.19,41.07
STA,2026-02-25,65.85,72.06,137.92,-6.21,16.99,34.86
STA,2026-02-26,22.59,37.43,60.02,-14.84,24.23,20.02
STA,2026-02-27,9.68,26.71,36.39,-17.03,19.96,2.99
STA,2026-03-02,39.24,23.11,62.35,16.13,19.96,19.12
STA,2026-03-04,84.35,55.02,139.37,29.34,27.56,48.46
STA,2026-03-05,41.99,33.63,75.62,8.36,27.34,56.82
STA,2026-03-06,241.30,63.75,305.06,177.55,28.35,234.37
STA,2026-03-09,109.00,252.98,361.99,-143.98,24.67,90.39
STA,2026-03-10,148.10,101.61,249.71,46.50,25.49,136.89
STA,2026-03-11,37.07,55.10,92.17,-18.02,34.27,118.87
STA,2026-03-12,126.26,71.25,197.51,55.01,26.04,173.88
STA,2026-03-13,66.73,59.39,126.13,7.34,32.80,181.22
STA,2026-03-16,87.52,86.20,173.72,1.32,26.77,182.54
STA,2026-03-17,45.82,79.40,125.22,-33.58,30.60,148.96
STA,2026-03-18,73.58,47.69,121.27,25.88,21.25,174.84
STA,2026-03-19,49.61,57.43,107.04,-7.81,23.00,167.03
STA,2026-03-20,237.39,281.31,518.71,-43.92,53.90,123.11
STA,2026-03-23,107.72,113.73,221.44,-6.01,23.89,117.10
STA,2026-03-24,143.09,128.61,271.70,14.47,27.67,131.57
STA,2026-03-25,68.88,65.82,134.70,3.06,32.97,134.63
STA,2026-03-26,68.36,78.95,147.31,-10.59,35.17,124.04
STA,2026-03-27,122.96,76.35,199.31,46.61,21.98,170.65
STA,2026-03-30,51.55,66.14,117.69,-14.59,32.61,156.06
STA,2026-03-31,77.69,60.96,138.65,16.73,32.97,172.79
STA,2026-04-01,142.08,44.77,186.85,97.31,27.25,270.10
STA,2026-04-02,57.35,84.10,141.45,-26.74,36.62,243.36
STA,2026-04-03,21.20,20.40,41.60,0.81,27.56,244.17
STA,2026-04-07,20.18,50.51,70.69,-30.33,27.37,213.84
STA,2026-04-08,27.59,30.06,57.65,-2.47,30.89,211.37
STA,2026-04-09,39.01,41.48,80.49,-2.46,35.67,208.91
STA,2026-04-10,21.25,30.82,52.07,-9.57,26.13,199.34
STA,2026-04-16,3.47,34.28,37.75,-30.81,34.06,168.53
STA,2026-04-17,8.52,22.18,30.70,-13.66,27.15,154.87
STA,2026-04-20,42.47,35.42,77.89,7.05,28.46,161.92
STA,2026-04-21,24.48,29.95,54.44,-5.47,16.99,156.45
