symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
STECON,2026-01-05,3.24,12.36,15.59,-9.12,10.95,-9.12
STECON,2026-01-06,9.47,13.87,23.34,-4.40,7.58,-13.52
STECON,2026-01-07,8.03,3.85,11.88,4.18,5.92,-9.34
STECON,2026-01-08,8.64,11.79,20.42,-3.15,6.49,-12.49
STECON,2026-01-09,3.48,7.00,10.49,-3.52,12.33,-16.01
STECON,2026-01-12,7.71,9.45,17.15,-1.74,12.22,-17.75
STECON,2026-01-13,10.10,10.66,20.76,-0.56,15.82,-18.31
STECON,2026-01-14,11.12,8.44,19.56,2.67,16.46,-15.64
STECON,2026-01-15,20.80,17.70,38.49,3.10,16.78,-12.54
STECON,2026-01-16,42.59,47.20,89.79,-4.60,11.08,-17.14
STECON,2026-01-19,3.42,10.19,13.61,-6.77,5.78,-23.91
STECON,2026-01-20,21.29,17.39,38.69,3.90,9.48,-20.01
STECON,2026-01-21,48.38,29.98,78.36,18.41,16.19,-1.60
STECON,2026-01-22,10.47,17.90,28.38,-7.43,10.70,-9.03
STECON,2026-01-23,6.92,8.25,15.17,-1.33,8.55,-10.36
STECON,2026-01-26,17.68,7.20,24.88,10.48,15.27,0.12
STECON,2026-01-27,11.43,4.30,15.73,7.14,7.29,7.26
STECON,2026-01-28,16.32,10.29,26.60,6.03,7.84,13.29
STECON,2026-01-29,12.27,18.88,31.15,-6.61,7.54,6.68
STECON,2026-01-30,7.72,7.95,15.67,-0.23,12.71,6.45
STECON,2026-02-02,22.22,18.42,40.64,3.80,13.20,10.25
STECON,2026-02-03,44.59,11.51,56.10,33.07,19.44,43.32
STECON,2026-02-04,15.73,32.24,47.96,-16.51,12.06,26.81
STECON,2026-02-05,16.99,19.17,36.16,-2.18,15.87,24.63
STECON,2026-02-06,5.35,23.77,29.12,-18.42,6.42,6.21
STECON,2026-02-09,200.83,91.68,292.51,109.15,13.73,115.36
STECON,2026-02-10,103.86,46.08,149.94,57.78,18.16,173.14
STECON,2026-02-11,85.25,88.83,174.09,-3.58,17.84,169.56
STECON,2026-02-12,86.34,28.09,114.43,58.25,18.98,227.81
STECON,2026-02-13,95.42,75.98,171.39,19.44,16.49,247.25
STECON,2026-02-16,38.42,19.18,57.61,19.24,19.71,266.49
STECON,2026-02-17,92.44,57.89,150.33,34.54,20.76,301.03
STECON,2026-02-18,38.27,41.91,80.18,-3.64,18.64,297.39
STECON,2026-02-19,28.83,33.39,62.23,-4.56,16.69,292.83
STECON,2026-02-20,72.33,41.36,113.69,30.97,22.38,323.80
STECON,2026-02-23,75.13,24.52,99.65,50.60,21.87,374.40
STECON,2026-02-24,401.74,113.19,514.93,288.55,19.06,662.95
STECON,2026-02-25,133.78,181.32,315.09,-47.54,20.03,615.41
STECON,2026-02-26,134.79,107.32,242.11,27.47,22.42,642.88
STECON,2026-02-27,61.70,95.10,156.80,-33.40,17.39,609.48
STECON,2026-03-02,179.26,62.83,242.09,116.43,25.57,725.91
STECON,2026-03-04,259.30,267.90,527.20,-8.60,26.31,717.31
STECON,2026-03-05,110.06,244.57,354.63,-134.51,24.00,582.80
STECON,2026-03-06,102.63,140.10,242.73,-37.47,24.99,545.33
STECON,2026-03-09,201.58,120.66,322.24,80.92,31.18,626.25
STECON,2026-03-10,135.97,126.93,262.89,9.04,29.69,635.29
STECON,2026-03-11,14.34,101.36,115.69,-87.02,20.68,548.27
STECON,2026-03-12,115.31,85.64,200.95,29.67,24.76,577.94
STECON,2026-03-13,46.30,123.59,169.89,-77.28,21.37,500.66
STECON,2026-03-16,41.68,138.24,179.92,-96.55,18.39,404.11
STECON,2026-03-17,71.60,33.35,104.95,38.25,19.95,442.36
STECON,2026-03-18,170.66,124.53,295.19,46.14,23.58,488.50
STECON,2026-03-19,46.45,244.44,290.89,-197.99,17.59,290.51
STECON,2026-03-20,23.51,35.49,59.00,-11.98,18.64,278.53
STECON,2026-03-23,29.39,39.53,68.91,-10.14,16.96,268.39
STECON,2026-03-24,23.43,35.72,59.14,-12.29,24.26,256.10
STECON,2026-03-25,50.67,21.89,72.57,28.78,12.52,284.88
STECON,2026-03-26,23.89,38.73,62.62,-14.84,21.51,270.04
STECON,2026-03-27,3.83,24.15,27.98,-20.31,13.68,249.73
STECON,2026-03-30,29.66,11.53,41.19,18.13,20.59,267.86
STECON,2026-03-31,61.99,48.44,110.43,13.55,19.74,281.41
STECON,2026-04-01,430.54,94.41,524.96,336.13,17.30,617.54
STECON,2026-04-02,79.88,120.10,199.98,-40.22,17.61,577.32
STECON,2026-04-03,37.86,160.52,198.38,-122.66,27.35,454.66
STECON,2026-04-07,25.83,46.99,72.82,-21.15,16.39,433.51
STECON,2026-04-08,88.51,35.06,123.57,53.44,16.52,486.95
STECON,2026-04-09,28.39,163.00,191.39,-134.60,15.93,352.35
STECON,2026-04-10,23.30,62.39,85.69,-39.10,22.50,313.25
STECON,2026-04-16,97.56,43.96,141.53,53.60,17.17,366.85
STECON,2026-04-17,28.32,42.40,70.72,-14.08,18.86,352.77
STECON,2026-04-20,7.23,44.23,51.45,-37.00,21.75,315.77
STECON,2026-04-21,112.42,20.12,132.54,92.30,20.23,408.07
