symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
STGT,2026-01-05,9.37,10.11,19.48,-0.74,23.73,-0.74
STGT,2026-01-06,6.14,6.99,13.13,-0.85,14.08,-1.59
STGT,2026-01-07,1.93,5.84,7.77,-3.92,14.38,-5.51
STGT,2026-01-08,4.66,3.10,7.76,1.56,10.74,-3.95
STGT,2026-01-09,1.66,3.93,5.58,-2.27,14.99,-6.22
STGT,2026-01-12,1.43,4.16,5.59,-2.73,15.49,-8.95
STGT,2026-01-13,15.90,9.51,25.41,6.38,14.42,-2.57
STGT,2026-01-14,15.25,1.83,17.08,13.42,20.78,10.85
STGT,2026-01-15,9.41,3.37,12.78,6.04,13.90,16.89
STGT,2026-01-16,1.19,4.42,5.61,-3.23,14.11,13.66
STGT,2026-01-19,1.50,9.87,11.37,-8.37,14.38,5.29
STGT,2026-01-20,6.23,2.05,8.27,4.18,20.17,9.47
STGT,2026-01-21,4.04,3.24,7.29,0.80,16.45,10.27
STGT,2026-01-22,4.71,5.01,9.72,-0.30,23.62,9.97
STGT,2026-01-23,19.59,6.06,25.65,13.52,17.18,23.49
STGT,2026-01-26,5.75,11.06,16.81,-5.30,13.85,18.19
STGT,2026-01-27,2.22,3.73,5.96,-1.51,10.87,16.68
STGT,2026-01-28,4.52,6.48,11.00,-1.97,24.14,14.71
STGT,2026-01-29,4.03,4.56,8.59,-0.53,25.62,14.18
STGT,2026-01-30,20.01,12.49,32.50,7.52,17.59,21.70
STGT,2026-02-02,18.35,10.20,28.56,8.15,20.49,29.85
STGT,2026-02-03,7.60,4.70,12.30,2.89,22.47,32.74
STGT,2026-02-04,9.08,2.69,11.78,6.39,29.03,39.13
STGT,2026-02-05,2.82,14.48,17.30,-11.66,30.04,27.47
STGT,2026-02-06,3.01,4.85,7.86,-1.85,24.24,25.62
STGT,2026-02-09,8.16,10.03,18.19,-1.88,31.35,23.74
STGT,2026-02-10,9.29,5.88,15.17,3.41,20.27,27.15
STGT,2026-02-11,10.05,12.10,22.15,-2.05,18.25,25.10
STGT,2026-02-12,12.81,5.00,17.80,7.81,15.43,32.91
STGT,2026-02-13,7.39,27.82,35.20,-20.43,14.37,12.48
STGT,2026-02-16,0.34,23.94,24.28,-23.60,18.74,-11.12
STGT,2026-02-17,1.53,7.43,8.96,-5.91,11.47,-17.03
STGT,2026-02-18,0.43,7.57,8.00,-7.14,8.42,-24.17
STGT,2026-02-19,3.43,4.35,7.78,-0.92,10.42,-25.09
STGT,2026-02-20,1.92,8.31,10.23,-6.39,13.80,-31.48
STGT,2026-02-23,16.50,16.38,32.88,0.11,20.28,-31.37
STGT,2026-02-24,6.26,8.29,14.55,-2.03,11.15,-33.40
STGT,2026-02-25,6.91,6.32,13.23,0.59,10.65,-32.81
STGT,2026-02-26,2.99,4.16,7.15,-1.17,13.59,-33.98
STGT,2026-02-27,2.99,1.58,4.57,1.41,13.72,-32.57
STGT,2026-03-02,8.68,2.28,10.96,6.40,13.12,-26.17
STGT,2026-03-04,7.02,10.34,17.36,-3.32,16.92,-29.49
STGT,2026-03-05,6.64,6.42,13.06,0.23,11.45,-29.26
STGT,2026-03-06,99.03,11.91,110.94,87.12,20.09,57.86
STGT,2026-03-09,13.70,39.16,52.86,-25.47,15.22,32.39
STGT,2026-03-10,6.72,14.67,21.39,-7.95,18.41,24.44
STGT,2026-03-11,8.24,18.07,26.31,-9.83,17.52,14.61
STGT,2026-03-12,4.66,14.43,19.09,-9.77,18.14,4.84
STGT,2026-03-13,6.02,15.17,21.19,-9.15,22.25,-4.31
STGT,2026-03-16,7.01,10.99,18.00,-3.98,20.72,-8.29
STGT,2026-03-17,10.68,5.37,16.06,5.31,14.18,-2.98
STGT,2026-03-18,16.37,19.56,35.93,-3.20,7.56,-6.18
STGT,2026-03-19,15.76,31.91,47.67,-16.14,10.28,-22.32
STGT,2026-03-20,9.61,31.64,41.24,-22.03,15.03,-44.35
STGT,2026-03-23,14.46,16.15,30.60,-1.69,13.57,-46.04
STGT,2026-03-24,12.57,26.63,39.19,-14.06,12.84,-60.10
STGT,2026-03-25,2.79,4.77,7.55,-1.98,9.81,-62.08
STGT,2026-03-26,2.32,8.18,10.49,-5.86,13.76,-67.94
STGT,2026-03-27,90.24,15.32,105.57,74.92,18.30,6.98
STGT,2026-03-30,57.23,23.70,80.93,33.54,18.27,40.52
STGT,2026-03-31,47.40,8.11,55.51,39.29,20.30,79.81
STGT,2026-04-01,41.59,10.03,51.62,31.56,25.23,111.37
STGT,2026-04-02,62.48,9.83,72.32,52.65,30.14,164.02
STGT,2026-04-03,7.35,7.77,15.13,-0.42,16.53,163.60
STGT,2026-04-07,2.00,5.76,7.76,-3.75,10.28,159.85
STGT,2026-04-08,5.76,5.41,11.17,0.35,13.51,160.20
STGT,2026-04-09,7.66,6.39,14.05,1.27,16.09,161.47
STGT,2026-04-10,13.09,8.35,21.44,4.74,13.69,166.21
STGT,2026-04-16,7.52,11.94,19.45,-4.42,26.89,161.79
STGT,2026-04-17,0.54,3.25,3.79,-2.71,14.93,159.08
STGT,2026-04-20,0.30,6.35,6.65,-6.05,12.76,153.03
STGT,2026-04-21,1.75,1.81,3.55,-0.06,8.95,152.97
