symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TASCO,2026-01-05,124.29,22.98,147.28,101.31,12.57,101.31
TASCO,2026-01-06,36.56,17.45,54.02,19.11,13.56,120.42
TASCO,2026-01-07,19.00,30.77,49.76,-11.77,14.73,108.65
TASCO,2026-01-08,13.44,64.21,77.65,-50.77,20.87,57.88
TASCO,2026-01-09,7.04,24.18,31.22,-17.14,24.18,40.74
TASCO,2026-01-12,5.85,18.85,24.70,-13.00,28.89,27.74
TASCO,2026-01-13,11.41,27.75,39.16,-16.34,19.64,11.40
TASCO,2026-01-14,4.97,1.43,6.40,3.54,10.84,14.94
TASCO,2026-01-15,11.22,14.22,25.44,-3.01,25.31,11.93
TASCO,2026-01-16,3.25,4.58,7.83,-1.33,14.69,10.60
TASCO,2026-01-19,13.86,9.35,23.21,4.51,23.26,15.11
TASCO,2026-01-20,2.34,7.66,10.00,-5.31,10.57,9.80
TASCO,2026-01-21,7.16,2.51,9.67,4.65,12.79,14.45
TASCO,2026-01-22,5.40,7.97,13.37,-2.56,14.91,11.89
TASCO,2026-01-23,1.11,1.03,2.14,0.08,10.48,11.97
TASCO,2026-01-26,9.26,10.67,19.93,-1.41,13.80,10.56
TASCO,2026-01-27,2.37,9.36,11.73,-6.99,13.31,3.57
TASCO,2026-01-28,2.99,7.86,10.85,-4.87,11.03,-1.30
TASCO,2026-01-29,0.05,1.92,1.97,-1.86,9.83,-3.16
TASCO,2026-01-30,0.38,5.64,6.02,-5.26,11.35,-8.42
TASCO,2026-02-02,1.55,10.40,11.95,-8.85,9.80,-17.27
TASCO,2026-02-03,5.75,9.94,15.69,-4.19,8.21,-21.46
TASCO,2026-02-04,2.23,2.50,4.73,-0.27,4.12,-21.73
TASCO,2026-02-05,8.17,0.93,9.10,7.24,11.29,-14.49
TASCO,2026-02-06,3.57,13.16,16.73,-9.60,16.96,-24.09
TASCO,2026-02-09,15.00,8.05,23.05,6.95,13.85,-17.14
TASCO,2026-02-10,6.41,2.71,9.12,3.70,8.10,-13.44
TASCO,2026-02-11,4.23,4.00,8.23,0.24,7.92,-13.20
TASCO,2026-02-12,29.91,16.17,46.08,13.74,13.90,0.54
TASCO,2026-02-13,33.52,36.98,70.50,-3.46,23.31,-2.92
TASCO,2026-02-16,12.72,20.79,33.52,-8.07,22.18,-10.99
TASCO,2026-02-17,18.93,9.70,28.63,9.23,15.35,-1.76
TASCO,2026-02-18,46.33,25.43,71.76,20.89,29.10,19.13
TASCO,2026-02-19,35.64,14.98,50.62,20.66,19.89,39.79
TASCO,2026-02-20,15.11,50.60,65.72,-35.49,12.07,4.30
TASCO,2026-02-23,15.70,18.09,33.79,-2.40,15.09,1.90
TASCO,2026-02-24,6.84,10.91,17.75,-4.07,20.90,-2.17
TASCO,2026-02-25,14.17,11.27,25.44,2.90,9.81,0.73
TASCO,2026-02-26,8.83,25.43,34.27,-16.60,17.62,-15.87
TASCO,2026-02-27,0.52,9.95,10.48,-9.43,11.01,-25.30
TASCO,2026-03-02,2.07,22.81,24.88,-20.73,10.28,-46.03
TASCO,2026-03-04,6.04,23.94,29.98,-17.89,8.65,-63.92
TASCO,2026-03-05,5.34,6.30,11.64,-0.96,13.63,-64.88
TASCO,2026-03-06,2.23,4.75,6.98,-2.52,11.37,-67.40
TASCO,2026-03-09,3.46,6.24,9.70,-2.78,8.07,-70.18
TASCO,2026-03-10,3.45,9.26,12.71,-5.81,16.31,-75.99
TASCO,2026-03-11,2.63,3.34,5.96,-0.71,9.78,-76.70
TASCO,2026-03-12,0.93,5.78,6.72,-4.85,13.28,-81.55
TASCO,2026-03-13,0.74,1.00,1.74,-0.27,4.35,-81.82
TASCO,2026-03-16,4.43,2.81,7.25,1.62,12.85,-80.20
TASCO,2026-03-17,4.82,4.79,9.61,0.03,15.93,-80.17
TASCO,2026-03-18,5.89,8.79,14.68,-2.90,24.17,-83.07
TASCO,2026-03-19,4.92,13.96,18.88,-9.04,15.56,-92.11
TASCO,2026-03-20,4.09,3.76,7.84,0.33,18.09,-91.78
TASCO,2026-03-23,1.70,6.92,8.63,-5.22,11.92,-97.00
TASCO,2026-03-24,0.80,1.17,1.97,-0.37,4.22,-97.37
TASCO,2026-03-25,4.50,3.74,8.24,0.76,7.77,-96.61
TASCO,2026-03-26,5.92,16.34,22.26,-10.42,31.44,-107.03
TASCO,2026-03-27,10.75,1.16,11.91,9.60,12.46,-97.43
TASCO,2026-03-30,3.44,0.79,4.23,2.65,7.99,-94.78
TASCO,2026-03-31,1.85,2.10,3.95,-0.25,9.29,-95.03
TASCO,2026-04-01,0.51,2.49,3.00,-1.97,5.82,-97.00
TASCO,2026-04-02,0.41,1.96,2.37,-1.55,4.36,-98.55
TASCO,2026-04-03,11.89,8.73,20.62,3.16,16.89,-95.39
TASCO,2026-04-07,2.98,9.40,12.37,-6.42,4.37,-101.81
TASCO,2026-04-08,5.33,6.09,11.42,-0.76,9.88,-102.57
TASCO,2026-04-09,3.66,2.84,6.50,0.81,8.82,-101.76
TASCO,2026-04-10,0.44,1.12,1.57,-0.68,2.69,-102.44
TASCO,2026-04-16,3.62,1.25,4.87,2.37,7.34,-100.07
TASCO,2026-04-17,6.09,3.20,9.29,2.89,11.47,-97.18
TASCO,2026-04-20,0.06,1.38,1.44,-1.32,9.30,-98.50
TASCO,2026-04-21,0.39,4.16,4.56,-3.77,11.06,-102.27
