symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TCAP,2026-01-05,77.68,30.80,108.48,46.88,26.12,46.88
TCAP,2026-01-06,39.81,48.04,87.85,-8.24,33.48,38.64
TCAP,2026-01-07,62.14,64.23,126.37,-2.10,38.25,36.54
TCAP,2026-01-08,42.68,30.05,72.73,12.64,29.84,49.18
TCAP,2026-01-09,32.57,35.72,68.29,-3.16,29.91,46.02
TCAP,2026-01-12,18.17,12.82,30.99,5.35,38.03,51.37
TCAP,2026-01-13,43.64,49.99,93.63,-6.35,28.83,45.02
TCAP,2026-01-14,22.02,45.53,67.55,-23.51,35.53,21.51
TCAP,2026-01-15,54.44,67.84,122.28,-13.40,35.08,8.11
TCAP,2026-01-16,44.31,24.31,68.61,20.00,32.74,28.11
TCAP,2026-01-19,23.02,24.57,47.59,-1.55,26.83,26.56
TCAP,2026-01-20,32.35,40.70,73.05,-8.36,28.61,18.20
TCAP,2026-01-21,59.64,59.99,119.63,-0.35,33.38,17.85
TCAP,2026-01-22,49.54,64.83,114.38,-15.29,41.05,2.56
TCAP,2026-01-23,96.26,61.04,157.30,35.22,36.56,37.78
TCAP,2026-01-26,79.00,61.22,140.22,17.78,45.26,55.56
TCAP,2026-01-27,167.57,59.33,226.90,108.23,39.92,163.79
TCAP,2026-01-28,52.71,34.54,87.25,18.17,43.31,181.96
TCAP,2026-01-29,66.69,41.58,108.27,25.10,48.61,207.06
TCAP,2026-01-30,167.67,158.58,326.25,9.08,65.92,216.14
TCAP,2026-02-02,52.32,145.16,197.47,-92.84,27.65,123.30
TCAP,2026-02-03,47.24,73.68,120.92,-26.45,29.97,96.85
TCAP,2026-02-04,44.78,53.08,97.86,-8.29,28.60,88.56
TCAP,2026-02-05,76.87,30.46,107.33,46.40,38.05,134.96
TCAP,2026-02-06,35.88,39.39,75.27,-3.52,56.45,131.44
TCAP,2026-02-09,78.64,76.09,154.74,2.55,38.77,133.99
TCAP,2026-02-10,53.11,92.39,145.50,-39.28,37.97,94.71
TCAP,2026-02-11,73.58,74.20,147.78,-0.62,39.16,94.09
TCAP,2026-02-12,78.96,76.21,155.16,2.75,42.25,96.84
TCAP,2026-02-13,47.52,61.44,108.95,-13.92,35.16,82.92
TCAP,2026-02-16,61.79,33.12,94.91,28.67,34.52,111.59
TCAP,2026-02-17,69.33,52.47,121.80,16.86,28.15,128.45
TCAP,2026-02-18,90.46,80.80,171.26,9.66,25.32,138.11
TCAP,2026-02-19,58.06,81.67,139.73,-23.62,31.13,114.49
TCAP,2026-02-20,113.02,63.54,176.57,49.48,37.67,163.97
TCAP,2026-02-23,120.01,142.04,262.05,-22.03,51.18,141.94
TCAP,2026-02-24,80.19,104.09,184.28,-23.91,37.85,118.03
TCAP,2026-02-25,117.76,113.63,231.39,4.12,44.87,122.15
TCAP,2026-02-26,101.32,65.66,166.99,35.66,43.80,157.81
TCAP,2026-02-27,66.02,42.34,108.36,23.68,28.52,181.49
TCAP,2026-03-02,74.58,101.07,175.64,-26.49,32.75,155.00
TCAP,2026-03-04,137.59,120.71,258.30,16.88,31.10,171.88
TCAP,2026-03-05,131.81,112.41,244.21,19.40,45.25,191.28
TCAP,2026-03-06,62.18,73.50,135.68,-11.31,43.68,179.97
TCAP,2026-03-09,89.77,154.64,244.41,-64.87,44.71,115.10
TCAP,2026-03-10,81.29,97.22,178.51,-15.93,49.10,99.17
TCAP,2026-03-11,44.76,86.04,130.80,-41.28,45.62,57.89
TCAP,2026-03-12,72.01,100.17,172.18,-28.16,43.66,29.73
TCAP,2026-03-13,67.43,82.37,149.80,-14.93,48.34,14.80
TCAP,2026-03-16,57.88,95.27,153.15,-37.39,47.01,-22.59
TCAP,2026-03-17,31.88,53.75,85.63,-21.87,45.58,-44.46
TCAP,2026-03-18,53.69,70.56,124.25,-16.87,43.77,-61.33
TCAP,2026-03-19,82.08,101.58,183.66,-19.50,47.41,-80.83
TCAP,2026-03-20,107.42,156.65,264.07,-49.23,65.22,-130.06
TCAP,2026-03-23,81.91,72.40,154.31,9.52,36.02,-120.54
TCAP,2026-03-24,82.04,65.73,147.77,16.30,45.30,-104.24
TCAP,2026-03-25,45.40,57.78,103.18,-12.38,39.78,-116.62
TCAP,2026-03-26,82.09,75.41,157.50,6.68,45.16,-109.94
TCAP,2026-03-27,56.95,56.84,113.79,0.11,46.65,-109.83
TCAP,2026-03-30,28.73,53.20,81.93,-24.47,50.70,-134.30
TCAP,2026-03-31,64.88,67.40,132.28,-2.51,45.54,-136.81
TCAP,2026-04-01,65.13,65.71,130.83,-0.58,37.25,-137.39
TCAP,2026-04-02,29.70,35.11,64.81,-5.41,32.18,-142.80
TCAP,2026-04-03,25.97,40.12,66.08,-14.15,42.67,-156.95
TCAP,2026-04-07,41.35,40.41,81.76,0.94,33.33,-156.01
TCAP,2026-04-08,48.94,44.75,93.68,4.19,33.53,-151.82
TCAP,2026-04-09,26.23,58.87,85.10,-32.64,39.51,-184.46
TCAP,2026-04-10,18.30,55.65,73.95,-37.35,26.50,-221.81
TCAP,2026-04-16,48.60,80.85,129.45,-32.24,30.44,-254.05
TCAP,2026-04-17,30.13,61.01,91.14,-30.88,41.69,-284.93
TCAP,2026-04-20,55.74,44.92,100.66,10.83,48.74,-274.10
TCAP,2026-04-21,73.71,37.07,110.78,36.64,40.79,-237.46
