symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TFG,2026-01-05,29.85,66.52,96.37,-36.67,23.65,-36.67
TFG,2026-01-06,16.18,77.80,93.98,-61.61,31.67,-98.28
TFG,2026-01-07,13.04,37.49,50.53,-24.46,21.15,-122.74
TFG,2026-01-08,10.16,33.10,43.27,-22.94,15.09,-145.68
TFG,2026-01-09,56.32,35.42,91.75,20.90,20.81,-124.78
TFG,2026-01-12,19.17,47.51,66.67,-28.34,24.79,-153.12
TFG,2026-01-13,19.09,44.22,63.31,-25.14,21.83,-178.26
TFG,2026-01-14,8.92,23.00,31.91,-14.08,31.74,-192.34
TFG,2026-01-15,20.27,23.26,43.53,-2.99,24.96,-195.33
TFG,2026-01-16,21.47,23.48,44.95,-2.01,32.18,-197.34
TFG,2026-01-19,14.82,18.78,33.60,-3.96,17.49,-201.30
TFG,2026-01-20,17.60,18.00,35.60,-0.40,25.01,-201.70
TFG,2026-01-21,15.44,32.48,47.91,-17.04,31.79,-218.74
TFG,2026-01-22,21.70,44.45,66.16,-22.75,29.76,-241.49
TFG,2026-01-23,11.67,27.64,39.31,-15.98,33.25,-257.47
TFG,2026-01-26,13.54,18.11,31.65,-4.56,29.56,-262.03
TFG,2026-01-27,15.92,21.01,36.92,-5.09,29.50,-267.12
TFG,2026-01-28,9.91,31.39,41.30,-21.49,32.33,-288.61
TFG,2026-01-29,23.87,11.58,35.45,12.30,19.43,-276.31
TFG,2026-01-30,24.00,16.00,40.00,8.01,12.36,-268.30
TFG,2026-02-02,21.81,13.67,35.47,8.14,22.44,-260.16
TFG,2026-02-03,30.28,4.59,34.87,25.69,24.36,-234.47
TFG,2026-02-04,11.66,10.78,22.44,0.88,20.40,-233.59
TFG,2026-02-05,11.88,3.39,15.27,8.49,17.95,-225.10
TFG,2026-02-06,7.92,12.74,20.66,-4.82,26.38,-229.92
TFG,2026-02-09,31.41,8.75,40.15,22.66,27.94,-207.26
TFG,2026-02-10,13.71,19.66,33.37,-5.95,21.36,-213.21
TFG,2026-02-11,14.66,22.10,36.76,-7.45,28.71,-220.66
TFG,2026-02-12,63.82,43.24,107.06,20.58,25.44,-200.08
TFG,2026-02-13,18.87,9.77,28.64,9.11,15.41,-190.97
TFG,2026-02-16,32.49,22.26,54.75,10.23,26.61,-180.74
TFG,2026-02-17,53.43,14.95,68.37,38.48,33.34,-142.26
TFG,2026-02-18,65.84,19.00,84.84,46.84,29.36,-95.42
TFG,2026-02-19,98.21,39.79,138.00,58.41,25.33,-37.01
TFG,2026-02-20,39.93,30.47,70.40,9.46,28.86,-27.55
TFG,2026-02-23,78.90,45.10,124.00,33.79,35.33,6.24
TFG,2026-02-24,169.04,18.68,187.72,150.37,38.02,156.61
TFG,2026-02-25,43.23,50.85,94.09,-7.62,37.69,148.99
TFG,2026-02-26,194.59,108.11,302.70,86.47,52.25,235.46
TFG,2026-02-27,177.00,30.25,207.25,146.76,33.82,382.22
TFG,2026-03-02,319.89,154.78,474.67,165.11,55.66,547.33
TFG,2026-03-04,274.22,183.96,458.18,90.25,52.38,637.58
TFG,2026-03-05,221.43,193.84,415.28,27.59,57.78,665.17
TFG,2026-03-06,71.72,41.38,113.10,30.33,43.76,695.50
TFG,2026-03-09,212.76,128.16,340.92,84.61,58.55,780.11
TFG,2026-03-10,229.30,139.98,369.28,89.32,49.50,869.43
TFG,2026-03-11,130.68,79.71,210.38,50.97,34.05,920.40
TFG,2026-03-12,112.02,56.78,168.79,55.24,28.00,975.64
TFG,2026-03-13,73.79,30.28,104.07,43.50,23.45,1019.14
TFG,2026-03-16,46.30,37.98,84.28,8.32,35.48,1027.46
TFG,2026-03-17,68.08,53.16,121.24,14.92,32.45,1042.38
TFG,2026-03-18,195.13,41.86,236.99,153.27,32.92,1195.65
TFG,2026-03-19,74.01,97.30,171.30,-23.29,35.78,1172.36
TFG,2026-03-20,478.49,491.07,969.56,-12.58,67.75,1159.78
TFG,2026-03-23,84.20,80.55,164.75,3.65,43.60,1163.43
TFG,2026-03-24,43.20,35.31,78.50,7.89,45.97,1171.32
TFG,2026-03-25,224.59,25.17,249.76,199.42,30.03,1370.74
TFG,2026-03-26,218.71,115.81,334.52,102.89,34.85,1473.63
TFG,2026-03-27,245.78,119.50,365.28,126.27,42.37,1599.90
TFG,2026-03-30,69.11,63.25,132.35,5.86,34.31,1605.76
TFG,2026-03-31,179.05,71.05,250.10,108.00,32.91,1713.76
TFG,2026-04-01,104.21,37.39,141.60,66.82,31.84,1780.58
TFG,2026-04-02,282.97,92.53,375.50,190.45,31.61,1971.03
TFG,2026-04-03,29.32,62.63,91.95,-33.31,28.81,1937.72
TFG,2026-04-07,46.03,68.14,114.16,-22.11,28.85,1915.61
TFG,2026-04-08,56.62,57.06,113.69,-0.44,30.71,1915.17
TFG,2026-04-09,82.05,40.23,122.29,41.82,29.48,1956.99
TFG,2026-04-10,92.78,25.40,118.18,67.38,34.06,2024.37
TFG,2026-04-16,104.38,70.02,174.40,34.37,37.55,2058.74
TFG,2026-04-17,55.04,101.77,156.80,-46.73,36.35,2012.01
TFG,2026-04-20,46.07,36.52,82.59,9.55,43.13,2021.56
TFG,2026-04-21,91.17,26.14,117.31,65.04,30.22,2086.60
