symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TIDLOR,2026-01-05,54.91,67.31,122.22,-12.40,26.12,-12.40
TIDLOR,2026-01-06,107.15,31.32,138.47,75.84,34.05,63.44
TIDLOR,2026-01-07,37.69,23.83,61.52,13.87,23.86,77.31
TIDLOR,2026-01-08,35.29,29.01,64.29,6.28,25.17,83.59
TIDLOR,2026-01-09,48.89,42.34,91.22,6.55,26.02,90.14
TIDLOR,2026-01-12,53.11,31.18,84.29,21.92,43.48,112.06
TIDLOR,2026-01-13,172.82,72.96,245.77,99.86,33.95,211.92
TIDLOR,2026-01-14,97.66,27.57,125.24,70.09,40.61,282.01
TIDLOR,2026-01-15,119.71,72.54,192.26,47.17,32.86,329.18
TIDLOR,2026-01-16,31.74,84.46,116.20,-52.73,34.57,276.45
TIDLOR,2026-01-19,39.79,78.07,117.86,-38.28,32.42,238.17
TIDLOR,2026-01-20,63.99,119.03,183.03,-55.04,32.93,183.13
TIDLOR,2026-01-21,52.63,73.38,126.01,-20.75,33.06,162.38
TIDLOR,2026-01-22,48.40,64.77,113.17,-16.38,28.02,146.00
TIDLOR,2026-01-23,66.93,34.07,101.00,32.86,38.73,178.86
TIDLOR,2026-01-26,39.92,32.09,72.01,7.83,38.76,186.69
TIDLOR,2026-01-27,91.44,44.88,136.31,46.56,44.14,233.25
TIDLOR,2026-01-28,19.51,25.95,45.46,-6.44,27.02,226.81
TIDLOR,2026-01-29,17.21,20.77,37.98,-3.56,30.71,223.25
TIDLOR,2026-01-30,20.27,40.93,61.19,-20.66,21.57,202.59
TIDLOR,2026-02-02,44.85,42.93,87.78,1.92,25.60,204.51
TIDLOR,2026-02-03,85.02,47.10,132.13,37.92,36.81,242.43
TIDLOR,2026-02-04,31.18,66.91,98.09,-35.73,38.51,206.70
TIDLOR,2026-02-05,71.14,50.08,121.21,21.06,27.25,227.76
TIDLOR,2026-02-06,44.09,77.01,121.10,-32.92,34.15,194.84
TIDLOR,2026-02-09,127.78,144.45,272.23,-16.68,29.96,178.16
TIDLOR,2026-02-10,47.62,48.74,96.36,-1.12,30.38,177.04
TIDLOR,2026-02-11,21.17,44.56,65.73,-23.39,33.20,153.65
TIDLOR,2026-02-12,58.22,46.87,105.08,11.35,21.61,165.00
TIDLOR,2026-02-13,56.96,34.02,90.98,22.94,30.02,187.94
TIDLOR,2026-02-16,48.48,44.26,92.74,4.23,22.51,192.17
TIDLOR,2026-02-17,65.56,22.98,88.53,42.58,18.03,234.75
TIDLOR,2026-02-18,123.07,60.64,183.71,62.44,26.82,297.19
TIDLOR,2026-02-19,225.23,270.44,495.67,-45.20,28.71,251.99
TIDLOR,2026-02-20,163.16,145.05,308.21,18.11,43.74,270.10
TIDLOR,2026-02-23,43.14,119.16,162.30,-76.02,23.33,194.08
TIDLOR,2026-02-24,57.26,74.31,131.58,-17.05,30.98,177.03
TIDLOR,2026-02-25,203.76,174.36,378.11,29.40,24.45,206.43
TIDLOR,2026-02-26,88.30,132.55,220.85,-44.25,38.84,162.18
TIDLOR,2026-02-27,44.26,120.56,164.82,-76.29,40.65,85.89
TIDLOR,2026-03-02,56.85,64.52,121.37,-7.67,15.70,78.22
TIDLOR,2026-03-04,101.95,192.28,294.23,-90.33,26.16,-12.11
TIDLOR,2026-03-05,117.39,245.06,362.46,-127.67,39.17,-139.78
TIDLOR,2026-03-06,52.30,104.91,157.20,-52.61,40.06,-192.39
TIDLOR,2026-03-09,142.09,234.78,376.87,-92.70,44.42,-285.09
TIDLOR,2026-03-10,87.18,143.59,230.77,-56.40,48.27,-341.49
TIDLOR,2026-03-11,59.06,99.70,158.76,-40.64,34.52,-382.13
TIDLOR,2026-03-12,49.72,104.73,154.45,-55.01,34.96,-437.14
TIDLOR,2026-03-13,39.80,77.75,117.55,-37.94,22.54,-475.08
TIDLOR,2026-03-16,32.41,34.15,66.57,-1.74,22.24,-476.82
TIDLOR,2026-03-17,50.19,119.67,169.85,-69.48,25.70,-546.30
TIDLOR,2026-03-18,18.50,71.59,90.09,-53.09,13.82,-599.39
TIDLOR,2026-03-19,80.84,111.28,192.12,-30.44,20.21,-629.83
TIDLOR,2026-03-20,90.60,194.24,284.84,-103.65,39.32,-733.48
TIDLOR,2026-03-23,139.07,140.74,279.81,-1.67,24.20,-735.15
TIDLOR,2026-03-24,136.20,135.83,272.03,0.36,36.90,-734.79
TIDLOR,2026-03-25,157.92,292.47,450.39,-134.55,32.18,-869.34
TIDLOR,2026-03-26,42.96,144.74,187.70,-101.78,19.95,-971.12
TIDLOR,2026-03-27,93.15,133.10,226.25,-39.94,30.22,-1011.06
TIDLOR,2026-03-30,127.71,110.45,238.16,17.26,30.21,-993.80
TIDLOR,2026-03-31,116.29,104.12,220.41,12.17,30.38,-981.63
TIDLOR,2026-04-01,120.11,180.05,300.16,-59.94,22.30,-1041.57
TIDLOR,2026-04-02,45.31,105.93,151.24,-60.62,28.32,-1102.19
TIDLOR,2026-04-03,24.58,39.85,64.43,-15.27,17.11,-1117.46
TIDLOR,2026-04-07,93.09,73.67,166.76,19.41,10.62,-1098.05
TIDLOR,2026-04-08,151.90,46.96,198.87,104.94,17.04,-993.11
TIDLOR,2026-04-09,35.83,56.69,92.52,-20.86,17.85,-1013.97
TIDLOR,2026-04-10,22.81,27.61,50.42,-4.79,22.70,-1018.76
TIDLOR,2026-04-16,44.11,116.40,160.50,-72.29,27.01,-1091.05
TIDLOR,2026-04-17,25.11,64.66,89.77,-39.56,30.62,-1130.61
TIDLOR,2026-04-20,129.56,150.91,280.47,-21.35,23.79,-1151.96
TIDLOR,2026-04-21,136.58,113.57,250.16,23.01,11.51,-1128.95
