symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TISCO,2026-01-05,203.78,143.52,347.31,60.26,30.91,60.26
TISCO,2026-01-06,58.32,140.27,198.60,-81.95,23.42,-21.69
TISCO,2026-01-07,87.57,239.57,327.14,-152.00,32.17,-173.69
TISCO,2026-01-08,142.85,157.40,300.25,-14.56,31.72,-188.25
TISCO,2026-01-09,53.97,191.71,245.68,-137.74,34.13,-325.99
TISCO,2026-01-12,48.33,112.45,160.78,-64.12,35.02,-390.11
TISCO,2026-01-13,87.00,184.29,271.30,-97.29,28.61,-487.40
TISCO,2026-01-14,96.08,230.86,326.94,-134.78,25.16,-622.18
TISCO,2026-01-15,215.97,82.87,298.84,133.10,33.23,-489.08
TISCO,2026-01-16,164.47,97.27,261.74,67.19,34.74,-421.89
TISCO,2026-01-19,64.72,154.03,218.76,-89.31,36.58,-511.20
TISCO,2026-01-20,98.28,166.43,264.71,-68.15,23.52,-579.35
TISCO,2026-01-21,229.54,213.06,442.60,16.48,30.61,-562.87
TISCO,2026-01-22,132.14,202.01,334.15,-69.86,31.14,-632.73
TISCO,2026-01-23,106.88,127.64,234.53,-20.76,39.12,-653.49
TISCO,2026-01-26,121.42,97.77,219.19,23.65,34.93,-629.84
TISCO,2026-01-27,226.47,144.07,370.54,82.40,39.52,-547.44
TISCO,2026-01-28,95.05,95.14,190.19,-0.10,39.98,-547.54
TISCO,2026-01-29,131.35,114.25,245.60,17.10,43.59,-530.44
TISCO,2026-01-30,376.18,292.31,668.49,83.87,74.14,-446.57
TISCO,2026-02-02,147.63,146.93,294.56,0.69,38.68,-445.88
TISCO,2026-02-03,155.13,103.51,258.64,51.62,35.18,-394.26
TISCO,2026-02-04,124.80,184.23,309.03,-59.44,22.98,-453.70
TISCO,2026-02-05,202.33,174.55,376.88,27.78,31.19,-425.92
TISCO,2026-02-06,100.55,117.52,218.07,-16.97,29.47,-442.89
TISCO,2026-02-09,211.35,147.16,358.51,64.20,36.62,-378.69
TISCO,2026-02-10,222.41,159.47,381.88,62.94,39.42,-315.75
TISCO,2026-02-11,108.91,151.78,260.70,-42.87,34.84,-358.62
TISCO,2026-02-12,154.17,303.75,457.91,-149.58,33.96,-508.20
TISCO,2026-02-13,249.89,127.02,376.91,122.87,32.99,-385.33
TISCO,2026-02-16,75.94,72.00,147.94,3.94,29.11,-381.39
TISCO,2026-02-17,294.69,143.18,437.88,151.51,33.35,-229.88
TISCO,2026-02-18,95.72,93.54,189.27,2.18,27.22,-227.70
TISCO,2026-02-19,267.29,274.23,541.52,-6.95,45.95,-234.65
TISCO,2026-02-20,113.63,124.82,238.45,-11.18,40.19,-245.83
TISCO,2026-02-23,358.41,308.84,667.24,49.57,42.97,-196.26
TISCO,2026-02-24,111.19,184.63,295.82,-73.44,43.42,-269.70
TISCO,2026-02-25,197.25,191.47,388.72,5.78,41.23,-263.92
TISCO,2026-02-26,174.18,143.90,318.08,30.29,47.15,-233.63
TISCO,2026-02-27,123.64,277.63,401.27,-153.98,29.72,-387.61
TISCO,2026-03-02,163.78,179.98,343.76,-16.20,27.60,-403.81
TISCO,2026-03-04,543.98,541.97,1085.95,2.01,31.27,-401.80
TISCO,2026-03-05,105.75,207.35,313.11,-101.60,29.74,-503.40
TISCO,2026-03-06,64.66,225.12,289.78,-160.46,34.80,-663.86
TISCO,2026-03-09,150.77,402.08,552.86,-251.31,32.11,-915.17
TISCO,2026-03-10,205.46,342.99,548.44,-137.53,46.73,-1052.70
TISCO,2026-03-11,183.82,277.93,461.75,-94.11,49.95,-1146.81
TISCO,2026-03-12,121.70,213.35,335.05,-91.65,47.57,-1238.46
TISCO,2026-03-13,77.25,79.77,157.02,-2.51,31.32,-1240.97
TISCO,2026-03-16,130.89,219.98,350.87,-89.08,33.44,-1330.05
TISCO,2026-03-17,87.20,66.05,153.25,21.15,27.41,-1308.90
TISCO,2026-03-18,161.65,108.32,269.96,53.33,31.76,-1255.57
TISCO,2026-03-19,320.03,200.45,520.48,119.57,43.47,-1136.00
TISCO,2026-03-20,368.81,485.12,853.93,-116.31,45.39,-1252.31
TISCO,2026-03-23,140.24,343.32,483.56,-203.07,36.60,-1455.38
TISCO,2026-03-24,338.27,248.16,586.43,90.11,42.78,-1365.27
TISCO,2026-03-25,141.31,173.29,314.60,-31.99,37.55,-1397.26
TISCO,2026-03-26,67.24,123.96,191.20,-56.72,25.43,-1453.98
TISCO,2026-03-27,148.66,166.30,314.96,-17.64,39.03,-1471.62
TISCO,2026-03-30,98.56,153.09,251.64,-54.53,31.87,-1526.15
TISCO,2026-03-31,88.81,76.37,165.18,12.44,37.06,-1513.71
TISCO,2026-04-01,179.75,137.94,317.69,41.82,33.00,-1471.89
TISCO,2026-04-02,274.85,241.08,515.93,33.77,46.31,-1438.12
TISCO,2026-04-03,34.65,6.45,41.10,28.20,23.89,-1409.92
TISCO,2026-04-07,330.80,185.06,515.86,145.74,30.11,-1264.18
TISCO,2026-04-08,123.89,121.01,244.91,2.88,29.46,-1261.30
TISCO,2026-04-09,163.37,149.46,312.83,13.92,41.12,-1247.38
TISCO,2026-04-10,61.72,77.28,139.01,-15.56,33.43,-1262.94
TISCO,2026-04-16,196.46,358.28,554.74,-161.82,31.59,-1424.76
TISCO,2026-04-17,130.39,252.37,382.77,-121.98,36.95,-1546.74
TISCO,2026-04-20,184.49,347.55,532.04,-163.06,33.88,-1709.80
TISCO,2026-04-21,190.41,169.72,360.13,20.69,31.24,-1689.11
