symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TLI,2026-01-05,36.40,110.32,146.72,-73.91,32.27,-73.91
TLI,2026-01-06,26.81,54.11,80.92,-27.29,30.85,-101.20
TLI,2026-01-07,32.12,46.25,78.37,-14.13,34.01,-115.33
TLI,2026-01-08,40.23,40.71,80.94,-0.47,36.22,-115.80
TLI,2026-01-09,78.26,59.05,137.31,19.21,25.29,-96.59
TLI,2026-01-12,26.04,76.97,103.01,-50.93,31.28,-147.52
TLI,2026-01-13,100.57,55.51,156.09,45.06,31.52,-102.46
TLI,2026-01-14,34.05,52.47,86.52,-18.42,31.94,-120.88
TLI,2026-01-15,41.63,58.27,99.90,-16.64,36.98,-137.52
TLI,2026-01-16,47.82,81.91,129.74,-34.09,29.28,-171.61
TLI,2026-01-19,33.30,66.17,99.46,-32.87,30.29,-204.48
TLI,2026-01-20,42.90,74.82,117.72,-31.92,33.26,-236.40
TLI,2026-01-21,87.37,119.46,206.83,-32.09,27.63,-268.49
TLI,2026-01-22,111.06,126.70,237.77,-15.64,29.64,-284.13
TLI,2026-01-23,69.06,50.14,119.20,18.92,34.53,-265.21
TLI,2026-01-26,134.74,68.98,203.71,65.76,23.74,-199.45
TLI,2026-01-27,86.60,56.43,143.03,30.17,35.20,-169.28
TLI,2026-01-28,89.55,74.93,164.48,14.63,19.99,-154.65
TLI,2026-01-29,45.27,39.87,85.13,5.40,41.06,-149.25
TLI,2026-01-30,56.66,27.37,84.03,29.30,29.29,-119.95
TLI,2026-02-02,36.75,50.73,87.48,-13.98,34.11,-133.93
TLI,2026-02-03,62.04,64.64,126.68,-2.60,26.22,-136.53
TLI,2026-02-04,157.12,28.91,186.03,128.21,40.40,-8.32
TLI,2026-02-05,47.52,36.02,83.54,11.49,39.52,3.17
TLI,2026-02-06,46.42,26.37,72.79,20.05,47.32,23.22
TLI,2026-02-09,154.69,28.92,183.61,125.77,36.58,148.99
TLI,2026-02-10,104.90,37.82,142.72,67.08,32.61,216.07
TLI,2026-02-11,61.26,28.54,89.80,32.71,33.67,248.78
TLI,2026-02-12,120.59,72.17,192.77,48.42,42.47,297.20
TLI,2026-02-13,45.83,29.37,75.20,16.46,32.20,313.66
TLI,2026-02-16,27.24,32.76,60.00,-5.52,44.08,308.14
TLI,2026-02-17,65.47,32.82,98.30,32.65,28.50,340.79
TLI,2026-02-18,44.71,36.15,80.85,8.56,30.06,349.35
TLI,2026-02-19,75.39,53.91,129.30,21.48,31.89,370.83
TLI,2026-02-20,61.74,42.02,103.76,19.72,30.42,390.55
TLI,2026-02-23,33.07,47.84,80.91,-14.77,30.18,375.78
TLI,2026-02-24,45.26,22.85,68.11,22.41,40.28,398.19
TLI,2026-02-25,38.87,55.56,94.43,-16.69,27.62,381.50
TLI,2026-02-26,33.36,23.03,56.39,10.33,31.56,391.83
TLI,2026-02-27,40.77,95.26,136.03,-54.49,25.18,337.34
TLI,2026-03-02,40.76,49.18,89.94,-8.43,27.71,328.91
TLI,2026-03-04,90.49,122.79,213.28,-32.31,29.15,296.60
TLI,2026-03-05,81.43,196.26,277.70,-114.83,42.03,181.77
TLI,2026-03-06,19.36,65.61,84.98,-46.25,40.36,135.52
TLI,2026-03-09,60.84,121.71,182.56,-60.87,40.26,74.65
TLI,2026-03-10,41.24,92.08,133.32,-50.84,45.34,23.81
TLI,2026-03-11,49.72,86.54,136.27,-36.82,42.16,-13.01
TLI,2026-03-12,43.73,78.39,122.13,-34.66,47.80,-47.67
TLI,2026-03-13,18.43,67.31,85.74,-48.88,35.11,-96.55
TLI,2026-03-16,14.08,28.05,42.12,-13.97,22.64,-110.52
TLI,2026-03-17,34.90,74.41,109.31,-39.52,30.12,-150.04
TLI,2026-03-18,13.75,31.93,45.68,-18.18,41.07,-168.22
TLI,2026-03-19,21.09,56.22,77.31,-35.13,38.43,-203.35
TLI,2026-03-20,58.29,67.38,125.66,-9.09,42.64,-212.44
TLI,2026-03-23,13.51,66.66,80.18,-53.15,25.49,-265.59
TLI,2026-03-24,24.18,21.78,45.96,2.40,22.06,-263.19
TLI,2026-03-25,30.72,25.61,56.34,5.11,33.85,-258.08
TLI,2026-03-26,21.71,22.24,43.95,-0.53,28.19,-258.61
TLI,2026-03-27,84.70,45.07,129.77,39.62,35.93,-218.99
TLI,2026-03-30,39.11,48.55,87.65,-9.44,45.80,-228.43
TLI,2026-03-31,53.58,45.03,98.60,8.55,25.50,-219.88
TLI,2026-04-01,64.50,61.35,125.84,3.15,36.30,-216.73
TLI,2026-04-02,39.76,47.78,87.54,-8.03,28.53,-224.76
TLI,2026-04-03,45.03,44.07,89.10,0.96,34.00,-223.80
TLI,2026-04-07,72.58,37.46,110.03,35.12,29.97,-188.68
TLI,2026-04-08,63.91,34.83,98.74,29.08,23.07,-159.60
TLI,2026-04-09,22.25,46.98,69.22,-24.73,37.82,-184.33
TLI,2026-04-10,13.52,7.14,20.66,6.39,25.86,-177.94
TLI,2026-04-16,16.06,11.59,27.64,4.47,15.88,-173.47
TLI,2026-04-17,23.84,50.94,74.78,-27.10,34.19,-200.57
TLI,2026-04-20,12.12,14.04,26.16,-1.92,30.10,-202.49
TLI,2026-04-21,23.28,8.22,31.49,15.06,26.19,-187.43
