symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TOA,2026-01-05,23.18,4.26,27.44,18.91,23.59,18.91
TOA,2026-01-06,12.85,11.08,23.94,1.77,37.00,20.68
TOA,2026-01-07,10.06,6.79,16.86,3.27,35.83,23.95
TOA,2026-01-08,11.49,3.82,15.31,7.66,40.21,31.61
TOA,2026-01-09,0.81,1.39,2.21,-0.58,25.97,31.03
TOA,2026-01-12,6.59,4.71,11.29,1.88,36.53,32.91
TOA,2026-01-13,4.28,8.20,12.48,-3.92,50.92,28.99
TOA,2026-01-14,3.93,11.36,15.29,-7.43,47.83,21.56
TOA,2026-01-15,4.64,6.54,11.18,-1.89,42.85,19.67
TOA,2026-01-16,3.26,5.25,8.51,-1.99,33.18,17.68
TOA,2026-01-19,2.48,3.91,6.39,-1.42,21.89,16.26
TOA,2026-01-20,6.15,2.63,8.78,3.52,35.71,19.78
TOA,2026-01-21,16.67,9.44,26.12,7.23,40.83,27.01
TOA,2026-01-22,8.34,6.72,15.05,1.62,30.40,28.63
TOA,2026-01-23,6.22,3.69,9.91,2.53,39.84,31.16
TOA,2026-01-26,4.84,2.53,7.37,2.30,28.67,33.46
TOA,2026-01-27,14.88,7.04,21.92,7.83,43.14,41.29
TOA,2026-01-28,10.65,9.92,20.57,0.73,41.01,42.02
TOA,2026-01-29,12.40,6.23,18.63,6.17,33.13,48.19
TOA,2026-01-30,9.14,6.40,15.55,2.74,35.51,50.93
TOA,2026-02-02,9.92,19.37,29.29,-9.45,27.35,41.48
TOA,2026-02-03,7.53,2.91,10.43,4.62,27.38,46.10
TOA,2026-02-04,8.08,2.25,10.32,5.83,30.55,51.93
TOA,2026-02-05,12.86,14.20,27.06,-1.34,42.73,50.59
TOA,2026-02-06,8.84,9.48,18.32,-0.64,48.60,49.95
TOA,2026-02-09,30.61,3.76,34.37,26.86,41.67,76.81
TOA,2026-02-10,7.87,7.36,15.22,0.51,43.69,77.32
TOA,2026-02-11,4.48,6.61,11.09,-2.13,36.46,75.19
TOA,2026-02-12,4.95,8.31,13.26,-3.36,34.71,71.83
TOA,2026-02-13,23.28,28.78,52.06,-5.49,26.61,66.34
TOA,2026-02-16,3.85,8.10,11.96,-4.25,24.02,62.09
TOA,2026-02-17,6.69,12.48,19.16,-5.79,24.15,56.30
TOA,2026-02-18,10.50,14.18,24.68,-3.67,15.24,52.63
TOA,2026-02-19,10.80,7.07,17.88,3.73,26.10,56.36
TOA,2026-02-20,7.97,3.71,11.68,4.26,23.44,60.62
TOA,2026-02-23,7.75,6.04,13.79,1.71,28.90,62.33
TOA,2026-02-24,18.68,7.13,25.81,11.55,36.09,73.88
TOA,2026-02-25,6.16,7.81,13.96,-1.65,29.29,72.23
TOA,2026-02-26,6.72,6.79,13.51,-0.08,30.04,72.15
TOA,2026-02-27,6.45,2.67,9.12,3.78,35.52,75.93
TOA,2026-03-02,77.78,8.35,86.13,69.42,28.43,145.35
TOA,2026-03-04,30.47,20.48,50.96,9.99,37.99,155.34
TOA,2026-03-05,18.66,20.26,38.92,-1.61,34.65,153.73
TOA,2026-03-06,27.54,8.99,36.53,18.56,45.80,172.29
TOA,2026-03-09,29.03,9.30,38.34,19.73,40.45,192.02
TOA,2026-03-10,20.31,37.43,57.73,-17.12,30.75,174.90
TOA,2026-03-11,17.00,25.07,42.08,-8.07,25.35,166.83
TOA,2026-03-12,19.97,14.03,34.00,5.95,19.41,172.78
TOA,2026-03-13,10.36,18.84,29.20,-8.48,17.01,164.30
TOA,2026-03-16,6.57,3.51,10.09,3.06,10.67,167.36
TOA,2026-03-17,5.98,5.97,11.94,0.01,19.34,167.37
TOA,2026-03-18,25.43,10.01,35.45,15.42,20.24,182.79
TOA,2026-03-19,4.89,14.31,19.21,-9.42,15.65,173.37
TOA,2026-03-20,3.53,7.98,11.51,-4.46,22.32,168.91
TOA,2026-03-23,2.04,5.61,7.65,-3.57,24.47,165.34
TOA,2026-03-24,6.14,4.61,10.75,1.53,32.02,166.87
TOA,2026-03-25,5.48,13.31,18.79,-7.83,18.40,159.04
TOA,2026-03-26,14.30,9.27,23.58,5.03,30.69,164.07
TOA,2026-03-27,8.55,5.06,13.61,3.49,32.19,167.56
TOA,2026-03-30,10.37,2.95,13.32,7.42,28.96,174.98
TOA,2026-03-31,11.73,8.10,19.82,3.63,25.58,178.61
TOA,2026-04-01,32.64,6.62,39.26,26.01,31.60,204.62
TOA,2026-04-02,9.48,3.66,13.14,5.82,28.17,210.44
TOA,2026-04-03,6.10,6.13,12.23,-0.03,22.14,210.41
TOA,2026-04-07,9.96,3.81,13.77,6.15,34.43,216.56
TOA,2026-04-08,26.92,8.90,35.82,18.03,26.99,234.59
TOA,2026-04-09,24.58,3.69,28.26,20.89,32.34,255.48
TOA,2026-04-10,3.19,3.05,6.24,0.15,24.21,255.63
TOA,2026-04-16,5.54,6.39,11.93,-0.85,24.90,254.78
TOA,2026-04-17,7.56,6.21,13.77,1.35,22.33,256.13
TOA,2026-04-20,8.19,3.54,11.73,4.64,40.41,260.77
TOA,2026-04-21,8.77,0.44,9.22,8.33,24.39,269.10
