symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TOP,2026-01-05,307.90,125.06,432.96,182.84,29.81,182.84
TOP,2026-01-06,593.18,109.89,703.07,483.29,26.98,666.13
TOP,2026-01-07,281.83,143.53,425.35,138.30,32.47,804.43
TOP,2026-01-08,152.29,125.81,278.10,26.48,41.23,830.91
TOP,2026-01-09,157.75,63.16,220.91,94.58,29.07,925.49
TOP,2026-01-12,204.81,111.17,315.98,93.64,37.46,1019.13
TOP,2026-01-13,184.21,145.43,329.64,38.78,36.55,1057.91
TOP,2026-01-14,153.20,179.28,332.48,-26.08,38.75,1031.83
TOP,2026-01-15,269.03,204.71,473.74,64.32,32.71,1096.15
TOP,2026-01-16,118.50,278.40,396.90,-159.90,35.53,936.25
TOP,2026-01-19,116.90,128.95,245.85,-12.06,34.61,924.19
TOP,2026-01-20,143.09,151.29,294.37,-8.20,29.26,915.99
TOP,2026-01-21,602.33,258.18,860.51,344.16,28.73,1260.15
TOP,2026-01-22,328.70,334.84,663.54,-6.14,39.96,1254.01
TOP,2026-01-23,209.08,143.72,352.79,65.36,33.04,1319.37
TOP,2026-01-26,163.13,226.84,389.96,-63.71,42.35,1255.66
TOP,2026-01-27,222.57,198.94,421.52,23.63,43.91,1279.29
TOP,2026-01-28,255.04,156.17,411.21,98.87,27.32,1378.16
TOP,2026-01-29,167.83,211.46,379.29,-43.63,39.62,1334.53
TOP,2026-01-30,152.06,144.84,296.91,7.22,33.75,1341.75
TOP,2026-02-02,207.09,193.24,400.33,13.86,24.30,1355.61
TOP,2026-02-03,234.74,189.34,424.08,45.41,39.48,1401.02
TOP,2026-02-04,451.59,148.99,600.58,302.61,25.71,1703.63
TOP,2026-02-05,575.74,295.72,871.46,280.02,38.84,1983.65
TOP,2026-02-06,540.95,271.68,812.62,269.27,41.42,2252.92
TOP,2026-02-09,334.64,272.10,606.75,62.54,37.31,2315.46
TOP,2026-02-10,762.72,404.46,1167.18,358.26,43.74,2673.72
TOP,2026-02-11,311.39,125.69,437.08,185.70,35.23,2859.42
TOP,2026-02-12,403.32,231.43,634.75,171.89,41.20,3031.31
TOP,2026-02-13,350.08,182.31,532.40,167.77,36.40,3199.08
TOP,2026-02-16,244.31,179.62,423.94,64.69,42.83,3263.77
TOP,2026-02-17,257.23,114.00,371.23,143.23,30.31,3407.00
TOP,2026-02-18,277.19,171.85,449.04,105.34,35.02,3512.34
TOP,2026-02-19,843.62,362.97,1206.59,480.66,39.58,3993.00
TOP,2026-02-20,284.18,188.17,472.36,96.01,41.28,4089.01
TOP,2026-02-23,283.62,337.57,621.19,-53.95,41.69,4035.06
TOP,2026-02-24,848.54,533.46,1382.00,315.08,40.93,4350.14
TOP,2026-02-25,463.33,428.34,891.67,34.99,38.45,4385.13
TOP,2026-02-26,383.86,234.81,618.67,149.06,32.74,4534.19
TOP,2026-02-27,612.10,391.26,1003.36,220.84,45.90,4755.03
TOP,2026-03-02,418.46,590.29,1008.75,-171.83,26.22,4583.20
TOP,2026-03-04,598.20,530.07,1128.28,68.13,33.17,4651.33
TOP,2026-03-05,458.28,631.59,1089.87,-173.31,45.59,4478.02
TOP,2026-03-06,342.37,424.06,766.43,-81.69,41.29,4396.33
TOP,2026-03-09,682.60,407.44,1090.04,275.16,38.92,4671.49
TOP,2026-03-10,322.45,359.46,681.91,-37.01,46.56,4634.48
TOP,2026-03-11,223.77,322.96,546.73,-99.18,45.86,4535.30
TOP,2026-03-12,403.48,476.84,880.32,-73.36,42.77,4461.94
TOP,2026-03-13,254.11,499.04,753.14,-244.93,38.40,4217.01
TOP,2026-03-16,281.16,324.22,605.39,-43.06,33.27,4173.95
TOP,2026-03-17,452.84,608.41,1061.25,-155.56,35.17,4018.39
TOP,2026-03-18,261.88,398.90,660.78,-137.03,29.10,3881.36
TOP,2026-03-19,443.09,456.18,899.27,-13.09,36.90,3868.27
TOP,2026-03-20,729.98,549.56,1279.54,180.41,42.24,4048.68
TOP,2026-03-23,293.61,310.47,604.09,-16.86,42.68,4031.82
TOP,2026-03-24,676.16,534.46,1210.63,141.70,40.05,4173.52
TOP,2026-03-25,352.37,383.27,735.65,-30.90,33.10,4142.62
TOP,2026-03-26,266.44,407.83,674.26,-141.39,31.76,4001.23
TOP,2026-03-27,262.45,296.59,559.05,-34.14,37.08,3967.09
TOP,2026-03-30,377.12,334.93,712.05,42.19,28.84,4009.28
TOP,2026-03-31,227.96,446.32,674.28,-218.37,27.96,3790.91
TOP,2026-04-01,203.03,255.38,458.42,-52.35,28.66,3738.56
TOP,2026-04-02,367.51,365.56,733.07,1.94,27.08,3740.50
TOP,2026-04-03,287.98,241.62,529.60,46.36,21.53,3786.86
TOP,2026-04-07,525.80,214.86,740.66,310.94,26.71,4097.80
TOP,2026-04-08,229.68,285.60,515.27,-55.92,34.56,4041.88
TOP,2026-04-09,502.94,423.03,925.97,79.91,41.05,4121.79
TOP,2026-04-10,167.69,229.54,397.24,-61.85,35.05,4059.94
TOP,2026-04-16,256.83,171.14,427.97,85.70,27.80,4145.64
TOP,2026-04-17,198.44,157.24,355.69,41.20,33.73,4186.84
TOP,2026-04-20,98.55,148.05,246.60,-49.49,28.19,4137.35
TOP,2026-04-21,104.38,84.52,188.90,19.85,23.31,4157.20
