symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TRUE,2026-01-05,1444.02,1251.18,2695.20,192.84,58.63,192.84
TRUE,2026-01-06,361.86,386.81,748.67,-24.95,50.51,167.89
TRUE,2026-01-07,257.26,176.09,433.35,81.17,52.68,249.06
TRUE,2026-01-08,349.55,379.90,729.45,-30.35,58.33,218.71
TRUE,2026-01-09,171.78,174.81,346.59,-3.04,62.62,215.67
TRUE,2026-01-12,885.16,1080.58,1965.74,-195.42,53.95,20.25
TRUE,2026-01-13,686.67,592.27,1278.95,94.40,49.39,114.65
TRUE,2026-01-14,680.73,789.48,1470.21,-108.76,45.42,5.89
TRUE,2026-01-15,1031.28,992.85,2024.13,38.43,53.85,44.32
TRUE,2026-01-16,749.12,810.62,1559.74,-61.51,61.04,-17.19
TRUE,2026-01-19,859.11,743.44,1602.55,115.68,56.81,98.49
TRUE,2026-01-20,1277.61,1260.78,2538.39,16.84,61.71,115.33
TRUE,2026-01-21,1060.89,1261.44,2322.33,-200.55,57.53,-85.22
TRUE,2026-01-22,3414.12,6229.89,9644.01,-2815.76,40.61,-2900.98
TRUE,2026-01-23,2287.72,3364.52,5652.24,-1076.80,33.76,-3977.78
TRUE,2026-01-26,825.52,1737.41,2562.93,-911.90,36.22,-4889.68
TRUE,2026-01-27,955.10,860.21,1815.32,94.89,34.19,-4794.79
TRUE,2026-01-28,1419.12,1179.27,2598.39,239.85,44.90,-4554.94
TRUE,2026-01-29,3227.07,2546.29,5773.35,680.78,38.53,-3874.16
TRUE,2026-01-30,1466.96,1369.39,2836.35,97.57,27.04,-3776.59
TRUE,2026-02-02,986.27,556.79,1543.06,429.47,33.74,-3347.12
TRUE,2026-02-03,1415.69,1049.49,2465.18,366.20,45.62,-2980.92
TRUE,2026-02-04,1364.30,1330.89,2695.19,33.42,45.22,-2947.50
TRUE,2026-02-05,1933.77,1419.13,3352.90,514.64,49.81,-2432.86
TRUE,2026-02-06,765.50,831.29,1596.79,-65.79,45.62,-2498.65
TRUE,2026-02-09,1536.97,1357.29,2894.26,179.68,39.77,-2318.97
TRUE,2026-02-10,1648.78,1385.73,3034.51,263.06,43.52,-2055.91
TRUE,2026-02-11,1608.54,1184.37,2792.91,424.17,34.36,-1631.74
TRUE,2026-02-12,1144.55,1027.62,2172.17,116.94,38.68,-1514.80
TRUE,2026-02-13,1575.90,1326.75,2902.65,249.15,50.06,-1265.65
TRUE,2026-02-16,859.51,1066.13,1925.64,-206.62,48.73,-1472.27
TRUE,2026-02-17,1268.98,1303.25,2572.23,-34.27,38.46,-1506.54
TRUE,2026-02-18,2496.19,2022.25,4518.45,473.94,42.61,-1032.60
TRUE,2026-02-19,620.04,789.70,1409.74,-169.66,36.84,-1202.26
TRUE,2026-02-20,3426.78,3038.66,6465.44,388.12,31.59,-814.14
TRUE,2026-02-23,2599.57,1369.75,3969.32,1229.83,40.55,415.69
TRUE,2026-02-24,1715.39,1485.95,3201.34,229.45,41.82,645.14
TRUE,2026-02-25,2342.95,2411.25,4754.21,-68.30,54.49,576.84
TRUE,2026-02-26,1759.95,1331.23,3091.18,428.72,57.12,1005.56
TRUE,2026-02-27,1656.27,1429.79,3086.06,226.48,40.40,1232.04
TRUE,2026-03-02,3012.12,2649.78,5661.90,362.34,45.51,1594.38
TRUE,2026-03-04,3073.12,2954.73,6027.85,118.39,48.06,1712.77
TRUE,2026-03-05,1629.09,2582.29,4211.38,-953.21,42.06,759.56
TRUE,2026-03-06,651.17,842.28,1493.45,-191.11,40.31,568.45
TRUE,2026-03-09,1437.18,1388.92,2826.11,48.26,47.14,616.71
TRUE,2026-03-10,802.41,1231.85,2034.26,-429.43,45.54,187.28
TRUE,2026-03-11,1270.72,1416.51,2687.23,-145.78,45.10,41.50
TRUE,2026-03-12,1180.23,1111.97,2292.20,68.26,52.42,109.76
TRUE,2026-03-13,1023.12,1315.55,2338.67,-292.43,48.21,-182.67
TRUE,2026-03-16,691.81,487.29,1179.10,204.51,32.96,21.84
TRUE,2026-03-17,1926.21,2022.66,3948.87,-96.45,39.84,-74.61
TRUE,2026-03-18,787.59,1034.41,1822.00,-246.81,34.31,-321.42
TRUE,2026-03-19,1310.86,1368.80,2679.67,-57.94,35.95,-379.36
TRUE,2026-03-20,1190.43,2983.36,4173.79,-1792.92,39.33,-2172.28
TRUE,2026-03-23,1061.06,1242.39,2303.45,-181.33,48.49,-2353.61
TRUE,2026-03-24,1479.47,1565.44,3044.92,-85.97,43.49,-2439.58
TRUE,2026-03-25,979.40,1125.79,2105.19,-146.39,45.94,-2585.97
TRUE,2026-03-26,446.28,676.33,1122.61,-230.05,46.63,-2816.02
TRUE,2026-03-27,1245.73,1762.50,3008.23,-516.78,49.98,-3332.80
TRUE,2026-03-30,1515.20,1148.23,2663.43,366.97,57.31,-2965.83
TRUE,2026-03-31,1919.07,1403.59,3322.66,515.49,52.18,-2450.34
TRUE,2026-04-01,1761.12,1817.05,3578.17,-55.93,51.26,-2506.27
TRUE,2026-04-02,1120.13,965.76,2085.88,154.37,46.15,-2351.90
TRUE,2026-04-03,601.45,519.67,1121.11,81.78,45.33,-2270.12
TRUE,2026-04-07,625.14,673.83,1298.98,-48.69,50.96,-2318.81
TRUE,2026-04-08,985.94,970.67,1956.61,15.27,51.63,-2303.54
TRUE,2026-04-09,1727.77,1184.67,2912.44,543.09,51.94,-1760.45
TRUE,2026-04-10,544.32,602.37,1146.69,-58.05,57.40,-1818.50
TRUE,2026-04-16,549.65,613.17,1162.82,-63.52,50.27,-1882.02
TRUE,2026-04-17,758.71,897.90,1656.61,-139.19,47.02,-2021.21
TRUE,2026-04-20,213.82,113.19,327.01,100.63,49.14,-1920.58
TRUE,2026-04-21,433.50,523.52,957.01,-90.02,59.34,-2010.60
