symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TTB,2026-01-05,617.66,304.46,922.12,313.19,34.25,313.19
TTB,2026-01-06,505.83,364.28,870.11,141.54,46.36,454.73
TTB,2026-01-07,284.14,526.17,810.31,-242.03,34.55,212.70
TTB,2026-01-08,125.12,150.85,275.97,-25.72,38.19,186.98
TTB,2026-01-09,160.00,96.63,256.63,63.37,34.66,250.35
TTB,2026-01-12,253.86,112.60,366.46,141.26,35.13,391.61
TTB,2026-01-13,144.01,131.15,275.17,12.86,39.23,404.47
TTB,2026-01-14,73.44,138.10,211.54,-64.66,39.49,339.81
TTB,2026-01-15,113.49,63.17,176.66,50.31,35.38,390.12
TTB,2026-01-16,397.78,343.93,741.71,53.86,36.25,443.98
TTB,2026-01-19,265.87,176.49,442.36,89.38,33.24,533.36
TTB,2026-01-20,219.47,69.96,289.43,149.51,32.73,682.87
TTB,2026-01-21,567.52,434.41,1001.93,133.10,40.46,815.97
TTB,2026-01-22,155.17,186.29,341.45,-31.12,34.95,784.85
TTB,2026-01-23,281.20,499.76,780.96,-218.55,34.15,566.30
TTB,2026-01-26,505.88,227.36,733.24,278.51,43.09,844.81
TTB,2026-01-27,454.83,339.01,793.83,115.82,41.67,960.63
TTB,2026-01-28,214.82,272.66,487.48,-57.84,37.69,902.79
TTB,2026-01-29,192.91,254.94,447.85,-62.03,48.72,840.76
TTB,2026-01-30,336.59,219.70,556.30,116.89,54.39,957.65
TTB,2026-02-02,244.49,257.88,502.38,-13.39,32.10,944.26
TTB,2026-02-03,231.39,223.91,455.30,7.48,30.83,951.74
TTB,2026-02-04,205.82,284.92,490.74,-79.09,31.29,872.65
TTB,2026-02-05,232.74,132.48,365.22,100.26,33.08,972.91
TTB,2026-02-06,168.72,170.75,339.47,-2.03,35.92,970.88
TTB,2026-02-09,489.98,187.28,677.27,302.70,6.75,1273.58
TTB,2026-02-10,172.97,125.07,298.04,47.90,41.81,1321.48
TTB,2026-02-11,130.04,69.44,199.49,60.60,29.04,1382.08
TTB,2026-02-12,312.88,434.57,747.44,-121.69,33.88,1260.39
TTB,2026-02-13,105.66,54.94,160.60,50.72,33.97,1311.11
TTB,2026-02-16,284.56,206.84,491.40,77.71,31.33,1388.82
TTB,2026-02-17,492.11,429.92,922.03,62.19,23.95,1451.01
TTB,2026-02-18,588.04,297.53,885.58,290.51,22.13,1741.52
TTB,2026-02-19,619.88,412.85,1032.73,207.03,37.40,1948.55
TTB,2026-02-20,1018.57,595.50,1614.07,423.06,48.68,2371.61
TTB,2026-02-23,608.39,496.94,1105.33,111.45,42.46,2483.06
TTB,2026-02-24,373.50,247.66,621.16,125.84,44.10,2608.90
TTB,2026-02-25,287.67,281.57,569.24,6.10,38.21,2615.00
TTB,2026-02-26,403.44,222.61,626.05,180.83,46.62,2795.83
TTB,2026-02-27,535.38,360.59,895.96,174.79,41.20,2970.62
TTB,2026-03-02,470.00,361.38,831.38,108.62,39.03,3079.24
TTB,2026-03-04,534.85,476.10,1010.95,58.75,31.11,3137.99
TTB,2026-03-05,379.59,480.04,859.63,-100.45,39.03,3037.54
TTB,2026-03-06,230.26,221.32,451.58,8.94,48.74,3046.48
TTB,2026-03-09,327.14,438.77,765.91,-111.63,41.88,2934.85
TTB,2026-03-10,179.17,275.37,454.53,-96.20,30.57,2838.65
TTB,2026-03-11,279.87,313.01,592.88,-33.13,30.93,2805.52
TTB,2026-03-12,108.61,217.51,326.12,-108.90,36.87,2696.62
TTB,2026-03-13,504.63,274.18,778.80,230.45,45.92,2927.07
TTB,2026-03-16,119.37,262.90,382.26,-143.53,42.37,2783.54
TTB,2026-03-17,122.04,134.52,256.56,-12.48,24.10,2771.06
TTB,2026-03-18,373.02,374.42,747.44,-1.39,33.07,2769.67
TTB,2026-03-19,267.27,266.97,534.24,0.31,42.33,2769.98
TTB,2026-03-20,295.05,293.50,588.55,1.55,46.78,2771.53
TTB,2026-03-23,107.97,278.58,386.56,-170.61,32.89,2600.92
TTB,2026-03-24,185.54,239.30,424.84,-53.76,37.85,2547.16
TTB,2026-03-25,336.41,174.06,510.47,162.36,30.42,2709.52
TTB,2026-03-26,707.62,410.12,1117.74,297.51,40.55,3007.03
TTB,2026-03-27,228.54,273.17,501.71,-44.62,31.15,2962.41
TTB,2026-03-30,109.47,170.37,279.84,-60.90,51.63,2901.51
TTB,2026-03-31,240.15,283.85,524.00,-43.70,36.53,2857.81
TTB,2026-04-01,185.62,192.31,377.93,-6.69,26.82,2851.12
TTB,2026-04-02,143.34,93.30,236.64,50.04,29.27,2901.16
TTB,2026-04-03,297.91,365.15,663.06,-67.24,36.68,2833.92
TTB,2026-04-07,193.40,185.33,378.73,8.07,45.02,2841.99
TTB,2026-04-08,215.59,199.20,414.78,16.39,38.71,2858.38
TTB,2026-04-09,227.36,294.49,521.85,-67.13,41.85,2791.25
TTB,2026-04-10,153.49,323.25,476.74,-169.76,41.00,2621.49
TTB,2026-04-16,323.87,466.61,790.48,-142.74,42.10,2478.75
TTB,2026-04-17,222.40,493.01,715.41,-270.60,31.54,2208.15
TTB,2026-04-20,187.12,157.16,344.29,29.96,30.79,2238.11
TTB,2026-04-21,203.93,215.31,419.24,-11.38,30.32,2226.73
