symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TU,2026-01-05,41.56,50.49,92.05,-8.93,28.61,-8.93
TU,2026-01-06,205.12,80.08,285.20,125.04,30.35,116.11
TU,2026-01-07,78.33,41.24,119.57,37.08,28.70,153.19
TU,2026-01-08,95.79,60.15,155.94,35.64,47.55,188.83
TU,2026-01-09,57.52,48.38,105.89,9.14,31.15,197.97
TU,2026-01-12,25.24,31.88,57.12,-6.64,38.61,191.33
TU,2026-01-13,80.08,69.39,149.47,10.68,28.66,202.01
TU,2026-01-14,69.39,30.08,99.47,39.31,52.36,241.32
TU,2026-01-15,34.06,33.96,68.02,0.10,34.13,241.42
TU,2026-01-16,49.82,47.17,96.99,2.65,38.03,244.07
TU,2026-01-19,24.94,30.49,55.43,-5.55,42.52,238.52
TU,2026-01-20,64.90,66.65,131.54,-1.75,13.87,236.77
TU,2026-01-21,110.84,36.25,147.09,74.60,24.59,311.37
TU,2026-01-22,63.27,36.20,99.47,27.07,22.44,338.44
TU,2026-01-23,36.03,29.53,65.57,6.50,27.44,344.94
TU,2026-01-26,43.44,26.44,69.88,17.00,18.12,361.94
TU,2026-01-27,44.67,26.33,71.00,18.34,27.25,380.28
TU,2026-01-28,23.52,13.55,37.08,9.97,21.08,390.25
TU,2026-01-29,16.44,11.03,27.47,5.42,24.13,395.67
TU,2026-01-30,52.97,33.18,86.14,19.79,24.27,415.46
TU,2026-02-02,109.35,41.67,151.02,67.68,22.69,483.14
TU,2026-02-03,68.33,58.81,127.14,9.52,35.21,492.66
TU,2026-02-04,36.85,42.06,78.91,-5.21,37.27,487.45
TU,2026-02-05,65.09,43.93,109.02,21.17,32.17,508.62
TU,2026-02-06,35.00,55.76,90.76,-20.77,20.72,487.85
TU,2026-02-09,64.54,34.97,99.51,29.57,23.23,517.42
TU,2026-02-10,62.51,41.34,103.85,21.18,24.12,538.60
TU,2026-02-11,104.80,47.35,152.15,57.45,21.60,596.05
TU,2026-02-12,121.41,29.47,150.88,91.94,25.09,687.99
TU,2026-02-13,173.30,85.24,258.53,88.06,34.73,776.05
TU,2026-02-16,41.10,51.13,92.23,-10.03,36.32,766.02
TU,2026-02-17,94.90,47.44,142.34,47.46,34.44,813.48
TU,2026-02-18,41.46,59.77,101.22,-18.31,27.08,795.17
TU,2026-02-19,173.58,153.16,326.75,20.42,28.47,815.59
TU,2026-02-20,47.70,95.37,143.08,-47.67,23.18,767.92
TU,2026-02-23,174.68,89.61,264.29,85.07,22.36,852.99
TU,2026-02-24,94.98,161.82,256.81,-66.84,29.68,786.15
TU,2026-02-25,66.69,76.53,143.22,-9.83,23.13,776.32
TU,2026-02-26,68.30,15.13,83.44,53.17,15.26,829.49
TU,2026-02-27,69.88,96.45,166.33,-26.57,30.41,802.92
TU,2026-03-02,17.97,126.14,144.11,-108.17,21.62,694.75
TU,2026-03-04,94.49,115.19,209.69,-20.70,28.94,674.05
TU,2026-03-05,60.49,126.99,187.48,-66.51,35.56,607.54
TU,2026-03-06,55.72,128.61,184.33,-72.89,44.21,534.65
TU,2026-03-09,88.55,61.93,150.48,26.63,39.70,561.28
TU,2026-03-10,25.47,43.15,68.63,-17.68,31.02,543.60
TU,2026-03-11,14.41,50.38,64.79,-35.96,36.66,507.64
TU,2026-03-12,52.77,105.45,158.22,-52.68,54.99,454.96
TU,2026-03-13,59.45,86.17,145.61,-26.72,44.44,428.24
TU,2026-03-16,21.14,28.51,49.65,-7.37,37.60,420.87
TU,2026-03-17,53.20,18.85,72.06,34.35,28.42,455.22
TU,2026-03-18,47.75,56.82,104.57,-9.07,37.06,446.15
TU,2026-03-19,25.67,66.24,91.91,-40.56,36.88,405.59
TU,2026-03-20,30.82,40.24,71.06,-9.43,29.81,396.16
TU,2026-03-23,2.71,27.02,29.73,-24.32,27.91,371.84
TU,2026-03-24,24.92,34.17,59.09,-9.25,22.47,362.59
TU,2026-03-25,33.97,6.21,40.18,27.76,30.79,390.35
TU,2026-03-26,34.53,27.58,62.11,6.95,29.92,397.30
TU,2026-03-27,54.08,18.25,72.33,35.83,30.72,433.13
TU,2026-03-30,58.54,27.24,85.78,31.31,39.13,464.44
TU,2026-03-31,44.48,34.14,78.62,10.34,44.64,474.78
TU,2026-04-01,62.91,59.93,122.85,2.98,38.25,477.76
TU,2026-04-02,65.37,47.83,113.20,17.55,45.84,495.31
TU,2026-04-03,27.19,27.29,54.48,-0.11,46.32,495.20
TU,2026-04-07,103.44,29.11,132.56,74.33,32.69,569.53
TU,2026-04-08,65.20,51.09,116.28,14.11,35.65,583.64
TU,2026-04-09,73.53,28.82,102.35,44.71,32.24,628.35
TU,2026-04-10,34.74,13.36,48.09,21.38,21.84,649.73
TU,2026-04-16,97.82,86.60,184.42,11.22,34.92,660.95
TU,2026-04-17,47.68,27.90,75.58,19.78,39.53,680.73
TU,2026-04-20,44.22,18.22,62.44,26.00,25.33,706.73
TU,2026-04-21,24.12,31.60,55.72,-7.47,32.97,699.26
