symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
VGI,2026-01-05,9.32,19.79,29.11,-10.47,30.37,-10.47
VGI,2026-01-06,9.45,7.11,16.56,2.34,21.67,-8.13
VGI,2026-01-07,24.05,8.77,32.82,15.28,30.13,7.15
VGI,2026-01-08,0.49,9.40,9.90,-8.91,19.93,-1.76
VGI,2026-01-09,4.81,22.46,27.27,-17.65,27.84,-19.41
VGI,2026-01-12,15.50,31.70,47.21,-16.20,25.80,-35.61
VGI,2026-01-13,6.80,12.12,18.92,-5.32,15.15,-40.93
VGI,2026-01-14,9.69,9.86,19.55,-0.17,25.64,-41.10
VGI,2026-01-15,7.08,4.98,12.06,2.10,13.87,-39.00
VGI,2026-01-16,7.79,5.02,12.81,2.77,22.12,-36.23
VGI,2026-01-19,21.66,10.18,31.84,11.48,16.03,-24.75
VGI,2026-01-20,2.75,3.42,6.17,-0.68,8.18,-25.43
VGI,2026-01-21,12.72,8.02,20.74,4.70,15.97,-20.73
VGI,2026-01-22,25.02,19.08,44.10,5.94,18.55,-14.79
VGI,2026-01-23,15.78,8.42,24.21,7.36,23.87,-7.43
VGI,2026-01-26,14.88,5.99,20.86,8.89,22.12,1.46
VGI,2026-01-27,2.28,2.72,5.00,-0.44,8.93,1.02
VGI,2026-01-28,12.12,6.99,19.11,5.13,29.54,6.15
VGI,2026-01-29,14.27,5.17,19.44,9.11,29.39,15.26
VGI,2026-01-30,6.41,3.61,10.02,2.79,17.15,18.05
VGI,2026-02-02,1.39,3.82,5.21,-2.44,13.72,15.61
VGI,2026-02-03,5.27,3.10,8.37,2.17,20.76,17.78
VGI,2026-02-04,6.97,2.83,9.79,4.14,35.35,21.92
VGI,2026-02-05,2.51,0.96,3.47,1.54,12.66,23.46
VGI,2026-02-06,2.37,3.97,6.35,-1.60,13.12,21.86
VGI,2026-02-09,17.17,3.62,20.80,13.55,15.15,35.41
VGI,2026-02-10,59.11,23.39,82.50,35.73,13.22,71.14
VGI,2026-02-11,20.83,26.43,47.27,-5.60,16.75,65.54
VGI,2026-02-12,16.89,42.04,58.93,-25.14,10.12,40.40
VGI,2026-02-13,100.91,82.35,183.26,18.57,9.45,58.97
VGI,2026-02-16,26.10,108.84,134.93,-82.74,13.86,-23.77
VGI,2026-02-17,18.26,24.45,42.71,-6.19,5.33,-29.96
VGI,2026-02-18,21.13,29.17,50.31,-8.04,7.21,-38.00
VGI,2026-02-19,16.81,12.73,29.55,4.08,8.82,-33.92
VGI,2026-02-20,20.66,28.04,48.70,-7.39,6.27,-41.31
VGI,2026-02-23,48.02,16.31,64.32,31.71,10.59,-9.60
VGI,2026-02-24,28.13,33.90,62.03,-5.77,13.43,-15.37
VGI,2026-02-25,10.38,29.54,39.92,-19.16,9.09,-34.53
VGI,2026-02-26,5.96,10.13,16.08,-4.17,5.48,-38.70
VGI,2026-02-27,19.14,7.68,26.82,11.47,9.74,-27.23
VGI,2026-03-02,53.89,36.89,90.79,17.00,21.27,-10.23
VGI,2026-03-04,32.94,24.59,57.53,8.36,16.36,-1.87
VGI,2026-03-05,15.26,30.74,46.00,-15.47,13.14,-17.34
VGI,2026-03-06,14.28,13.73,28.01,0.56,11.35,-16.78
VGI,2026-03-09,36.74,15.07,51.81,21.67,19.65,4.89
VGI,2026-03-10,10.17,26.77,36.94,-16.60,12.71,-11.71
VGI,2026-03-11,20.20,24.64,44.84,-4.44,12.03,-16.15
VGI,2026-03-12,13.46,10.01,23.46,3.45,11.25,-12.70
VGI,2026-03-13,8.27,19.44,27.71,-11.17,13.23,-23.87
VGI,2026-03-16,27.62,21.80,49.42,5.81,17.79,-18.06
VGI,2026-03-17,33.25,39.17,72.42,-5.92,19.99,-23.98
VGI,2026-03-18,13.39,14.26,27.65,-0.86,18.50,-24.84
VGI,2026-03-19,3.10,7.57,10.67,-4.46,13.09,-29.30
VGI,2026-03-20,27.01,21.96,48.97,5.05,19.30,-24.25
VGI,2026-03-23,4.15,11.47,15.62,-7.32,12.09,-31.57
VGI,2026-03-24,12.41,15.54,27.95,-3.13,13.46,-34.70
VGI,2026-03-25,11.99,12.32,24.31,-0.33,8.47,-35.03
VGI,2026-03-26,3.00,10.80,13.80,-7.80,10.16,-42.83
VGI,2026-03-27,17.62,18.62,36.24,-1.00,14.62,-43.83
VGI,2026-03-30,2.98,5.56,8.53,-2.58,13.62,-46.41
VGI,2026-03-31,16.53,20.75,37.28,-4.22,7.80,-50.63
VGI,2026-04-01,36.83,40.53,77.37,-3.70,13.94,-54.33
VGI,2026-04-02,9.89,14.24,24.13,-4.35,12.01,-58.68
VGI,2026-04-03,22.45,28.02,50.47,-5.57,19.07,-64.25
VGI,2026-04-07,10.50,12.23,22.73,-1.73,13.27,-65.98
VGI,2026-04-08,35.27,17.17,52.44,18.10,13.46,-47.88
VGI,2026-04-09,2.72,11.99,14.71,-9.26,9.63,-57.14
VGI,2026-04-10,8.82,10.27,19.09,-1.45,18.53,-58.59
VGI,2026-04-16,29.30,5.03,34.33,24.27,22.46,-34.32
VGI,2026-04-17,13.07,10.42,23.49,2.65,21.97,-31.67
VGI,2026-04-20,9.47,5.68,15.15,3.79,16.38,-27.88
VGI,2026-04-21,6.95,13.19,20.14,-6.24,5.74,-34.12
