symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
WHA,2026-01-05,70.59,37.48,108.07,33.12,17.74,33.12
WHA,2026-01-06,43.39,39.94,83.33,3.45,21.30,36.57
WHA,2026-01-07,34.57,29.08,63.64,5.49,23.12,42.06
WHA,2026-01-08,13.52,20.58,34.10,-7.05,16.21,35.01
WHA,2026-01-09,46.34,52.03,98.37,-5.69,27.51,29.32
WHA,2026-01-12,23.22,60.43,83.64,-37.21,24.74,-7.89
WHA,2026-01-13,44.71,45.74,90.45,-1.03,34.67,-8.92
WHA,2026-01-14,34.89,37.98,72.87,-3.09,31.70,-12.01
WHA,2026-01-15,50.54,39.52,90.06,11.02,34.71,-0.99
WHA,2026-01-16,60.17,38.55,98.72,21.61,33.15,20.62
WHA,2026-01-19,54.70,30.95,85.64,23.75,26.49,44.37
WHA,2026-01-20,140.16,52.78,192.94,87.38,31.74,131.75
WHA,2026-01-21,95.23,32.54,127.77,62.69,21.12,194.44
WHA,2026-01-22,141.70,148.12,289.82,-6.42,37.18,188.02
WHA,2026-01-23,42.76,55.70,98.46,-12.94,37.16,175.08
WHA,2026-01-26,52.80,102.70,155.51,-49.90,42.41,125.18
WHA,2026-01-27,115.55,38.09,153.64,77.47,29.05,202.65
WHA,2026-01-28,116.18,39.40,155.58,76.78,34.87,279.43
WHA,2026-01-29,35.51,39.21,74.72,-3.70,36.36,275.73
WHA,2026-01-30,253.51,155.39,408.89,98.12,56.16,373.85
WHA,2026-02-02,47.97,100.41,148.38,-52.44,31.88,321.41
WHA,2026-02-03,51.29,56.45,107.74,-5.16,20.85,316.25
WHA,2026-02-04,57.79,32.77,90.55,25.02,29.63,341.27
WHA,2026-02-05,88.23,59.20,147.42,29.03,19.47,370.30
WHA,2026-02-06,34.23,42.73,76.96,-8.50,24.98,361.80
WHA,2026-02-09,545.06,177.62,722.68,367.44,25.77,729.24
WHA,2026-02-10,168.15,156.92,325.07,11.23,19.92,740.47
WHA,2026-02-11,220.36,144.92,365.29,75.44,22.55,815.91
WHA,2026-02-12,428.97,245.34,674.31,183.63,26.76,999.54
WHA,2026-02-13,309.44,205.57,515.01,103.88,23.88,1103.42
WHA,2026-02-16,167.83,254.53,422.36,-86.71,30.96,1016.71
WHA,2026-02-17,138.84,143.70,282.54,-4.85,28.51,1011.86
WHA,2026-02-18,409.59,247.18,656.76,162.41,35.05,1174.27
WHA,2026-02-19,309.97,225.75,535.71,84.22,32.37,1258.49
WHA,2026-02-20,375.88,271.53,647.41,104.36,36.04,1362.85
WHA,2026-02-23,318.25,262.46,580.71,55.79,33.54,1418.64
WHA,2026-02-24,199.30,181.59,380.89,17.70,27.37,1436.34
WHA,2026-02-25,266.31,312.00,578.31,-45.68,35.75,1390.66
WHA,2026-02-26,98.44,214.96,313.40,-116.53,17.59,1274.13
WHA,2026-02-27,168.73,148.41,317.14,20.32,27.20,1294.45
WHA,2026-03-02,414.06,219.62,633.68,194.44,29.84,1488.89
WHA,2026-03-04,489.41,595.47,1084.88,-106.06,31.98,1382.83
WHA,2026-03-05,237.22,289.23,526.44,-52.01,31.20,1330.82
WHA,2026-03-06,120.53,147.39,267.92,-26.85,37.97,1303.97
WHA,2026-03-09,203.10,216.32,419.42,-13.22,30.74,1290.75
WHA,2026-03-10,116.58,238.72,355.31,-122.14,33.68,1168.61
WHA,2026-03-11,117.55,226.58,344.13,-109.03,28.75,1059.58
WHA,2026-03-12,61.08,151.40,212.48,-90.32,27.07,969.26
WHA,2026-03-13,51.34,117.35,168.69,-66.01,26.22,903.25
WHA,2026-03-16,30.80,70.06,100.86,-39.26,25.93,863.99
WHA,2026-03-17,76.74,130.36,207.10,-53.61,19.11,810.38
WHA,2026-03-18,111.81,158.45,270.26,-46.65,26.11,763.73
WHA,2026-03-19,69.56,140.56,210.12,-71.01,26.25,692.72
WHA,2026-03-20,73.69,101.47,175.16,-27.78,28.28,664.94
WHA,2026-03-23,102.75,107.46,210.21,-4.72,22.93,660.22
WHA,2026-03-24,103.66,123.98,227.63,-20.32,26.24,639.90
WHA,2026-03-25,296.56,192.52,489.08,104.04,37.77,743.94
WHA,2026-03-26,381.38,167.34,548.72,214.04,41.13,957.98
WHA,2026-03-27,83.81,118.78,202.58,-34.97,26.75,923.01
WHA,2026-03-30,76.61,52.96,129.57,23.65,36.09,946.66
WHA,2026-03-31,58.87,49.46,108.34,9.41,23.32,956.07
WHA,2026-04-01,133.20,91.40,224.59,41.80,20.78,997.87
WHA,2026-04-02,124.86,171.29,296.15,-46.43,26.88,951.44
WHA,2026-04-03,133.76,94.90,228.66,38.86,22.62,990.30
WHA,2026-04-07,60.88,56.26,117.14,4.62,29.23,994.92
WHA,2026-04-08,78.01,46.14,124.15,31.88,18.63,1026.80
WHA,2026-04-09,20.78,64.07,84.85,-43.29,26.63,983.51
WHA,2026-04-10,23.59,33.97,57.56,-10.38,20.04,973.13
WHA,2026-04-16,231.19,131.70,362.89,99.49,24.09,1072.62
WHA,2026-04-17,84.03,112.29,196.32,-28.26,26.75,1044.36
WHA,2026-04-20,52.34,56.54,108.87,-4.20,24.08,1040.16
WHA,2026-04-21,154.19,102.35,256.54,51.84,21.20,1092.00
